rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,macd_loss_enabled,macd_loss_prev,macd_loss_current,macd_loss_net_factor,macd_loss_trigger_date,entry_origin,entry_stop_pct,entry_limit,use_extra_exit,entry_signal_date,entry_b,entry_jf
held-macd-loss-exit,YINN,2021-09-23,2021-11-29,-4.459071666167269,46,trail,25.800192888264583,True,,,,,v5,,,False,2021-09-22,False,True
held-macd-loss-exit,YINN,2021-12-31,2022-01-24,6.437643816955396,15,signal,18.052262622978677,True,,,,,v5,,,False,2021-12-30,False,True
held-macd-loss-exit,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,True,,,,,v5,,,False,2022-02-24,False,True
held-macd-loss-exit,YINN,2022-03-16,2022-04-12,7.8791593400682425,19,trail,34.52380952380953,True,,,,,v5,,,False,2022-03-15,False,True
held-macd-loss-exit,YINN,2022-08-12,2022-08-22,-4.2253438629000435,6,macd_loss,5.305613120570363,True,0.16385061014821645,-0.0020953149483364797,0.9442768155386718,2022-08-19,v5,,,False,2022-08-11,False,True
held-macd-loss-exit,YINN,2022-10-14,2022-10-25,-34.38185233852088,7,trail,-0.056149518145465205,True,,,,,v5,,,False,2022-10-13,False,True
held-macd-loss-exit,YINN,2022-11-08,2022-12-08,68.8119227406258,21,signal,67.05140981683448,True,,,,,v5,,,False,2022-11-07,True,False
held-macd-loss-exit,YINN,2023-01-04,2023-02-07,1.6724582841518565,23,trail,29.20353982300885,True,,,,,v5,,,False,2023-01-03,True,False
held-macd-loss-exit,YINN,2023-06-14,2023-06-21,-7.557120223480462,4,signal,10.657007108499927,True,,,,,v5,,,False,2023-06-13,True,False
held-macd-loss-exit,YINN,2023-10-12,2023-10-20,-20.932567654806576,6,macd_loss,-6.258066238895543,True,0.30850336254843924,-0.02243350389021259,0.8219021359765453,2023-10-19,v5,,,False,2023-10-11,True,False
held-macd-loss-exit,YINN,2024-01-02,2024-01-11,-8.884875367476441,7,macd_loss,2.832127883109181,True,0.015587005627304418,-0.10277334565599183,0.8756919612197328,2024-01-10,v5,,,False,2023-12-29,True,False
held-macd-loss-exit,YINN,2024-08-06,2024-08-26,18.97800480303782,15,terminal,24.476659037613068,True,,,,,v5,,,False,2024-08-05,False,True
held-macd-loss-exit,SNOW,2021-12-09,2021-12-14,-7.188605287780758,3,macd_loss,0.3351324957770352,True,0.03878285736332865,-0.8662025511343145,0.9546014528778076,2021-12-13,v5,,,False,2021-12-08,True,False
held-macd-loss-exit,SNOW,2022-01-25,2022-02-14,6.612483502114785,14,signal,13.019943244198174,True,,,,,v5,,,False,2022-01-24,False,True
held-macd-loss-exit,SNOW,2022-03-17,2022-04-19,-0.7935845204045,22,trail,23.707690116686674,True,,,,,v5,,,False,2022-03-16,False,True
held-macd-loss-exit,SNOW,2022-05-27,2022-08-10,32.27609989487661,50,signal,33.58092577422396,True,,,,,v5,,,False,2022-05-26,False,True
held-macd-loss-exit,SNOW,2022-11-11,2022-11-30,-8.210317405081824,12,macd_loss,11.490729796542198,True,0.526260520803266,-0.2588724494901591,0.9293986271872207,2022-11-29,v5,,,False,2022-11-10,False,True
held-macd-loss-exit,SNOW,2023-01-13,2023-02-06,14.444136202171842,15,signal,27.81765911778349,True,,,,,v5,,,False,2023-01-12,True,False
