entry,exit,trail,max_hold,name,train_total,train_cagr,train_mdd,train_sharpe,train_calmar,train_trades,train_win,train_avg_trade,train_median_trade,train_worst_trade,train_profit_factor,train_median_symbol_total,train_positive_symbols,train_symbols,train_max_symbol_mdd,train_exposure,validation_total,validation_cagr,validation_mdd,validation_sharpe,validation_calmar,validation_trades,validation_win,validation_avg_trade,validation_median_trade,validation_worst_trade,validation_profit_factor,validation_median_symbol_total,validation_positive_symbols,validation_symbols,validation_max_symbol_mdd,validation_exposure,test_total,test_cagr,test_mdd,test_sharpe,test_calmar,test_trades,test_win,test_avg_trade,test_median_trade,test_worst_trade,test_profit_factor,test_median_symbol_total,test_positive_symbols,test_symbols,test_max_symbol_mdd,test_exposure,full_total,full_cagr,full_mdd,full_sharpe,full_calmar,full_trades,full_win,full_avg_trade,full_median_trade,full_worst_trade,full_profit_factor,full_median_symbol_total,full_positive_symbols,full_symbols,full_max_symbol_mdd,full_exposure,selection_score
b-confirm5-ma20+jf,S-or-MA20,0.15,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=15%|hold=none,23.412438799258183,7.283703038350464,7.061838370196972,0.8939204567742413,1.0314174095359967,55,54.54545454545454,4.750617218436067,1.9044469405472109,-34.38185233852088,2.278904015647986,2.45,6,11,45.56,0.08789486375693271,22.49871335979916,22.697744519084175,6.30899831436248,1.5117956843741256,3.5976780129125405,24,58.333333333333336,9.64820565039183,1.4574007894416985,-16.97103746076054,3.64733027907061,0.43,6,11,40.98,0.11818181818181818,12.60042054358248,12.653671715879655,3.58727150061553,1.6697730963319977,3.5273805491746155,24,58.333333333333336,6.19702175697695,2.2999409892380474,-21.011725753607337,2.918472205032723,4.65,7,11,21.37,0.1040463600144875,74.85461499033264,11.873902553804584,7.061838370196972,1.2054844117674162,1.681418057359672,103,55.33980582524271,6.546625183379473,2.071664882839519,-34.38185233852088,2.8113222116476355,20.08,7,11,45.56,0.10738670915015987,1.7836031956567224
b-confirm5-ma20+jf,S-or-MA20,0.15,60.0,b-confirm5-ma20+jf|exit=S-or-MA20|trail=15%|hold=60,23.412438799258183,7.283703038350464,7.061838370196972,0.8939204567742413,1.0314174095359967,55,54.54545454545454,4.750617218436067,1.9044469405472109,-34.38185233852088,2.278904015647986,2.45,6,11,45.56,0.08789486375693271,22.49871335979916,22.697744519084175,6.30899831436248,1.5117956843741256,3.5976780129125405,24,58.333333333333336,9.64820565039183,1.4574007894416985,-16.97103746076054,3.64733027907061,0.43,6,11,40.98,0.11818181818181818,12.60042054358248,12.653671715879655,3.58727150061553,1.6697730963319977,3.5273805491746155,24,58.333333333333336,6.19702175697695,2.2999409892380474,-21.011725753607337,2.918472205032723,4.65,7,11,21.37,0.1040463600144875,74.85461499033264,11.873902553804584,7.061838370196972,1.2054844117674162,1.681418057359672,103,55.33980582524271,6.546625183379473,2.071664882839519,-34.38185233852088,2.8113222116476355,20.08,7,11,45.56,0.10738670915015987,1.7836031956567224
b-confirm5-ma20+jf,S-or-MA20,0.15,120.0,b-confirm5-ma20+jf|exit=S-or-MA20|trail=15%|hold=120,23.412438799258183,7.283703038350464,7.061838370196972,0.8939204567742413,1.0314174095359967,55,54.54545454545454,4.750617218436067,1.9044469405472109,-34.38185233852088,2.278904015647986,2.45,6,11,45.56,0.08789486375693271,22.49871335979916,22.697744519084175,6.30899831436248,1.5117956843741256,3.5976780129125405,24,58.333333333333336,9.64820565039183,1.4574007894416985,-16.97103746076054,3.64733027907061,0.43,6,11,40.98,0.11818181818181818,12.60042054358248,12.653671715879655,3.58727150061553,1.6697730963319977,3.5273805491746155,24,58.333333333333336,6.19702175697695,2.2999409892380474,-21.011725753607337,2.918472205032723,4.65,7,11,21.37,0.1040463600144875,74.85461499033264,11.873902553804584,7.061838370196972,1.2054844117674162,1.681418057359672,103,55.33980582524271,6.546625183379473,2.071664882839519,-34.38185233852088,2.8113222116476355,20.08,7,11,45.56,0.10738670915015987,1.7836031956567224
b-confirm5-ma20+jf,MA20-down,,,b-confirm5-ma20+jf|exit=MA20-down|trail=none|hold=none,34.2418404698515,10.34238690932623,15.207073360880619,0.9260579323436658,0.6801037033155548,52,50.0,6.936149989295061,0.17221951279966508,-33.328235966336415,2.931939364607254,2.45,7,11,62.69,0.11007957559681697,28.333561756724613,28.58993292421921,6.617903309731455,1.6862409127080389,4.3200892467223655,23,65.21739130434783,11.704484527997957,2.553482586706113,-16.97103746076054,4.6760010549566156,11.6,7,11,34.88,0.15054545454545454,10.419612071870986,10.463224365514478,5.003400444770412,1.154942583269727,2.091222655674245,24,58.333333333333336,4.636465697045702,2.2999409892380474,-23.820405064149398,2.385171516526968,4.65,6,11,30.63,0.12686417964505614,95.39839290632915,14.39736128587179,15.207073360880619,1.1804160044938796,0.9467542468038742,99,54.54545454545454,7.817081913269136,1.7322529540422904,-33.328235966336415,3.2547033385214044,13.67,7,11,62.69,0.13200343038198328,1.6908993720309236
b-confirm5-ma20+jf,MA20-down,,60.0,b-confirm5-ma20+jf|exit=MA20-down|trail=none|hold=60,34.2418404698515,10.34238690932623,15.207073360880619,0.9260579323436658,0.6801037033155548,52,50.0,6.936149989295061,0.17221951279966508,-33.328235966336415,2.931939364607254,2.45,7,11,62.69,0.11007957559681697,28.333561756724613,28.58993292421921,6.617903309731455,1.6862409127080389,4.3200892467223655,23,65.21739130434783,11.704484527997957,2.553482586706113,-16.97103746076054,4.6760010549566156,11.6,7,11,34.88,0.15054545454545454,10.419612071870986,10.463224365514478,5.003400444770412,1.154942583269727,2.091222655674245,24,58.333333333333336,4.636465697045702,2.2999409892380474,-23.820405064149398,2.385171516526968,4.65,6,11,30.63,0.12686417964505614,95.39839290632915,14.39736128587179,15.207073360880619,1.1804160044938796,0.9467542468038742,99,54.54545454545454,7.817081913269136,1.7322529540422904,-33.328235966336415,3.2547033385214044,13.67,7,11,62.69,0.13200343038198328,1.6908993720309236
b-confirm5-ma20+jf,MA20-down,,120.0,b-confirm5-ma20+jf|exit=MA20-down|trail=none|hold=120,34.2418404698515,10.34238690932623,15.207073360880619,0.9260579323436658,0.6801037033155548,52,50.0,6.936149989295061,0.17221951279966508,-33.328235966336415,2.931939364607254,2.45,7,11,62.69,0.11007957559681697,28.333561756724613,28.58993292421921,6.617903309731455,1.6862409127080389,4.3200892467223655,23,65.21739130434783,11.704484527997957,2.553482586706113,-16.97103746076054,4.6760010549566156,11.6,7,11,34.88,0.15054545454545454,10.419612071870986,10.463224365514478,5.003400444770412,1.154942583269727,2.091222655674245,24,58.333333333333336,4.636465697045702,2.2999409892380474,-23.820405064149398,2.385171516526968,4.65,6,11,30.63,0.12686417964505614,95.39839290632915,14.39736128587179,15.207073360880619,1.1804160044938796,0.9467542468038742,99,54.54545454545454,7.817081913269136,1.7322529540422904,-33.328235966336415,3.2547033385214044,13.67,7,11,62.69,0.13200343038198328,1.6908993720309236
b-confirm5-ma20+jf,S-or-MA20,0.2,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=20%|hold=none,24.229663322038775,7.520616923576795,8.51672146789928,0.8802181721403645,0.8830413148913061,55,54.54545454545454,4.807084778155688,1.9044469405472109,-34.38185233852087,2.2822682797245752,5.83,7,11,48.67,0.09319990354473112,22.429897550192223,22.628265635420664,6.308998314362468,1.4859685364666282,3.586665348111965,24,62.5,9.538441262714471,1.4574007894416985,-16.97103746076054,3.6400672602180157,0.43,6,11,34.34,0.12581818181818183,11.66354154652154,11.712630938410285,4.389462646477549,1.5531717718423286,2.6683518876301235,24,58.333333333333336,5.826096623535214,2.2999409892380474,-24.211782585831575,2.7321419074160858,4.65,6,11,24.46,0.10621948569358927,74.44993705920014,11.821864620094535,8.51672146789928,1.1693380245613274,1.3880769336713434,103,56.310679611650485,6.464772438502978,2.071664882839541,-34.38185233852087,2.7681149940411074,23.31,8,11,48.67,0.11253133291694568,1.689875902939549
b-confirm5-ma20+jf,S-or-MA20,0.2,60.0,b-confirm5-ma20+jf|exit=S-or-MA20|trail=20%|hold=60,24.229663322038775,7.520616923576795,8.51672146789928,0.8802181721403645,0.8830413148913061,55,54.54545454545454,4.807084778155688,1.9044469405472109,-34.38185233852087,2.2822682797245752,5.83,7,11,48.67,0.09319990354473112,22.429897550192223,22.628265635420664,6.308998314362468,1.4859685364666282,3.586665348111965,24,62.5,9.538441262714471,1.4574007894416985,-16.97103746076054,3.6400672602180157,0.43,6,11,34.34,0.12581818181818183,11.66354154652154,11.712630938410285,4.389462646477549,1.5531717718423286,2.6683518876301235,24,58.333333333333336,5.826096623535214,2.2999409892380474,-24.211782585831575,2.7321419074160858,4.65,6,11,24.46,0.10621948569358927,74.44993705920014,11.821864620094535,8.51672146789928,1.1693380245613274,1.3880769336713434,103,56.310679611650485,6.464772438502978,2.071664882839541,-34.38185233852087,2.7681149940411074,23.31,8,11,48.67,0.11253133291694568,1.689875902939549
b-confirm5-ma20+jf,S-or-MA20,0.2,120.0,b-confirm5-ma20+jf|exit=S-or-MA20|trail=20%|hold=120,24.229663322038775,7.520616923576795,8.51672146789928,0.8802181721403645,0.8830413148913061,55,54.54545454545454,4.807084778155688,1.9044469405472109,-34.38185233852087,2.2822682797245752,5.83,7,11,48.67,0.09319990354473112,22.429897550192223,22.628265635420664,6.308998314362468,1.4859685364666282,3.586665348111965,24,62.5,9.538441262714471,1.4574007894416985,-16.97103746076054,3.6400672602180157,0.43,6,11,34.34,0.12581818181818183,11.66354154652154,11.712630938410285,4.389462646477549,1.5531717718423286,2.6683518876301235,24,58.333333333333336,5.826096623535214,2.2999409892380474,-24.211782585831575,2.7321419074160858,4.65,6,11,24.46,0.10621948569358927,74.44993705920014,11.821864620094535,8.51672146789928,1.1693380245613274,1.3880769336713434,103,56.310679611650485,6.464772438502978,2.071664882839541,-34.38185233852087,2.7681149940411074,23.31,8,11,48.67,0.11253133291694568,1.689875902939549
b-confirm5-ma20+jf,MA20-down,0.15,,b-confirm5-ma20+jf|exit=MA20-down|trail=15%|hold=none,24.62839986971388,7.635834364565097,8.497510052858392,0.8832475153946926,0.8985966850367603,55,52.72727272727272,4.868409256435289,1.421028152530246,-34.38185233852087,2.268658311890544,2.45,6,11,49.68,0.0952495780081987,20.255503500895912,20.43308205247998,6.4579655629091075,1.3690163275712477,3.16401223472544,24,58.333333333333336,8.312320885409893,1.4574007894416985,-16.97103746076054,3.280782517151565,0.43,6,11,40.98,0.12290909090909091,11.203221037485122,11.250277113392215,3.587271500615563,1.4935495509342436,3.1361654983353526,24,58.333333333333336,5.325788960084286,2.2999409892380474,-21.011725753607337,2.648756207494115,4.65,7,11,24.09,0.10440854762767114,71.19298787679995,11.399499331519136,8.497510052858392,1.1287636406545634,1.341510543748586,103,54.36893203883495,6.095244024204395,1.904446940547233,-34.38185233852087,2.656371402490415,2.26,7,11,49.68,0.11281981217376212,1.6504931897443553
