window,outcome,setups,mean_20d,median_20d,interference,interference_rate
3,confirmed,53,6.096144485262625,2.649567830874333,17,32.075471698113205
3,expired,56,-0.7880082377869444,-3.9200768546853726,31,55.35714285714286
5,confirmed,65,6.8901677634818315,2.649567830874333,22,33.84615384615385
5,expired,44,-3.838493368715202,-4.225974433701291,26,59.09090909090909
