cost,scheme,total,cagr,mdd,sharpe,calmar,trades,win,avg_trade,median_trade,worst_trade,profit_factor,median_symbol_total,positive_symbols,symbols,max_symbol_mdd,exposure
0.001,baseline,220.98593234969908,26.38652537244117,39.31910940846054,0.9719347015302037,0.6710865472136919,57,63.1578947368421,25.44609314926439,10.88050523228099,-68.66988113497078,3.9194276454799613,84.28,9,11,87.93,0.6273150858552695
0.001,recommended,164.53677781678982,21.57208194714797,14.988696140842784,1.3223010796252586,1.439223381703368,89,53.93258426966292,15.685832495009894,2.4841651570340906,-34.38185233852087,3.365759198684112,74.02,9,11,67.5,0.3195371972442722
0.0025,baseline,215.76682471975474,25.97118118268371,39.438549053951675,0.9601751165396984,0.658522734879402,57,63.1578947368421,25.06966097388706,10.547780722942445,-68.76389494204216,3.84865583524828,82.62,9,11,88.07,0.6273150858552695
0.0025,recommended,157.8680550098519,20.950401879745062,15.229492335198325,1.2897834896276796,1.3756467660661675,89,52.80898876404494,15.338688407113768,2.17663595255031,-34.57875589644236,3.2724279557710805,66.35,9,11,68.51,0.3195371972442722
0.005,baseline,207.25391147738983,25.281783758460353,39.63715785106856,0.9405620787773478,0.637830387674448,57,63.1578947368421,24.443530988546573,9.994350900038151,-68.92027069176227,3.733898638094454,79.9,9,11,88.31,0.6273150858552695
0.005,recommended,147.12240288784503,19.92107169885944,15.858209794573686,1.235473872084042,1.2561992782865044,89,52.80898876404494,14.76127410280367,1.665114172824178,-34.90627099716747,3.123200270845904,54.29,9,11,70.13,0.3195371972442722
