start,end,scheme,total,cagr,mdd,sharpe,calmar,trades,win,avg_trade,median_trade,worst_trade,profit_factor,median_symbol_total,positive_symbols,symbols,max_symbol_mdd,exposure
2021-08-30,2022-08-29,baseline,-22.80934151537973,-22.80934151537973,39.31910940846054,-0.5139419085525722,-0.5801082948860409,12,16.666666666666664,-22.699102257045745,-21.924675591951072,-60.95102468073881,0.05223963427408392,-29.795,1,10,73.04,0.5472222222222223
2021-08-30,2022-08-29,recommended,-2.82357523082134,-2.82357523082134,14.988696140842784,-0.09154142959955222,-0.18838031035450536,18,38.88888888888889,-1.883446056895417,-3.8134392017958207,-26.410032710845943,0.7952064819341358,-7.265,3,10,41.14,0.2162698412698413
2022-08-30,2023-08-29,baseline,21.46978491117475,21.563946128571708,9.936456335306353,1.2264885773385301,2.1701847621420525,14,78.57142857142857,14.423916427640041,7.774262629122863,-33.15347053067139,4.404231092081284,9.73,7,10,58.26,0.32669322709163345
2022-08-30,2023-08-29,recommended,21.871748335320127,21.96782649636051,5.055368329372456,1.6453773105858147,4.345445290054161,17,58.82352941176471,15.566627212827356,7.810105436156123,-34.38185233852087,3.892343470089948,4.205,8,10,41.21,0.1800796812749004
2023-08-30,2024-08-29,baseline,31.842543013281464,31.842543013281464,9.850388045965863,1.7372030019589768,3.232618132878764,13,69.23076923076923,25.55474800203228,19.51370252286031,-34.462542191433755,5.483348224716951,14.35,7,11,54.45,0.4754689754689754
2023-08-30,2024-08-29,recommended,9.834971115350521,9.834971115350521,6.972154646887352,0.9142745877587193,1.410607138460597,16,56.25,7.218532994992838,14.906038657102538,-26.97428325254111,1.998613391031464,0.0,5,11,45.15,0.27994227994227994
2024-08-30,2025-08-29,baseline,59.99709001779048,60.59979277803331,21.917537446470014,1.6534782050690762,2.764899703081989,14,92.85714285714286,37.71520860367553,31.676980482507343,-28.116732030304547,19.77931332426396,37.58,10,11,58.99,0.5687272727272726
2024-08-30,2025-08-29,recommended,37.313492922839316,37.662268026112855,10.302333905739014,1.7995768350075072,3.6557025204873943,21,71.42857142857143,17.63563269816258,3.7543327154057726,-23.723324199559194,5.965736819974184,27.73,7,11,44.92,0.34218181818181814
2025-08-30,2026-08-28,baseline,45.651824854024255,46.09066220249727,10.384882911885185,1.8530277730597364,4.438245726367112,18,66.66666666666666,24.86713824273343,11.164601896225568,-26.836042745826106,7.018546798996321,23.29,8,11,65.7,0.44278203723986864
2025-08-30,2026-08-28,recommended,27.340154639597202,27.58660929766359,9.783961371056893,2.0544867485670717,2.8195746335702876,20,55.00000000000001,16.49146135231756,8.611879469217376,-27.047831583052417,3.781791133544168,30.28,8,11,46.32,0.2700284775465498
