component,name,total,cagr,mdd,sharpe,calmar,trades,win,avg_trade,median_trade,worst_trade,profit_factor,median_symbol_total,positive_symbols,symbols,max_symbol_mdd,exposure
baseline,v4-b+jf|exit=S|trail=none|hold=none,220.98593234969908,26.38652537244117,39.31910940846054,0.9719347015302037,0.6710865472136919,57,63.1578947368421,25.44609314926439,10.88050523228099,-68.66988113497078,3.9194276454799613,84.28,9,11,87.93,0.6273150858552695
confirm-only,b-confirm5-ma20+jf|exit=S|trail=none|hold=none,222.89729510066448,26.53728455023634,32.4433707722777,1.050366266707941,0.8179570716157517,52,65.38461538461539,26.075477585462192,19.308054771567008,-52.99088510555606,4.492996891378469,73.96,10,11,89.96,0.5538377395043034
trail-only,v4-b+jf|exit=S|trail=20%|hold=none,168.43005484831176,21.929256661581185,24.812517408671408,1.21470384904766,0.8837981370611517,110,50.90909090909091,13.577895042742972,2.5095182094796664,-37.841895501244046,2.741831438067895,72.2,9,11,81.3,0.37580036063244526
confirm+trail,b-confirm5-ma20+jf|exit=S|trail=20%|hold=none,164.53677781678982,21.57208194714797,14.988696140842784,1.3223010796252586,1.439223381703368,89,53.93258426966292,15.685832495009894,2.4841651570340906,-34.38185233852087,3.365759198684112,74.02,9,11,67.5,0.3195371972442722
defensive,b-confirm5-ma20+jf|exit=S-or-MA20|trail=15%|hold=none,74.85461499033264,11.873902553804584,7.061838370196972,1.2054844117674162,1.681418057359672,103,55.33980582524271,6.546625183379473,2.071664882839519,-34.38185233852088,2.8113222116476355,20.08,7,11,45.56,0.10738670915015987
