symbol,actual_entries,b_trades,collision_trades,observed_b_closes,first_failures,entry_failures,recoveries,reconciled
TQQQ,8,3,0,77,1,0,0,True
MSFT,2,2,0,426,1,0,1,True
NFLX,3,3,0,349,2,0,2,True
YINN,12,5,0,92,3,1,2,True
SNOW,8,4,0,146,4,1,3,True
TSLA,4,3,0,80,2,1,1,True
MRNA,4,0,0,0,0,0,0,True
NVDA,0,0,0,0,0,0,0,True
GOOGL,2,2,0,172,1,0,1,True
AAOI,7,3,0,19,0,0,0,True
