clock,group_by,group,cohort_trades,events,without_clock,complete,incomplete,wins,interference,win_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
confirmation,component,B_BEAR_RECOVER,4,4,0,4,0,4,0,100.0,16.74255690791475,9.992738276703228,22.16665596958877,-4.771890568717205
entry,component,B_BEAR_RECOVER,4,4,0,4,0,3,0,75.0,21.935966784782202,17.428775035009956,25.882637554280166,-3.837586975216126
failure,component,B_BEAR_RECOVER,4,1,3,1,0,1,0,100.0,20.564762546993887,20.564762546993887,24.55494221869261,-8.81931175116465
confirmation,component,B_CRASH_RECOVER,0,0,0,0,0,0,0,,,,,
entry,component,B_CRASH_RECOVER,0,0,0,0,0,0,0,,,,,
failure,component,B_CRASH_RECOVER,0,0,0,0,0,0,0,,,,,
confirmation,component,multiple,0,0,0,0,0,0,0,,,,,
entry,component,multiple,0,0,0,0,0,0,0,,,,,
failure,component,multiple,0,0,0,0,0,0,0,,,,,
confirmation,component,none,0,0,0,0,0,0,0,,,,,
entry,component,none,0,0,0,0,0,0,0,,,,,
failure,component,none,0,0,0,0,0,0,0,,,,,
confirmation,first_failure,none,3,3,0,3,0,3,0,100.0,17.82960291905422,6.504057678910113,24.9979010382576,-1.4729512010633068
entry,first_failure,none,3,3,0,3,0,2,0,66.66666666666666,22.393034864044978,14.292787523026028,26.325202666142687,-2.1770120498999517
failure,first_failure,none,3,0,3,0,0,0,0,,,,,
confirmation,first_failure,entry,4,4,0,4,0,3,1,75.0,5.18200435083955,7.723924296788921,9.681528075197571,-9.448162824601798
entry,first_failure,entry,4,4,0,4,0,3,0,75.0,7.435911202082065,7.378413818719942,11.43694630815955,-8.14457873460643
failure,first_failure,entry,4,4,0,4,0,3,0,75.0,7.435911202082065,7.378413818719942,11.43694630815955,-8.14457873460643
confirmation,first_failure,later,3,3,0,2,1,0,2,0.0,-15.691726992569183,-15.691726992569183,9.752848243327328,-24.18052179838375
entry,first_failure,later,3,3,0,2,1,1,1,50.0,-16.651598716688543,-16.651598716688543,12.051786591143355,-23.279360347226376
failure,first_failure,later,3,3,0,2,1,1,1,50.0,0.33092171829197525,0.33092171829197525,19.668595395668518,-16.178145011012152
