mechanism,symbol,trade_id,entry_date,trigger_date,counterfactual_exit_date,original_return_pct,counterfactual_return_pct,local_delta_pp,original_winner,entry_b,entry_jf,r32_overlap
close-cross-mid,YINN,YINN:2023-01-04,2023-01-04,2023-01-31,2023-02-01,1.6724582841518787,16.509991232394338,14.837532948242458,True,True,False,False
close-cross-mid,YINN,YINN:2023-10-12,2023-10-12,2023-10-13,2023-10-16,-24.892376600456224,-9.793585558552898,15.098791041903326,False,True,False,True
close-cross-mid,YINN,YINN:2024-01-02,2024-01-02,2024-01-02,2024-01-03,-26.9742832525411,-2.3582959551735727,24.615987297367525,False,True,False,True
close-cross-mid,YINN,YINN:2024-08-06,2024-08-06,2024-08-14,2024-08-15,18.97800480303782,11.156852833416163,-7.821151969621656,True,False,True,False
close-cross-lower,AAOI,AAOI:2022-01-25,2022-01-25,2022-02-14,2022-02-15,-14.528879830647137,-7.238697214940714,7.2901826157064225,False,False,True,False
close-cross-lower,AAOI,AAOI:2023-03-29,2023-03-29,2023-04-27,2023-04-28,-0.1998999999999973,8.02538142260827,8.225281422608267,False,False,True,False
close-cross-lower,GOOGL,GOOGL:2022-02-02,2022-02-02,2022-03-07,2022-03-08,-23.185264576067965,-16.695784297520653,6.489480278547312,False,True,False,True
close-cross-lower,GOOGL,GOOGL:2024-03-15,2024-03-15,2024-07-24,2024-07-25,16.370420922658813,20.824657392224765,4.454236469565952,True,True,False,False
close-cross-lower,MRNA,MRNA:2022-01-11,2022-01-11,2022-01-18,2022-01-19,-22.72557501230831,-16.609510979995036,6.116064032313272,False,False,True,False
close-cross-lower,MRNA,MRNA:2022-02-16,2022-02-16,2022-02-23,2022-02-24,-3.1678067374243724,-5.442744909743458,-2.2749381723190853,False,False,True,False
close-cross-lower,MRNA,MRNA:2023-08-18,2023-08-18,2023-09-21,2023-09-22,-14.825943022421717,-5.034413625385204,9.791529397036513,False,False,True,True
close-cross-lower,MRNA,MRNA:2023-11-03,2023-11-03,2024-02-08,2024-02-09,19.35322949190672,27.47760109112143,8.124371599214708,True,False,True,False
close-cross-lower,MSFT,MSFT:2022-02-01,2022-02-01,2022-02-23,2022-02-24,-21.59643001259398,-12.385148981169468,9.211281031424512,False,True,False,True
close-cross-lower,MSFT,MSFT:2023-04-28,2023-04-28,2023-09-22,2023-09-25,35.74007778955608,3.9298453293681757,-31.810232460187905,True,True,False,False
close-cross-lower,NFLX,NFLX:2023-10-25,2023-10-25,2024-04-19,2024-04-22,65.15162887570418,32.09923412836295,-33.052394747341225,True,True,False,False
close-cross-lower,SNOW,SNOW:2021-12-09,2021-12-09,2022-01-04,2022-01-05,-20.634647434082034,-16.815269646301267,3.819377787780766,False,True,False,True
close-cross-lower,SNOW,SNOW:2022-03-17,2022-03-17,2022-04-14,2022-04-18,-0.7935845204045111,1.442966620741637,2.236551141146148,False,False,True,False
close-cross-lower,SNOW,SNOW:2022-05-27,2022-05-27,2022-06-13,2022-06-14,32.27609989487663,-11.592247852492498,-43.86834774736913,True,False,True,False
close-cross-lower,SNOW,SNOW:2023-09-01,2023-09-01,2023-10-25,2023-10-26,16.50919972702114,-10.32510173930885,-26.83430146632999,True,True,False,True
close-cross-lower,SNOW,SNOW:2024-06-28,2024-06-28,2024-07-24,2024-07-25,-14.331088418973549,-5.640149726587184,8.690938692386364,False,True,False,True
close-cross-lower,TQQQ,TQQQ:2022-02-25,2022-02-25,2022-03-07,2022-03-08,-18.423402686815884,-15.389476508979039,3.033926177836845,False,False,True,True
close-cross-lower,TQQQ,TQQQ:2023-10-10,2023-10-10,2023-10-25,2023-10-26,-17.082673786856507,-14.982167471639684,2.1005063152168226,False,True,False,True
close-cross-lower,TSLA,TSLA:2022-12-05,2022-12-05,2022-12-13,2022-12-14,-26.593404828411128,-16.104488385890125,10.488916442521003,False,True,False,True
close-cross-lower,YINN,YINN:2023-10-12,2023-10-12,2023-10-20,2023-10-23,-24.892376600456224,-23.025149168654412,1.8672274318018118,False,True,False,True
close-cross-lower,YINN,YINN:2024-01-02,2024-01-02,2024-01-09,2024-01-10,-26.9742832525411,-11.505785441754025,15.468497810787074,False,True,False,True
ma5-cross-mid,AAOI,AAOI:2023-03-29,2023-03-29,2023-04-25,2023-04-26,-0.1998999999999973,10.218788058805828,10.418688058805825,False,False,True,False
ma5-cross-mid,AAOI,AAOI:2024-04-17,2024-04-17,2024-05-13,2024-05-14,-25.39859610915135,-15.120182359179568,10.278413749971781,False,False,True,True
ma5-cross-mid,GOOGL,GOOGL:2022-02-02,2022-02-02,2022-02-17,2022-02-18,-23.185264576067965,-11.933755559818483,11.251509016249482,False,True,False,True
ma5-cross-mid,GOOGL,GOOGL:2024-03-15,2024-03-15,2024-06-05,2024-06-06,16.370420922658813,23.191838462235314,6.821417539576501,True,True,False,False
ma5-cross-mid,MRNA,MRNA:2022-02-16,2022-02-16,2022-04-07,2022-04-08,-3.1678067374243724,5.999576795362693,9.167383532787065,False,False,True,False
ma5-cross-mid,MRNA,MRNA:2023-08-18,2023-08-18,2023-09-11,2023-09-12,-14.825943022421717,-0.6993705421300511,14.126572480291665,False,False,True,True
ma5-cross-mid,MRNA,MRNA:2023-11-03,2023-11-03,2024-01-19,2024-01-22,19.35322949190672,36.88549085086385,17.532261358957133,True,False,True,False
ma5-cross-mid,MSFT,MSFT:2022-02-01,2022-02-01,2022-02-11,2022-02-14,-21.59643001259398,-5.549840743930467,16.046589268663514,False,True,False,True
ma5-cross-mid,MSFT,MSFT:2023-04-28,2023-04-28,2023-06-29,2023-06-30,35.74007778955608,10.876230032644706,-24.863847756911376,True,True,False,False
ma5-cross-mid,NFLX,NFLX:2022-12-02,2022-12-02,2022-12-19,2022-12-20,8.481864091411184,-9.601659102289883,-18.08352319370107,True,True,False,True
ma5-cross-mid,NFLX,NFLX:2023-03-27,2023-03-27,2023-04-20,2023-04-21,26.615563913745355,-1.5862296216968663,-28.20179353544222,True,True,False,False
ma5-cross-mid,NFLX,NFLX:2023-10-25,2023-10-25,2023-12-06,2023-12-07,65.15162887570418,8.155552338952576,-56.9960765367516,True,True,False,False
ma5-cross-mid,SNOW,SNOW:2021-12-09,2021-12-09,2021-12-29,2021-12-30,-20.634647434082034,-8.291799999999993,12.34284743408204,False,True,False,True
ma5-cross-mid,SNOW,SNOW:2022-03-17,2022-03-17,2022-04-11,2022-04-12,-0.7935845204045111,9.078952822077824,9.872537342482335,False,False,True,False
ma5-cross-mid,SNOW,SNOW:2022-05-27,2022-05-27,2022-07-25,2022-07-26,32.27609989487663,6.900809514326101,-25.37529038055053,True,False,True,False
ma5-cross-mid,SNOW,SNOW:2022-11-11,2022-11-11,2022-11-21,2022-11-22,-12.0011368775506,-3.010694476409903,8.990442401140697,False,False,True,True
ma5-cross-mid,SNOW,SNOW:2023-09-01,2023-09-01,2023-09-21,2023-09-22,16.50919972702114,-4.416632663719278,-20.925832390740418,True,True,False,True
ma5-cross-mid,SNOW,SNOW:2024-06-28,2024-06-28,2024-07-18,2024-07-19,-14.331088418973549,-2.979806292345133,11.351282126628416,False,True,False,True
ma5-cross-mid,TQQQ,TQQQ:2023-10-10,2023-10-10,2023-10-23,2023-10-24,-17.082673786856507,-8.3655868011288,8.717086985727708,False,True,False,True
ma5-cross-mid,TSLA,TSLA:2022-02-25,2022-02-25,2022-04-13,2022-04-14,10.819385050147368,23.239673161540697,12.42028811139333,True,False,True,True
ma5-cross-mid,TSLA,TSLA:2022-12-05,2022-12-05,2022-12-08,2022-12-09,-26.593404828411128,-8.418239047018394,18.175165781392735,False,True,False,True
ma5-cross-mid,TSLA,TSLA:2024-04-30,2024-04-30,2024-05-30,2024-05-31,25.85765548340815,-4.726076280596203,-30.58373176400435,True,True,False,True
ma5-cross-mid,YINN,YINN:2021-09-23,2021-09-23,2021-11-02,2021-11-03,-4.459071666167269,6.092055961210119,10.551127627377387,False,False,True,False
ma5-cross-mid,YINN,YINN:2022-08-12,2022-08-12,2022-09-02,2022-09-06,-11.409216181607515,-8.9939522263073,2.4152639553002153,False,False,True,True
ma5-cross-mid,YINN,YINN:2023-01-04,2023-01-04,2023-02-03,2023-02-06,1.6724582841518787,-3.6090013001163435,-5.281459584268222,True,True,False,False
ma5-cross-mid,YINN,YINN:2023-10-12,2023-10-12,2023-10-18,2023-10-19,-24.892376600456224,-16.715204169174925,8.1771724312813,False,True,False,True
ma5-cross-mid,YINN,YINN:2024-01-02,2024-01-02,2024-01-05,2024-01-08,-26.9742832525411,-9.70712051212016,17.26716274042094,False,True,False,True
s-condition,AAOI,AAOI:2023-05-09,2023-05-09,2023-06-14,2023-06-15,164.7240065994533,104.11093472988253,-60.613071869570774,True,False,True,False
s-condition,GOOGL,GOOGL:2024-03-15,2024-03-15,2024-07-09,2024-07-10,16.370420922658813,32.47149688328794,16.101075960629128,True,True,False,False
s-condition,MSFT,MSFT:2023-04-28,2023-04-28,2023-05-11,2023-05-12,35.74007778955608,1.9470374039029181,-33.793040385653164,True,True,False,False
s-condition,NFLX,NFLX:2023-03-27,2023-03-27,2023-06-16,2023-06-20,26.615563913745355,31.070087532607758,4.454523618862403,True,True,False,False
