window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,valid_risk,median_risk_pct,median_entry_gap_pct,ever_net_positive,returned_to_be,trail_covers_be,net_profit_to_loss,terminal,median_peak_close_gain_pct,median_giveback_pp
recent,all,all,all,17,10,11,64.70588235294117,21.40095455266719,16.521418373581742,-27.047831583052417,,,,,,,,,,
recent,B,all,all,10,9,5,50.0,8.509223461629691,1.6163959319473398,-27.047831583052417,,,,,,,,,,
recent,JF,all,all,7,4,6,85.71428571428571,39.81771325414934,33.52328016515871,-25.89098544678904,7.0,11.10043020290762,1.2145745675176345,7.0,2.0,5.0,1.0,3.0,34.05562849234271,12.686205946180124
recent,JF,exit_reason,signal,3,2,3,100.0,37.82872099997561,35.44300100700386,16.521418373581742,3.0,11.10043020290762,1.1175876729299317,3.0,0.0,3.0,0.0,0.0,54.73526648423699,12.800483072738757
recent,JF,exit_reason,trail,1,1,0,0.0,-25.89098544678904,-25.89098544678904,-25.89098544678904,1.0,13.346224005587706,5.454757615574657,1.0,1.0,0.0,1.0,0.0,2.4658113854987285,28.20835617933063
recent,JF,exit_reason,terminal,3,3,3,100.0,63.70960507530251,33.52328016515871,16.628215077769703,3.0,7.4966855080711925,1.2145745675176345,3.0,1.0,2.0,0.0,3.0,34.05562849234271,3.4982538491200117
recent,JF,risk_status,valid,7,4,6,85.71428571428571,39.81771325414934,33.52328016515871,-25.89098544678904,7.0,11.10043020290762,1.2145745675176345,7.0,2.0,5.0,1.0,3.0,34.05562849234271,12.686205946180124
recent,JF,risk_status,nonpositive,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,risk_status,invalid,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,outcome,win,6,4,6,100.0,50.76916303763907,34.483140586081284,16.521418373581742,6.0,10.472087164205583,1.166081120223783,6.0,1.0,5.0,0.0,3.0,44.39544748828985,9.37685915287151
recent,JF,outcome,nonpositive,1,1,0,0.0,-25.89098544678904,-25.89098544678904,-25.89098544678904,1.0,13.346224005587706,5.454757615574657,1.0,1.0,0.0,1.0,0.0,2.4658113854987285,28.20835617933063
recent,JF,be_path,never_positive,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,be_path,positive_no_return,5,3,5,100.0,32.72753164857105,33.52328016515871,16.521418373581742,5.0,9.843744125503544,1.1175876729299317,5.0,0.0,4.0,0.0,2.0,34.05562849234271,12.686205946180124
recent,JF,be_path,returned,2,1,1,50.0,57.54316726809505,57.54316726809505,-25.89098544678904,2.0,13.27619329295523,3.494660346187839,2.0,2.0,1.0,1.0,1.0,74.99666113254113,17.137934269446763
recent,JF,trail_covers_be,false,2,2,1,50.0,-4.631385184509668,-4.631385184509668,-25.89098544678904,2.0,9.044304829376218,2.2705279874088435,2.0,1.0,0.0,1.0,1.0,11.41294354714295,15.85330501422532
recent,JF,trail_covers_be,true,5,4,5,100.0,57.59735262961294,35.44300100700386,16.521418373581742,5.0,11.10043020290762,1.2145745675176345,5.0,1.0,5.0,0.0,2.0,54.73526648423699,12.686205946180124
recent,JF,symbol,AAOI,2,1,2,100.0,48.48237231317255,48.48237231317255,35.44300100700386,2.0,17.583180488620435,6.102017560859164,2.0,0.0,2.0,0.0,0.0,64.63337237456173,15.853589274973086
recent,JF,symbol,GOOGL,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,symbol,MRNA,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,symbol,MSFT,1,1,1,100.0,33.52328016515871,33.52328016515871,33.52328016515871,1.0,7.4966855080711925,1.2145745675176345,1.0,0.0,1.0,0.0,1.0,34.05562849234271,0.2649006622516623
recent,JF,symbol,NFLX,2,1,2,100.0,16.574816725675724,16.574816725675724,16.521418373581742,2.0,7.293064889334137,-0.15455334852191305,2.0,0.0,1.0,0.0,1.0,24.957685011389472,8.149368460929384
recent,JF,symbol,NVDA,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,symbol,SNOW,2,1,1,50.0,57.54316726809505,57.54316726809505,-25.89098544678904,2.0,13.27619329295523,3.494660346187839,2.0,2.0,1.0,1.0,1.0,74.99666113254113,17.137934269446763
recent,JF,symbol,TQQQ,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,symbol,TSLA,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
recent,JF,symbol,YINN,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
