window,symbol,trade_id,date,close,running_peak_close,running_trough_close,trail_reference,close_gross_pct,close_net_pct,mfe_close_r,mae_close_r,above_entry,net_positive,ever_net_positive,returned_to_be,trail_covers_be
recent,MSFT,MSFT:2026-06-29,2026-06-29,368.5700073242187,368.5700073242187,368.5700073242187,294.856005859375,-2.365560973716907,-2.5607322173304414,0.0,0.3155475804834093,False,False,False,False,False
recent,MSFT,MSFT:2026-06-29,2026-06-30,373.0199890136719,373.0199890136719,368.5700073242187,298.41599121093753,-1.186757877173017,-1.3842855481765448,0.0,0.3155475804834093,False,False,False,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-01,384.2799987792969,384.2799987792969,368.5700073242187,307.42399902343755,1.796026166701159,1.5925359103939218,0.2395760319367132,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-02,390.489990234375,390.489990234375,368.5700073242187,312.3919921875,3.441057015728477,3.234278342754049,0.4590104536229665,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-06,386.739990234375,390.489990234375,368.5700073242187,312.3919921875,2.4476795322847744,2.242886620899731,0.4590104536229665,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-07,388.8399963378906,390.489990234375,368.5700073242187,312.3919921875,3.003972539838573,2.7980675987314463,0.4590104536229665,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-08,383.3399963378906,390.489990234375,368.5700073242187,312.3919921875,1.5470188974544774,1.344026406678478,0.4590104536229665,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-09,384.3599853515625,390.489990234375,368.5700073242187,312.3919921875,1.817214662665556,1.6136820505548988,0.4590104536229665,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-10,385.1000061035156,390.489990234375,368.5700073242187,312.3919921875,2.0132466499379165,1.8093221698846973,0.4590104536229665,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-13,390.989990234375,390.989990234375,368.5700073242187,312.7919921875,3.57350734685431,3.366463905667949,0.4766783057668542,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-14,384.9299926757813,390.989990234375,368.5700073242187,312.7919921875,1.9682099803394193,1.7643755285887242,0.4766783057668542,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-15,395.6300048828125,395.6300048828125,368.5700073242187,316.50400390625003,4.802650300082778,4.593149802132923,0.6406364912749883,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-16,401.1000061035156,401.1000061035156,368.5700073242187,320.8800048828125,6.251657245964415,6.039260183129724,0.8339228368635249,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-17,393.8200073242187,401.1000061035156,368.5700073242187,320.8800048828125,4.323180748137401,4.114638709821872,0.8339228368635249,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-20,402.2900085449219,402.2900085449219,368.5700073242187,321.83200683593753,6.566889680774013,6.3538624683021405,0.8759724112347871,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-21,397.75,402.2900085449219,368.5700073242187,321.83200683593753,5.364238410596034,5.153615298013259,0.8759724112347871,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-22,390.3399963378906,402.2900085449219,368.5700073242187,321.83200683593753,3.4013235332160496,3.1946242874731468,0.8759724112347871,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-23,381.5799865722656,402.2900085449219,368.5700073242187,321.83200683593753,1.0807911449710161,0.8787306434722142,0.8759724112347871,0.3155475804834093,True,True,True,False,False
recent,MSFT,MSFT:2026-06-29,2026-07-24,381.7000122070313,402.2900085449219,368.5700073242187,321.83200683593753,1.1125860151076417,0.9104619556634441,0.8759724112347871,0.3155475804834093,True,True,True,False,False
