symbol,episode_id,setup_date,expiry_date,failure,expiry_position,expiry_buy,eligible_at_expiry,source_trusted,setup_before_window,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,clock,date,available_at,reference_open_date,outcome_date,reference_open,ret20_pct,mfe20_pct,mae20_pct,outcome_complete,win,interference
TQQQ,TQQQ:2022-01-31,2022-01-31,2022-02-07,both,held,False,False,True,False,False,False,False,True,setup,2022-01-31,2022-02-07,2022-02-01,2022-03-01,29.741100895224044,-19.833384737711302,4.726039581166974,-34.940723469542746,True,False,True
TQQQ,TQQQ:2022-01-31,2022-01-31,2022-02-07,both,held,False,False,True,False,False,False,False,True,expiry,2022-02-07,2022-02-07,2022-02-08,2022-03-08,27.06334948859716,-25.827458738542752,11.05635174607993,-28.50350957933445,True,False,True
TQQQ,TQQQ:2022-01-31,2022-01-31,2022-02-07,both,held,False,False,True,False,False,False,False,True,recovery,2022-02-09,2022-02-09,2022-02-10,2022-03-10,28.259281973336833,-23.891400157505128,6.069800018150517,-31.52924022315011,True,False,True
MSFT,MSFT:2022-05-04,2022-05-04,2022-05-11,both,held,False,False,False,False,False,False,True,False,setup,2022-05-04,2022-05-11,2022-05-05,2022-06-02,285.5400085449219,-3.8383489685061,0.28367217705196346,-13.693354673050774,True,False,True
MSFT,MSFT:2022-05-04,2022-05-04,2022-05-11,both,held,False,False,False,False,False,False,True,False,expiry,2022-05-11,2022-05-11,2022-05-12,2022-06-09,257.69000244140625,2.7552508969105327,7.761263460171541,-4.365710696346492,True,True,False
MSFT,MSFT:2022-05-04,2022-05-04,2022-05-11,both,held,False,False,False,False,False,False,True,False,recovery,2022-08-12,2022-08-12,2022-08-15,2022-09-12,291.0,-8.367699691929765,1.0927809882409711,-13.42267957339991,True,False,True
MSFT,MSFT:2023-08-23,2023-08-23,2023-08-30,high,held,False,False,False,False,False,True,False,False,setup,2023-08-23,2023-08-30,2023-08-24,2023-09-21,332.8500061035156,-4.001804740864645,2.406483130889825,-5.362777760612181,True,False,False
MSFT,MSFT:2023-08-23,2023-08-23,2023-08-30,high,held,False,False,False,False,False,True,False,False,expiry,2023-08-30,2023-08-30,2023-08-31,2023-09-28,329.20001220703125,-4.726609046663155,3.541911516454732,-5.999392244122815,True,False,False
MSFT,MSFT:2023-08-23,2023-08-23,2023-08-30,high,held,False,False,False,False,False,True,False,False,recovery,2023-09-05,2023-09-05,2023-09-06,2023-10-03,333.3800048828125,-5.996157520425305,2.243679992559633,-7.1779927785989965,True,False,False
MSFT,MSFT:2023-10-25,2023-10-25,2023-11-01,high,held,False,False,False,False,True,False,False,False,setup,2023-10-25,2023-11-01,2023-10-26,2023-11-22,340.5400085449219,10.956127509955138,11.525811656524464,-3.993658824884183,True,True,False
MSFT,MSFT:2023-10-25,2023-10-25,2023-11-01,high,held,False,False,False,False,True,False,False,False,expiry,2023-11-01,2023-11-01,2023-11-02,2023-11-30,347.239990234375,9.120497154247186,10.672733153108172,-0.7113239517821501,True,True,False
MSFT,MSFT:2023-10-25,2023-10-25,2023-11-01,high,held,False,False,False,False,True,False,False,False,recovery,2023-11-02,2023-11-02,2023-11-03,2023-12-01,349.6300048828125,7.116095453864624,9.9161920962066,-0.6578435141222472,True,True,False
NFLX,NFLX:2021-12-22,2021-12-22,2021-12-30,high,flat,False,True,False,False,False,True,False,False,setup,2021-12-22,2021-12-30,2021-12-23,2022-01-21,61.63999938964844,-35.51265348215521,0.6830003869157553,-38.35334048413732,True,False,True
