window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,pressure_trades,pressure_winners,recovered_trades,recovery_censored_trades,recovery_rate_pct,return_trades,return_censored_trades,final_negative_intraday_trades,final_negative_intraday_winners,median_first_pressure_bar,median_max_pressure_streak,median_recovery_bars
recent,B,return_recovery,censored,1,1,0,0.0,-7.306408976023448,-7.306408976023448,1,0,0,1,0.0,1,1,1,0,2.0,16.0,
recent,B,source_trusted,false,5,4,2,40.0,11.659905682232097,-0.061988349906882956,4,2,3,1,75.0,3,1,1,0,1.5,13.0,10.0
recent,B,source_trusted,true,5,5,3,60.0,5.431720722687611,3.2947802138015625,5,3,4,1,80.0,2,0,3,1,1.0,6.0,1.5
recent,B,symbol,AAOI,1,1,1,100.0,3.2947802138015625,3.2947802138015625,1,1,1,0,100.0,1,0,1,1,1.0,6.0,1.0
recent,B,symbol,GOOGL,2,1,1,50.0,5.967611332614915,5.967611332614915,2,1,1,1,50.0,1,1,1,0,1.5,19.0,22.0
recent,B,symbol,MRNA,1,1,1,100.0,57.40207017947048,57.40207017947048,1,1,1,0,100.0,1,0,0,0,1.0,10.0,10.0
recent,B,symbol,MSFT,1,1,0,0.0,-0.061988349906882956,-0.061988349906882956,0,0,0,0,,0,0,0,0,,,
recent,B,symbol,NFLX,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
recent,B,symbol,NVDA,1,1,1,100.0,14.06175833620351,14.06175833620351,1,1,1,0,100.0,0,0,0,0,1.0,2.0,2.0
recent,B,symbol,SNOW,1,1,0,0.0,-27.047831583052417,-27.047831583052417,1,0,0,1,0.0,0,0,1,0,1.0,19.0,
recent,B,symbol,TQQQ,1,1,1,100.0,44.928508277909906,44.928508277909906,1,1,1,0,100.0,0,0,0,0,1.0,1.0,1.0
recent,B,symbol,TSLA,1,1,0,0.0,-8.078611631424504,-8.078611631424504,1,0,1,0,100.0,1,0,1,0,1.0,29.0,8.0
recent,B,symbol,YINN,1,1,0,0.0,-10.97577608363295,-10.97577608363295,1,0,1,0,100.0,1,0,0,0,3.0,1.0,1.0
recent,JF,all,all,7,4,6,85.71428571428571,38.39035997281421,31.225894436277656,5,4,5,0,100.0,4,1,1,0,1.0,3.0,1.0
recent,JF,exit_reason,signal,3,2,3,100.0,37.82872099997561,35.44300100700386,1,1,1,0,100.0,0,0,0,0,1.0,1.0,1.0
recent,JF,exit_reason,trail,1,1,0,0.0,-25.89098544678904,-25.89098544678904,1,0,1,0,100.0,1,1,1,0,1.0,11.0,3.0
recent,JF,exit_reason,terminal,3,3,3,100.0,60.37911408552056,31.225894436277656,3,3,3,0,100.0,3,0,0,0,1.0,3.0,1.0
recent,JF,outcome,win,6,4,6,100.0,49.10391754274809,33.33444772164076,4,4,4,0,100.0,3,0,0,0,1.0,2.0,1.0
recent,JF,outcome,nonpositive,1,1,0,0.0,-25.89098544678904,-25.89098544678904,1,0,1,0,100.0,1,1,1,0,1.0,11.0,3.0
recent,JF,first_pressure,none,2,2,2,100.0,39.02158099646149,39.02158099646149,0,0,0,0,,0,0,0,0,,,
recent,JF,first_pressure,before_net_positive,5,4,4,80.0,38.1378715633553,31.225894436277656,5,4,5,0,100.0,4,1,1,0,1.0,3.0,1.0
