window,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,profit_to_loss,mean_peak_close_gain_pct,mean_giveback_pp,median_giveback_pp,max_giveback_pp,raw_s_count,emitted_s_count,suppressed_s_count
validation,exit_s_component,S_BLOWOFF,2,2,2,100.0,52.63952462863085,52.63952462863085,38.25064305242771,0,63.07886933833619,10.133607130551969,10.133607130551969,10.362955729166657,2,2,0
validation,exit_s_component,S_BEAR_RALLY,0,0,0,,,,,0,,,,,0,0,0
validation,exit_s_component,S_CROSS,1,1,1,100.0,1.7986428200842397,1.7986428200842397,1.7986428200842397,0,26.233380580114552,24.23083467075753,24.23083467075753,24.23083467075753,1,1,0
validation,exit_s_component,S_DELAY,2,2,2,100.0,9.13658822327773,9.13658822327773,1.7986428200842397,0,24.308163696243412,14.952974449661784,14.952974449661784,24.23083467075753,2,2,0
validation,symbol,AAOI,3,1,2,66.66666666666666,-3.231532023075664,0.19275887723202434,-13.641687661864788,1,26.588727245645497,29.626431639805077,28.429344587402063,32.655740956791114,0,0,0
validation,symbol,GOOGL,1,1,1,100.0,3.995375811745916,3.995375811745916,3.995375811745916,0,29.100465466561865,24.89678650056293,24.89678650056293,24.89678650056293,0,0,0
validation,symbol,MRNA,3,1,1,33.33333333333333,-7.115318327964104,-9.809136752879121,-13.33546105109743,2,19.079671304133438,26.008941242704754,24.23083467075753,31.829276533526418,1,1,0
validation,symbol,MSFT,1,1,1,100.0,27.19242828208246,27.19242828208246,27.19242828208246,0,35.976847174509466,8.529651949171573,8.529651949171573,8.529651949171573,0,0,0
validation,symbol,NFLX,2,1,2,100.0,20.78398867106702,20.78398867106702,16.47453362647122,0,29.641550742934843,8.615631258819091,8.615631258819091,11.556148289072144,1,1,0
validation,symbol,NVDA,2,1,1,50.0,25.518768242858734,25.518768242858734,-23.72333142580999,0,36.32667699876409,10.5564941604115,10.5564941604115,19.77390868304156,0,0,0
validation,symbol,TQQQ,1,1,0,0.0,-4.443444330368063,-4.443444330368063,-4.443444330368063,1,15.906579767180485,20.158623933837706,20.158623933837706,20.158623933837706,0,0,0
