window,scope,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
validation,executed,regime,bear,1,0,1,0,0,0,,,,,,
validation,executed,regime,unknown,0,0,0,0,0,0,,,,,,
validation,executed,symbol,AAOI,0,0,0,0,0,0,,,,,,
validation,executed,symbol,MRNA,1,0,1,0,0,0,,,,,,
validation,executed,symbol,NFLX,1,1,0,1,0,1,0.0,100.0,9.607776373232003,9.607776373232003,11.853814748368286,-7.793944765758731
validation,executed,symbol,SNOW,0,0,0,0,0,0,,,,,,
validation,executed,symbol,TQQQ,0,0,0,0,0,0,,,,,,
validation,executed,symbol,TSLA,1,1,0,1,1,0,100.0,0.0,-6.154288142447428,-6.154288142447428,2.9764498415771223,-17.447108853231175
validation,executed,symbol,YINN,1,1,0,1,0,1,0.0,100.0,6.839854168738713,6.839854168738713,26.596759034587002,-9.72354171920664
validation,executed,component_set,S_BLOWOFF,2,2,0,2,1,1,50.0,50.0,0.3427830131456422,0.3427830131456422,14.786604438082062,-13.585325286218907
validation,executed,component_set,S_CROSS+S_DELAY,1,0,1,0,0,0,,,,,,
validation,executed,component_set,S_DELAY,1,1,0,1,0,1,0.0,100.0,9.607776373232003,9.607776373232003,11.853814748368286,-7.793944765758731
validation,ignored_flat,all,all,8,7,1,5,4,2,57.14285714285714,28.57142857142857,-2.6807641822919246,-1.5447145562432096,9.134458991007941,-13.626789867750672
validation,ignored_flat,component,S_BLOWOFF,2,2,0,2,2,0,100.0,0.0,-5.471957259501403,-5.471957259501403,11.305694105291385,-16.490680091290386
validation,ignored_flat,component,S_BEAR_RALLY,0,0,0,0,0,0,,,,,,
validation,ignored_flat,component,S_CROSS,1,0,1,0,0,0,,,,,,
validation,ignored_flat,component,S_DELAY,6,5,1,4,2,2,40.0,40.0,-1.5642869514081335,0.9332078429115986,8.265964945294563,-12.48123377833479
validation,ignored_flat,regime,bull,8,7,1,5,4,2,57.14285714285714,28.57142857142857,-2.6807641822919246,-1.5447145562432096,9.134458991007941,-13.626789867750672
validation,ignored_flat,regime,bear,0,0,0,0,0,0,,,,,,
validation,ignored_flat,regime,unknown,0,0,0,0,0,0,,,,,,
validation,ignored_flat,symbol,AAOI,2,2,0,1,2,0,100.0,0.0,-9.643255544310064,-9.643255544310064,5.2722374125621965,-22.029492238608512
validation,ignored_flat,symbol,MRNA,0,0,0,0,0,0,,,,,,
validation,ignored_flat,symbol,NFLX,0,0,0,0,0,0,,,,,,
validation,ignored_flat,symbol,SNOW,2,2,0,1,1,0,50.0,0.0,-0.7870227178116083,-0.7870227178116083,8.3847770926618,-8.86152424076489
validation,ignored_flat,symbol,TQQQ,2,1,1,1,0,1,0.0,100.0,2.7067139615314817,2.7067139615314817,10.392343179811792,-8.939678490609237
validation,ignored_flat,symbol,TSLA,1,1,0,1,0,1,0.0,100.0,0.9332078429115986,0.9332078429115986,13.877124296850107,-8.026248402412516
validation,ignored_flat,symbol,YINN,1,1,0,1,1,0,100.0,0.0,-1.5447145562432096,-1.5447145562432096,12.357716449945698,-16.639569222486163
validation,ignored_flat,component_set,S_BLOWOFF,2,2,0,2,2,0,100.0,0.0,-5.471957259501403,-5.471957259501403,11.305694105291385,-16.490680091290386
validation,ignored_flat,component_set,S_CROSS+S_DELAY,1,0,1,0,0,0,,,,,,
validation,ignored_flat,component_set,S_DELAY,5,5,0,4,2,2,40.0,40.0,-1.5642869514081335,0.9332078429115986,8.265964945294563,-12.48123377833479
validation,suppressed_held,all,all,0,0,0,0,0,0,,,,,,
validation,suppressed_held,component,S_BLOWOFF,0,0,0,0,0,0,,,,,,
validation,suppressed_held,component,S_BEAR_RALLY,0,0,0,0,0,0,,,,,,
validation,suppressed_held,component,S_CROSS,0,0,0,0,0,0,,,,,,
validation,suppressed_held,component,S_DELAY,0,0,0,0,0,0,,,,,,
validation,suppressed_held,regime,bull,0,0,0,0,0,0,,,,,,
validation,suppressed_held,regime,bear,0,0,0,0,0,0,,,,,,
validation,suppressed_held,regime,unknown,0,0,0,0,0,0,,,,,,
validation,suppressed_held,symbol,AAOI,0,0,0,0,0,0,,,,,,
validation,suppressed_held,symbol,MRNA,0,0,0,0,0,0,,,,,,
validation,suppressed_held,symbol,NFLX,0,0,0,0,0,0,,,,,,
validation,suppressed_held,symbol,SNOW,0,0,0,0,0,0,,,,,,
validation,suppressed_held,symbol,TQQQ,0,0,0,0,0,0,,,,,,
validation,suppressed_held,symbol,TSLA,0,0,0,0,0,0,,,,,,
validation,suppressed_held,symbol,YINN,0,0,0,0,0,0,,,,,,
validation,suppressed_flat,all,all,27,21,6,6,11,9,52.38095238095239,42.857142857142854,-0.6583333168460296,-1.1432786404057094,11.531521656911838,-18.426341472277873
validation,suppressed_flat,component,S_BLOWOFF,0,0,0,0,0,0,,,,,,
validation,suppressed_flat,component,S_BEAR_RALLY,0,0,0,0,0,0,,,,,,
validation,suppressed_flat,component,S_CROSS,0,0,0,0,0,0,,,,,,
validation,suppressed_flat,component,S_DELAY,27,21,6,6,11,9,52.38095238095239,42.857142857142854,-0.6583333168460296,-1.1432786404057094,11.531521656911838,-18.426341472277873
validation,suppressed_flat,regime,bull,21,21,0,6,11,9,52.38095238095239,42.857142857142854,-0.6583333168460296,-1.1432786404057094,11.531521656911838,-18.426341472277873
validation,suppressed_flat,regime,bear,6,0,6,0,0,0,,,,,,
validation,suppressed_flat,regime,unknown,0,0,0,0,0,0,,,,,,
validation,suppressed_flat,symbol,AAOI,4,2,2,1,1,1,50.0,50.0,-0.7648943467529201,-0.7648943467529201,8.285328160063798,-20.15523055649726
validation,suppressed_flat,symbol,MRNA,4,0,4,0,0,0,,,,,,
validation,suppressed_flat,symbol,NFLX,2,2,0,1,0,2,0.0,100.0,13.459486968151946,13.459486968151946,14.239095705086468,-6.846388102395712
validation,suppressed_flat,symbol,SNOW,4,4,0,1,0,4,0.0,100.0,14.049320966168404,15.282124947523869,17.431346909913263,-3.7006006818276145
validation,suppressed_flat,symbol,TQQQ,3,3,0,1,2,1,66.66666666666666,33.33333333333333,-0.5947258768157456,-1.1432786404057094,6.503246133047877,-12.147712827580433
validation,suppressed_flat,symbol,TSLA,4,4,0,1,4,0,100.0,0.0,-13.322091701681284,-13.190064435710703,9.021331843899427,-15.89842326901573
validation,suppressed_flat,symbol,YINN,6,6,0,1,4,1,66.66666666666666,16.666666666666664,-6.723154054010987,-19.92436091839625,11.965442275075608,-36.35178321898912
validation,suppressed_flat,component_set,S_DELAY,27,21,6,6,11,9,52.38095238095239,42.857142857142854,-0.6583333168460296,-1.1432786404057094,11.531521656911838,-18.426341472277873
validation,pending_at_cutoff,all,all,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,component,S_BLOWOFF,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,component,S_BEAR_RALLY,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,component,S_CROSS,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,component,S_DELAY,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,regime,bull,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,regime,bear,0,0,0,0,0,0,,,,,,
