rule,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered,drawdown_peak,drawdown_trough,hard_stop_exits
v5,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,107,11,39,7,2021-10-25,2022-03-07,0
P,38.579601357141,11.537596633290015,21.93700932488205,0.6806042513619356,0.5259420945864073,77,42.857142857142854,-36.58910604415202,-2.4392171058245093,0.4648074369189906,36,121,52.892561983471076,41.32231404958678,98,52.04081632653062,40.816326530612244,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,91,22,65,11,2021-11-19,2022-03-07,0
P-stop5,45.618371509075814,13.402373531243894,22.09546650851776,0.81316611630799,0.6065666695055887,84,39.285714285714285,-34.38185233852087,-4.553417952324645,0.4216467463479415,39,121,52.892561983471076,41.32231404958678,98,52.04081632653062,40.816326530612244,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,95,22,60,15,2021-11-16,2022-03-07,24
P-stop8,37.34220385713974,11.203300520929481,23.12113083942079,0.6850786827402164,0.48454812174792994,82,39.02439024390244,-34.38185233852087,-5.6253201962029875,0.43598937583001324,39,121,52.892561983471076,41.32231404958678,98,52.04081632653062,40.816326530612244,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,92,22,62,13,2021-11-16,2022-03-07,20
P-stop12,41.78367853548508,12.39408156449251,21.70660598734312,0.7286991251623922,0.570982012191098,79,41.77215189873418,-34.38185233852087,-3.1678067374243724,0.4576361221779548,38,121,52.892561983471076,41.32231404958678,98,52.04081632653062,40.816326530612244,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,91,22,65,11,2021-11-19,2022-03-07,15
