rule,symbol,kind,date,opportunity_pct,actionable,covered,missed,nearest_signal_date,signal_offset_days
v5,YINN,buy,2022-08-02,19.219546535675658,True,False,True,,
v5,NVDA,buy,2023-03-13,19.169235271062135,True,False,True,,
v5,SNOW,buy,2023-10-26,19.000685957191955,False,False,True,,
v5,GOOGL,buy,2023-02-24,18.604643463132085,True,False,True,,
v5,TQQQ,buy,2022-09-06,18.525611901022533,True,False,True,,
v5,NFLX,buy,2022-03-14,18.322899170067085,True,False,True,,
v5,NFLX,buy,2023-03-13,18.187652120026666,True,False,True,,
v5,NVDA,buy,2023-04-25,17.872753108972827,True,False,True,,
v5,NVDA,buy,2023-06-26,17.865630220503583,True,False,True,,
v5,MSFT,buy,2023-01-19,17.840419418540463,True,False,True,,
v5,GOOGL,buy,2022-01-24,17.71515229453704,True,False,True,,
v5,TQQQ,buy,2023-08-18,17.60236652832443,True,False,True,,
v5,TSLA,buy,2023-03-13,17.19022962451211,True,False,True,,
v5,NFLX,buy,2022-05-12,17.05803417336633,True,False,True,,
v5,GOOGL,buy,2024-03-05,16.992195917723585,True,False,True,,
v5,MSFT,buy,2021-10-04,16.880835862587617,True,False,True,,
v5,YINN,buy,2024-06-27,16.739892037029037,True,False,True,,
v5,TQQQ,buy,2021-12-20,16.52901129126998,True,False,True,,
v5,TQQQ,buy,2023-09-27,16.45828269842733,True,False,True,,
v5,MRNA,buy,2023-03-10,16.391072314140875,True,False,True,,
v5,TSLA,buy,2024-02-05,16.02053965016119,True,False,True,,
v5,YINN,buy,2021-11-05,16.007533416677155,False,False,True,,
v5,SNOW,buy,2023-08-18,15.624586694204702,True,False,True,,
v5,YINN,buy,2024-03-05,15.521908462737821,True,False,True,,
v5,MRNA,buy,2022-05-12,15.433450642988845,True,False,True,,
v5,MSFT,buy,2022-11-04,15.374561367392015,True,False,True,,
v5,TQQQ,buy,2023-01-06,51.82525764629617,True,True,False,2023-01-11,3.0
v5,AAOI,buy,2024-07-02,51.374995708465576,True,True,False,2024-07-10,5.0
