symbol,signal,date,year,reference_open_date,outcome_date,return20_pct,mfe20_pct,mae20_pct,win,interference,band_position,macd_level,macd_delta,rsi_center,chip_center,quality_score,quality_tier,cv_scheme,fold,fit_events,fit_outcome_end
TQQQ,b,2022-10-24,2022,2022-10-25,2022-11-21,-1.396641556245637,11.499094589521807,-21.554932941575867,False,True,0.19998179554452317,0.9058584903096877,0.19609514177138787,0.5816064014731631,0.29420257100122227,47.38772671718218,high,leave_one_symbol,TQQQ,76,
TQQQ,b,2023-01-11,2023,2023-01-12,2023-02-09,24.59018012996257,40.62502238679389,-4.815566840116503,True,False,0.19390176356422828,0.8295358772918878,0.3894098006914956,0.8226658528793933,0.3103601546413756,44.733660100382345,normal,leave_one_symbol,TQQQ,76,
TQQQ,b,2023-10-09,2023,2023-10-10,2023-11-06,1.062478034441483e-05,5.367022336056637,-19.836875182491276,True,False,0.07362586495482414,0.5491041036919495,0.4015270959628139,0.5433853385889438,0.4739090692120794,43.94340793301049,normal,leave_one_symbol,TQQQ,76,
TQQQ,b,2024-05-03,2024,2024-05-06,2024-06-03,9.961668597272189,15.830721029204176,-0.522464727668337,True,False,0.11543273805297409,0.7737950009090004,0.9087469652464715,0.4894922844728836,0.4217529074603956,39.077158428511325,low,leave_one_symbol,TQQQ,76,
TQQQ,jf,2022-01-24,2022,2022-01-25,2022-02-22,-9.732234632439473,20.72020291059342,-12.816263763550573,False,True,-0.4563024559780572,-2.2460982510953045,-0.03674701523866314,-1.3049269400399965,-0.8296240533816938,56.21695584313059,high,leave_one_symbol,TQQQ,76,
TQQQ,jf,2022-02-24,2022,2022-02-25,2022-03-24,14.040011668695996,14.180011071545383,-20.880004399424145,True,False,-0.31101717967355885,-0.4647750946639098,0.17159588822296043,-0.3797207932601799,-0.7861329514598198,48.656180120744594,normal,leave_one_symbol,TQQQ,76,
TQQQ,jf,2022-06-15,2022,2022-06-16,2022-07-15,16.528911597637407,23.966914733614942,-7.264028242366183,True,False,-0.33269474782868264,-0.3579790206102605,-0.017863292881859415,-0.6849973592695108,-0.9569014333535583,52.2767143244869,high,leave_one_symbol,TQQQ,76,
TQQQ,jf,2022-10-13,2022,2022-10-14,2022-11-10,8.060440166995075,14.05539698231333,-15.113361479610987,True,False,-0.248152732217586,0.018329252875959687,0.13446612538069155,-0.34815459437395446,-0.7585014138861034,48.84067481427934,normal,leave_one_symbol,TQQQ,76,
TQQQ,s,2021-12-02,2021,2021-12-03,2021-12-31,3.9562339727975404,9.362489435924903,-10.937520328013195,False,False,-0.3909808693366756,-1.4151067821702865,-0.13069819873066266,-0.43752489475344075,-0.31297928679611287,42.47978096226442,low,leave_one_symbol,TQQQ,76,
TQQQ,s,2022-08-17,2022,2022-08-18,2022-09-15,-32.662369225645214,1.8786924167275565,-33.84326174548185,True,False,0.25592012757627375,0.7711767854262209,-0.356153225373741,0.3757973179106165,0.712831929558555,57.11736873883068,normal,leave_one_symbol,TQQQ,76,
TQQQ,s,2023-01-30,2023,2023-01-31,2023-02-28,0.8660142867192855,25.113983300179775,-2.689146470557313,False,True,0.2883192910238344,1.4215667686451559,-0.30017928244524333,0.3518096488842187,0.6905132142384022,58.617764487658555,normal,leave_one_symbol,TQQQ,76,
TQQQ,s,2023-08-09,2023,2023-08-10,2023-09-07,-0.6886585120778443,6.640401242939542,-13.010343792195933,True,False,-0.5212169000577912,-2.1585074204345407,-0.29411517001555176,-0.9193793053227948,-0.45895327090813337,42.71462311057032,low,leave_one_symbol,TQQQ,76,
TQQQ,s,2024-07-19,2024,2024-07-22,2024-08-16,-6.802432234324085,2.009505673964207,-33.74066625522186,True,False,-0.38667806474831157,-2.762136667617323,-0.6828439614299378,-1.067151269116985,-0.30263427379397,48.856617927043885,low,leave_one_symbol,TQQQ,76,
MSFT,b,2022-01-31,2022,2022-02-01,2022-03-01,-4.980506836985443,1.517345252894975,-12.528595789319485,False,True,0.050557643911115224,0.5757855969530258,0.6814429691202515,0.5409431606753955,0.414480734764374,44.42047892314316,low,leave_one_symbol,MSFT,87,
MSFT,b,2023-04-27,2023,2023-04-28,2023-05-25,7.207000742837644,7.529352125117961,-0.2302595916400696,True,False,0.7689366118153331,0.08378461600961104,0.7629367230387963,0.9738888794691707,0.7291168363012133,44.1853708751155,low,leave_one_symbol,MSFT,87,
NFLX,b,2022-12-01,2022,2022-12-02,2022-12-30,-5.027533664098516,7.159649547645874,-11.942414276199608,False,True,0.45988313256498287,0.25433200000953665,0.6106350119875043,1.0509249307537276,0.7395743834790074,42.80435941705166,normal,leave_one_symbol,NFLX,82,
NFLX,b,2023-03-24,2023,2023-03-27,2023-04-24,0.44878447362943774,6.792851172540426,-3.49565080270523,True,False,0.4889768348689461,0.9966376081569064,0.44755556227071464,0.8202282452003163,0.5718034537841444,46.245225702275775,high,leave_one_symbol,NFLX,82,
