window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,pressure_trades,pressure_winners,recovered_trades,recovery_censored_trades,recovery_rate_pct,return_trades,return_censored_trades,final_negative_intraday_trades,final_negative_intraday_winners,median_first_pressure_bar,median_max_pressure_streak,median_recovery_bars
training,B,return_recovery,censored,4,3,0,0.0,-7.201133704718343,-6.280120769983583,4,0,1,3,25.0,4,4,4,0,4.0,1.5,2.0
training,B,source_trusted,false,12,4,7,58.333333333333336,9.886538496059464,5.077161187781531,11,6,9,2,81.81818181818183,9,1,4,0,1.0,8.0,3.0
training,B,source_trusted,true,13,4,7,53.84615384615385,5.059702534329615,11.76681414720866,11,5,8,3,72.72727272727273,8,3,6,0,1.0,4.0,2.0
training,B,symbol,AAOI,3,1,1,33.33333333333333,1.616829323596436,-1.91320485993266,2,0,1,1,50.0,2,2,2,0,2.5,1.5,2.0
training,B,symbol,GOOGL,2,1,1,50.0,-3.407421826704576,-3.407421826704576,2,1,1,1,50.0,0,0,1,0,1.0,34.5,10.0
training,B,symbol,MRNA,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
training,B,symbol,MSFT,2,1,1,50.0,7.071823888481051,7.071823888481051,2,1,2,0,100.0,2,0,1,0,2.0,28.0,2.0
training,B,symbol,NFLX,3,1,3,100.0,33.416352293620236,26.615563913745355,3,3,3,0,100.0,3,0,0,0,2.0,7.0,7.0
training,B,symbol,NVDA,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
training,B,symbol,SNOW,4,1,2,50.0,-1.0030999809656493,0.056523891599147724,4,2,3,1,75.0,4,1,2,0,2.0,8.5,2.0
training,B,symbol,TQQQ,3,1,2,66.66666666666666,7.862911872344431,12.172843726286352,2,1,2,0,100.0,2,0,1,0,4.5,4.0,1.5
training,B,symbol,TSLA,3,1,2,66.66666666666666,13.783103094108329,25.85765548340815,3,2,2,1,66.66666666666666,0,0,1,0,1.0,12.0,22.5
training,B,symbol,YINN,5,1,2,40.0,2.2121201896599785,-7.5571202234804735,4,1,3,1,75.0,4,1,2,0,1.5,2.5,2.0
training,JF,all,all,25,6,10,40.0,5.914262775157648,-3.1678067374243724,22,9,17,5,77.27272727272727,20,8,15,3,2.0,7.0,3.0
training,JF,exit_reason,signal,5,4,5,100.0,54.3593384473298,32.27609989487663,5,5,5,0,100.0,5,2,2,2,1.0,7.0,7.0
training,JF,exit_reason,trail,18,6,3,16.666666666666664,-9.396589095579817,-10.513505759912533,15,2,10,5,66.66666666666666,13,6,13,1,2.0,7.0,2.5
training,JF,exit_reason,terminal,2,2,2,100.0,22.599240431364453,22.599240431364453,2,2,2,0,100.0,2,0,0,0,2.0,1.5,1.5
training,JF,outcome,win,10,6,10,100.0,35.504694698150026,19.16561714747227,9,9,9,0,100.0,9,2,3,3,2.0,5.0,3.0
training,JF,outcome,nonpositive,15,5,0,0.0,-13.8126918401706,-12.0011368775506,13,0,8,5,61.53846153846154,11,6,12,0,1.0,7.0,2.5
training,JF,first_pressure,none,3,3,1,33.33333333333333,2.295224939887911,-0.1998999999999973,0,0,0,0,,0,0,0,0,,,
training,JF,first_pressure,before_net_positive,10,5,3,30.0,-5.552964047942387,-12.073337584432341,10,3,8,2,80.0,8,5,9,2,1.0,7.0,6.0
training,JF,first_pressure,after_net_positive,12,6,6,50.0,16.375044586558445,3.8257891563614974,12,6,9,3,75.0,12,3,6,1,3.0,5.0,2.0
