entry,events,win,mean_20d,median_20d,interference,interference_rate,median_mae_20d
v4-b+jf,144,56.25,4.401168816541738,2.456938955818555,58,40.27777777777778,-11.047180631978199
v4-b-only,103,51.45631067961165,2.8234732295722114,1.5813925099927406,45,43.689320388349515,-11.12454733723004
stage5-ma60+jf,130,57.692307692307686,5.183555890983327,2.8175359476236284,50,38.46153846153847,-11.89560612646201
b-confirm3-ma20+jf,93,60.215053763440864,5.409015380188755,3.8035273553150395,36,38.70967741935484,-10.664030348173092
b-confirm5-ma20+jf,104,60.57692307692307,5.073123502380357,3.751717763278062,40,38.46153846153847,-10.931609338883952
all-confirm3-ma20,51,52.94117647058824,3.305917855308491,0.44878447362943774,22,43.13725490196079,-10.31626324334477
all-confirm5-ma20,64,56.25,4.065806765646209,2.1692124305907057,26,40.625,-10.526004327544097
