window,outcome,setups,mean_20d,median_20d,interference,interference_rate
3,confirmed,50,6.393040059950637,2.7728144789215925,16,32.0
3,expired,53,-0.5440426481432881,-3.8383489685061,29,54.71698113207547
5,confirmed,61,7.047755141282491,2.649567830874333,21,34.42622950819672
5,expired,42,-3.311793356483196,-4.049367965667416,24,57.14285714285714
