omitted,scheme,total,cagr,mdd,sharpe,calmar,trades,win,avg_trade,median_trade,worst_trade,profit_factor,median_symbol_total,positive_symbols,symbols,max_symbol_mdd,exposure
TQQQ,baseline,196.5203444482824,24.390449795191273,37.16377930751107,0.9574153388729424,0.6562962715221426,46,63.04347826086957,24.72629549851627,13.425695434431105,-68.66988113497078,3.6298282105195923,81.12,7,9,87.93,0.6290393979637008
TQQQ,recommended,160.1979048199869,21.169043160695743,15.512805824672904,1.311999382626203,1.3646172974734636,72,54.166666666666664,16.523653137531863,2.54671151694289,-34.38185233852087,3.4139382551980626,45.41,7,9,67.5,0.33404161133244803
MSFT,baseline,250.11289270278917,28.61015235138671,41.64328843867213,1.0138484311615896,0.6870291330023262,51,62.745098039215684,26.3322193735647,10.88050523228099,-68.66988113497078,3.8751825107457165,81.12,7,9,87.93,0.5873395307658256
MSFT,recommended,177.7161306488189,22.76475124363828,15.5303727752369,1.3170401106609722,1.4658213021091522,78,53.84615384615385,16.092558820063893,2.54671151694289,-34.38185233852087,3.3701105556410087,74.02,7,9,67.5,0.29694555112881804
NFLX,baseline,258.3889521356411,29.21491300021577,34.7524724948182,1.0383687316117203,0.8406571073345037,47,61.702127659574465,28.035648045503812,18.077597358703624,-68.66988113497078,4.244467200205551,82.18,7,9,87.93,0.6035413899955733
NFLX,recommended,140.61795650480354,19.280500808384595,16.56043677212634,1.1410802759472907,1.164250742518852,76,50.0,14.432343696487068,0.06538526366255959,-34.38185233852087,2.989721149281073,45.41,7,9,67.5,0.2958831341301461
YINN,baseline,242.55594885558637,28.0478773816522,40.01427636915491,1.0474619644939391,0.7009467601736505,44,70.45454545454545,30.904927937538663,18.786188510127133,-68.66988113497078,5.374305187470026,82.18,8,9,84.3,0.6177954847277556
YINN,recommended,150.20298718432076,20.21976165861592,14.235218423150675,1.2896046327239274,1.4204040329815106,67,55.223880597014926,16.982307727683253,3.7543327154057726,-27.047831583052417,3.814961834011856,45.41,7,9,57.86,0.31677733510402833
SNOW,baseline,235.66814469960283,27.526687051025412,38.19315401452153,1.0057911327422004,0.7207230657242762,46,63.04347826086957,28.74508853256091,13.465221770063296,-68.66988113497078,4.034321545435593,81.12,7,9,87.93,0.6280655157149181
SNOW,recommended,167.3960849111327,21.834804690672406,15.203498039834217,1.3062145074212277,1.4361697968101619,71,54.929577464788736,16.57043262284103,3.2947802138015847,-34.38185233852087,3.6111794083754707,74.02,7,9,67.5,0.31881363435148297
TSLA,baseline,237.07327766050906,27.63370088581576,41.309333542601955,1.0066410986034138,0.6689456961903625,47,65.95744680851064,27.92546743681698,18.077597358703624,-68.66988113497078,3.8788530715877068,81.12,7,9,87.93,0.6381584772023019
TSLA,recommended,161.37140696560596,21.27857674536695,17.489472470639356,1.2676159507253077,1.216650575429796,75,53.333333333333336,15.801731603861985,1.7986428200841953,-34.38185233852087,3.337706996937749,45.41,7,9,67.5,0.33253652058432936
MRNA,baseline,301.43473779615925,32.19163017613367,38.9463044580446,1.127851317496286,0.826564435935443,49,67.3469387755102,29.393114907981417,18.077597358703624,-60.95102468073881,5.06637630196154,82.18,8,9,87.93,0.613899955732625
MRNA,recommended,179.60361371437443,22.931835744927298,14.09380487357421,1.3465982428870389,1.6270862233891386,74,55.4054054054054,17.188252180198564,3.8748542635758443,-34.38185233852087,3.609632897555136,74.02,8,9,67.5,0.3244798583444002
NVDA,baseline,251.39748169603675,28.704765685019517,43.006347549192505,1.000055890776483,0.6674541624857999,51,62.745098039215684,26.572235968016273,10.88050523228099,-68.66988113497078,3.901389626251852,82.18,7,9,87.93,0.6530323151837096
NVDA,recommended,173.4777056905902,22.386222556570836,16.56043677212634,1.3004476911551865,1.3517893799908798,79,53.16455696202531,15.642076038930352,1.7986428200841953,-34.38185233852087,3.3424320116739823,74.02,7,9,67.5,0.32819831783975206
GOOGL,baseline,249.3697193285407,28.555288941473258,40.64337688099937,1.0155056329446241,0.7025816045030143,50,64.0,26.74905844748216,13.465221770063296,-68.66988113497078,3.9068205357007484,82.18,7,9,87.93,0.593625498007968
GOOGL,recommended,186.9725952782627,23.575648479860934,14.846608670089957,1.3437277917776786,1.5879483997821362,77,53.246753246753244,16.719878302588327,1.7986428200841953,-34.38185233852087,3.473902958167522,74.02,8,9,67.5,0.32226648959716686
AAOI,baseline,123.8096703863651,17.55864114846566,38.113792090187424,0.7488169919838318,0.4606899546210783,46,60.86956521739131,17.18810987523404,10.840978896648801,-68.66988113497078,2.9093742694109115,81.12,7,9,87.93,0.629924745462594
AAOI,recommended,97.28079376165009,14.617805386469351,15.322781853012978,1.0064012386759058,0.9539916137091643,69,53.62318840579711,10.772099919917252,3.995375811745916,-34.38185233852087,2.51510391680102,45.41,7,9,67.5,0.32766710934041604
