entry,exit,trail,max_hold,hard_stop,name,train_total,train_cagr,train_mdd,train_sharpe,train_calmar,train_trades,train_win,train_avg_trade,train_median_trade,train_worst_trade,train_profit_factor,train_median_symbol_total,train_positive_symbols,train_symbols,train_max_symbol_mdd,train_exposure,validation_total,validation_cagr,validation_mdd,validation_sharpe,validation_calmar,validation_trades,validation_win,validation_avg_trade,validation_median_trade,validation_worst_trade,validation_profit_factor,validation_median_symbol_total,validation_positive_symbols,validation_symbols,validation_max_symbol_mdd,validation_exposure,test_total,test_cagr,test_mdd,test_sharpe,test_calmar,test_trades,test_win,test_avg_trade,test_median_trade,test_worst_trade,test_profit_factor,test_median_symbol_total,test_positive_symbols,test_symbols,test_max_symbol_mdd,test_exposure,full_total,full_cagr,full_mdd,full_sharpe,full_calmar,full_trades,full_win,full_avg_trade,full_median_trade,full_worst_trade,full_profit_factor,full_median_symbol_total,full_positive_symbols,full_symbols,full_max_symbol_mdd,full_exposure,selection_score
b-confirm5-ma20+jf,MA20-down,,,,b-confirm5-ma20+jf|exit=MA20-down|trail=none|hold=none,36.19297561118371,10.891024671613604,15.207073360880619,0.9665782892107461,0.7161815040381261,52,50.0,7.171394334983587,0.17221951279966508,-33.328235966336415,3.0242545999290527,4.5,7,10,62.69,0.1199203187250996,22.36416459614732,22.56189960388324,6.924387614196226,1.431602222533987,3.2583241812788373,19,63.1578947368421,10.556728624463775,2.553486310297992,-16.97103746076054,4.104426717568691,5.77,6,10,34.34,0.1416,12.89895849352789,12.89895849352789,5.40970572896976,1.383190383011119,2.3844103801158893,21,61.904761904761905,5.918821028701837,2.324841024468993,-23.820405064149398,2.917821631646344,6.385,6,10,30.63,0.12777777777777777,91.75440306543933,13.965752936323472,15.207073360880619,1.1570674164747055,0.9183721683259334,92,55.434782608695656,7.812201594395781,1.8183499472947617,-33.328235966336415,3.2532028741517367,7.965,6,10,62.69,0.12964143426294822,1.6502657049728457
b-confirm5-ma20+jf,MA20-down,,60.0,,b-confirm5-ma20+jf|exit=MA20-down|trail=none|hold=60,36.19297561118371,10.891024671613604,15.207073360880619,0.9665782892107461,0.7161815040381261,52,50.0,7.171394334983587,0.17221951279966508,-33.328235966336415,3.0242545999290527,4.5,7,10,62.69,0.1199203187250996,22.36416459614732,22.56189960388324,6.924387614196226,1.431602222533987,3.2583241812788373,19,63.1578947368421,10.556728624463775,2.553486310297992,-16.97103746076054,4.104426717568691,5.77,6,10,34.34,0.1416,12.89895849352789,12.89895849352789,5.40970572896976,1.383190383011119,2.3844103801158893,21,61.904761904761905,5.918821028701837,2.324841024468993,-23.820405064149398,2.917821631646344,6.385,6,10,30.63,0.12777777777777777,91.75440306543933,13.965752936323472,15.207073360880619,1.1570674164747055,0.9183721683259334,92,55.434782608695656,7.812201594395781,1.8183499472947617,-33.328235966336415,3.2532028741517367,7.965,6,10,62.69,0.12964143426294822,1.6502657049728457
b-confirm5-ma20+jf,MA20-down,,120.0,,b-confirm5-ma20+jf|exit=MA20-down|trail=none|hold=120,36.19297561118371,10.891024671613604,15.207073360880619,0.9665782892107461,0.7161815040381261,52,50.0,7.171394334983587,0.17221951279966508,-33.328235966336415,3.0242545999290527,4.5,7,10,62.69,0.1199203187250996,22.36416459614732,22.56189960388324,6.924387614196226,1.431602222533987,3.2583241812788373,19,63.1578947368421,10.556728624463775,2.553486310297992,-16.97103746076054,4.104426717568691,5.77,6,10,34.34,0.1416,12.89895849352789,12.89895849352789,5.40970572896976,1.383190383011119,2.3844103801158893,21,61.904761904761905,5.918821028701837,2.324841024468993,-23.820405064149398,2.917821631646344,6.385,6,10,30.63,0.12777777777777777,91.75440306543933,13.965752936323472,15.207073360880619,1.1570674164747055,0.9183721683259334,92,55.434782608695656,7.812201594395781,1.8183499472947617,-33.328235966336415,3.2532028741517367,7.965,6,10,62.69,0.12964143426294822,1.6502657049728457
b-confirm5-ma20+jf,S-or-MA20,,,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=none|hold=none,29.263381595550353,8.969898460517634,13.8748234053778,0.8664183716881383,0.6464873965200129,52,51.92307692307693,5.252270089768659,1.1523455705650054,-33.328235966336415,2.5389918476173463,7.35,7,10,59.63,0.10849933598937582,24.880082344320932,25.102250333867037,6.924387614196236,1.5834416794533814,3.625194274567028,19,63.1578947368421,12.24416201180938,2.553486310297992,-16.97103746076054,4.600651777257502,5.77,6,10,34.34,0.1364,14.583244447268484,14.583244447268484,5.409705728969849,1.7609737552169622,2.6957555878081965,21,61.904761904761905,7.297036255246144,2.324841024468993,-23.820405064149398,3.364392149949507,6.385,6,10,30.63,0.11944444444444442,88.51080848337247,13.57601917413318,13.8748234053778,1.1881914464110477,0.9784642858136265,92,56.52173913043478,7.390563478806876,2.0441731829918486,-33.328235966336415,3.17772198735253,16.65,7,10,59.63,0.12007968127490039,1.5873103921838525
b-confirm5-ma20+jf,S-or-MA20,,60.0,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=none|hold=60,29.263381595550353,8.969898460517634,13.8748234053778,0.8664183716881383,0.6464873965200129,52,51.92307692307693,5.252270089768659,1.1523455705650054,-33.328235966336415,2.5389918476173463,7.35,7,10,59.63,0.10849933598937582,24.880082344320932,25.102250333867037,6.924387614196236,1.5834416794533814,3.625194274567028,19,63.1578947368421,12.24416201180938,2.553486310297992,-16.97103746076054,4.600651777257502,5.77,6,10,34.34,0.1364,14.583244447268484,14.583244447268484,5.409705728969849,1.7609737552169622,2.6957555878081965,21,61.904761904761905,7.297036255246144,2.324841024468993,-23.820405064149398,3.364392149949507,6.385,6,10,30.63,0.11944444444444442,88.51080848337247,13.57601917413318,13.8748234053778,1.1881914464110477,0.9784642858136265,92,56.52173913043478,7.390563478806876,2.0441731829918486,-33.328235966336415,3.17772198735253,16.65,7,10,59.63,0.12007968127490039,1.5873103921838525
b-confirm5-ma20+jf,S-or-MA20,,120.0,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=none|hold=120,29.263381595550353,8.969898460517634,13.8748234053778,0.8664183716881383,0.6464873965200129,52,51.92307692307693,5.252270089768659,1.1523455705650054,-33.328235966336415,2.5389918476173463,7.35,7,10,59.63,0.10849933598937582,24.880082344320932,25.102250333867037,6.924387614196236,1.5834416794533814,3.625194274567028,19,63.1578947368421,12.24416201180938,2.553486310297992,-16.97103746076054,4.600651777257502,5.77,6,10,34.34,0.1364,14.583244447268484,14.583244447268484,5.409705728969849,1.7609737552169622,2.6957555878081965,21,61.904761904761905,7.297036255246144,2.324841024468993,-23.820405064149398,3.364392149949507,6.385,6,10,30.63,0.11944444444444442,88.51080848337247,13.57601917413318,13.8748234053778,1.1881914464110477,0.9784642858136265,92,56.52173913043478,7.390563478806876,2.0441731829918486,-33.328235966336415,3.17772198735253,16.65,7,10,59.63,0.12007968127490039,1.5873103921838525
b-confirm5-ma20+jf,S-or-MA20,0.15,,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=15%|hold=none,25.316346852306992,7.844846932822813,7.061838370196972,0.9515790669730048,1.1108788564080379,55,54.54545454545454,4.973030054359763,1.9044469405472109,-34.38185233852088,2.3551697403250182,4.5,6,10,45.56,0.0954847277556441,13.860225588507657,13.978520748017731,6.924387614196215,1.03757959194601,2.018737472084795,20,50.0,6.433300551136294,0.15976954412864064,-16.97103746076054,2.541785491441427,0.215,5,10,40.98,0.1072,15.342562484662547,15.342562484662547,3.941243562906016,1.9720984280041318,3.8928227194743434,21,61.904761904761905,7.702313668623264,2.324841024468993,-21.011725753607337,3.6087658045678164,6.385,7,10,21.37,0.10277777777777777,67.7319565398279,10.943570665337488,7.061838370196972,1.133016579346297,1.5496773066235225,96,55.208333333333336,6.092377154701213,1.988055911693365,-34.38185233852088,2.658627848342172,11.169999999999998,6,10,45.56,0.10310756972111554,1.5815295582608937
b-confirm5-ma20+jf,S-or-MA20,0.15,60.0,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=15%|hold=60,25.316346852306992,7.844846932822813,7.061838370196972,0.9515790669730048,1.1108788564080379,55,54.54545454545454,4.973030054359763,1.9044469405472109,-34.38185233852088,2.3551697403250182,4.5,6,10,45.56,0.0954847277556441,13.860225588507657,13.978520748017731,6.924387614196215,1.03757959194601,2.018737472084795,20,50.0,6.433300551136294,0.15976954412864064,-16.97103746076054,2.541785491441427,0.215,5,10,40.98,0.1072,15.342562484662547,15.342562484662547,3.941243562906016,1.9720984280041318,3.8928227194743434,21,61.904761904761905,7.702313668623264,2.324841024468993,-21.011725753607337,3.6087658045678164,6.385,7,10,21.37,0.10277777777777777,67.7319565398279,10.943570665337488,7.061838370196972,1.133016579346297,1.5496773066235225,96,55.208333333333336,6.092377154701213,1.988055911693365,-34.38185233852088,2.658627848342172,11.169999999999998,6,10,45.56,0.10310756972111554,1.5815295582608937
b-confirm5-ma20+jf,S-or-MA20,0.15,120.0,,b-confirm5-ma20+jf|exit=S-or-MA20|trail=15%|hold=120,25.316346852306992,7.844846932822813,7.061838370196972,0.9515790669730048,1.1108788564080379,55,54.54545454545454,4.973030054359763,1.9044469405472109,-34.38185233852088,2.3551697403250182,4.5,6,10,45.56,0.0954847277556441,13.860225588507657,13.978520748017731,6.924387614196215,1.03757959194601,2.018737472084795,20,50.0,6.433300551136294,0.15976954412864064,-16.97103746076054,2.541785491441427,0.215,5,10,40.98,0.1072,15.342562484662547,15.342562484662547,3.941243562906016,1.9720984280041318,3.8928227194743434,21,61.904761904761905,7.702313668623264,2.324841024468993,-21.011725753607337,3.6087658045678164,6.385,7,10,21.37,0.10277777777777777,67.7319565398279,10.943570665337488,7.061838370196972,1.133016579346297,1.5496773066235225,96,55.208333333333336,6.092377154701213,1.988055911693365,-34.38185233852088,2.658627848342172,11.169999999999998,6,10,45.56,0.10310756972111554,1.5815295582608937
b-confirm5-ma20+jf,S,0.2,,0.15,b-confirm5-ma20+jf|exit=S|trail=20%|hold=none|hard=15%,36.3087933351794,10.92257467841442,14.103338045614787,0.8597555601683029,0.7744673383767202,50,48.0,7.7224179672668525,-0.4967422602022542,-34.38185233852086,2.125374834119995,12.035,6,10,64.51,0.25152722443559095,26.08995096047795,26.32401473004833,11.285776584592899,1.3598506971506186,2.332494758578272,18,61.111111111111114,13.904995536402698,2.776487767745006,-20.56036340301006,3.9921478374071766,12.925,6,10,44.92,0.34720000000000006,37.703272299149425,37.703272299149425,7.395642229987509,2.7358478882911688,5.098038970337416,17,64.70588235294117,22.342428418315237,16.521418373581742,-15.94187460033709,6.960557390475026,34.67,8,10,29.02,0.2515873015873016,178.04908712660014,22.794291135512324,14.103338045614787,1.4350409985468824,1.6162337640768563,83,53.01204819277109,16.23382283582965,1.7986428200842175,-34.38185233852086,3.7471442972426816,94.455,10,10,64.51,0.30573705179282873,1.5672020652359189
