rule,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered,drawdown_peak,drawdown_trough,hard_stop_exits,max_hold_exits,entry_signal_exits
v5,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,107,11,39,7,2021-10-25,2022-03-07,0,0,0
P-stop5,45.618371509075814,13.402373531243894,22.09546650851776,0.81316611630799,0.6065666695055887,84,39.285714285714285,-34.38185233852087,-4.553417952324645,0.4216467463479415,39,121,52.892561983471076,41.32231404958678,98,52.04081632653062,40.816326530612244,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,95,22,60,15,2021-11-16,2022-03-07,24,0,0
P-mid5,34.58021557788988,10.449824385225991,19.29541226768806,0.6901347676501459,0.541570412710237,70,41.42857142857143,-34.38185233852087,-2.8035119216244353,0.3735723771580345,33,94,56.38297872340425,39.361702127659576,71,56.33802816901409,38.028169014084504,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,98,20,53,12,2021-10-25,2022-03-07,13,0,0
P-long20,39.273446205976725,11.724177859192487,21.121367283133306,0.7459781643511175,0.555086122125955,77,40.25974025974026,-34.38185233852087,-4.459071666167269,0.39535192563081006,35,110,52.72727272727272,40.909090909090914,87,51.724137931034484,40.229885057471265,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,96,18,56,12,2021-11-16,2022-03-07,20,0,0
P-dual,29.09707077215369,8.922958460167374,19.29541226768806,0.6143658026150017,0.4624393786656576,71,40.845070422535215,-34.38185233852087,-3.1678067374243724,0.35205843293492695,34,90,56.666666666666664,38.88888888888889,67,56.71641791044776,37.3134328358209,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,98,18,52,11,2021-10-25,2022-03-07,14,0,0
