mechanism,symbol,episode_id,expiry_date,trigger_date,reference_open_date,mature,return20_net_pct,mae20_pct,win,interference
mid-reclaim,TSLA,TSLA:2024-03-27,2024-04-04,2024-04-08,2024-04-09,True,6.639671142533898,-19.727025555448673,True,False
mid-reclaim,YINN,YINN:2021-12-30,2022-01-06,2022-01-31,2022-02-01,True,-24.520009248559894,-30.73545605816228,False,True
mid-reclaim,YINN,YINN:2022-05-03,2022-05-10,2022-05-17,2022-05-18,True,27.00948456792829,-10.555553436279297,True,False
upper-breakout,AAOI,AAOI:2022-05-03,2022-05-10,2022-08-03,2022-08-04,True,23.342689068960777,-7.948722400452002,True,False
upper-breakout,AAOI,AAOI:2023-05-10,2023-05-17,2023-07-05,2023-07-06,True,7.042487658485208,-14.94919815574055,True,False
upper-breakout,MRNA,MRNA:2022-02-24,2022-03-03,2022-07-07,2022-07-08,True,13.514424487317388,-11.123480176534317,True,False
upper-breakout,MRNA,MRNA:2023-02-14,2023-02-22,2023-04-03,2023-04-04,True,-17.632485535682562,-18.96237746893876,False,True
upper-breakout,MRNA,MRNA:2023-11-03,2023-11-10,2024-03-11,2024-03-12,True,-0.5563302882398813,-13.392857142857139,False,True
upper-breakout,MSFT,MSFT:2022-05-04,2022-05-11,2022-07-28,2022-07-29,True,0.21338592302317938,-1.9157389594396501,True,False
upper-breakout,NFLX,NFLX:2022-05-13,2022-05-20,2022-06-02,2022-06-03,True,-10.267668195642843,-17.91746004517254,False,True
upper-breakout,NFLX,NFLX:2023-08-23,2023-08-30,2023-09-05,2023-09-06,True,-16.186248941330295,-17.277812443186836,False,True
upper-breakout,NVDA,NVDA:2023-02-23,2023-03-02,2023-03-16,2023-03-17,True,2.7808012598889764,-3.279205938521512,True,False
upper-breakout,SNOW,SNOW:2022-06-02,2022-06-09,2022-08-10,2022-08-11,True,0.11805463621208379,-17.427761051001422,True,False
upper-breakout,TSLA,TSLA:2023-08-21,2023-08-28,2023-09-11,2023-09-12,True,-4.287589110659907,-13.36238980264789,False,True
upper-breakout,YINN,YINN:2022-05-03,2022-05-10,2022-06-02,2022-06-03,True,15.120849740459175,-9.41834916053984,True,False
macd-zero-reclaim,AAOI,AAOI:2022-03-08,2022-03-15,2022-03-18,2022-03-21,True,-15.016160821789448,-17.36694389783664,False,True
macd-zero-reclaim,AAOI,AAOI:2022-05-03,2022-05-10,2022-05-17,2022-05-18,True,-19.345226098932024,-24.081633546758507,False,True
