position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
all,confirmed_b,component,B_STAGE_COMPONENT,5,4,1,4,2,2,50.0,50.0,-5.529163050890004,-2.198861354700471,6.51009249526287,-13.73825015748753,5,5,0,0,0,0,5
all,confirmed_b,component,B_BEAR_RECOVER,4,4,0,4,4,0,100.0,0.0,16.74255690791475,9.992738276703228,22.16665596958877,-4.771890568717205,4,4,0,0,0,0,4
all,confirmed_b,component,B_CRASH_RECOVER,1,1,0,1,1,0,100.0,0.0,8.337730132423339,8.337730132423339,9.023741507266347,-12.255937389849358,0,0,0,0,1,0,1
all,confirmed_b,component,multiple,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,confirmed_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,all,all,9,8,1,6,6,2,75.0,25.0,17.039905779344302,11.032666261967506,25.52042983066039,-6.532402919212693,7,0,1,0,0,1,0
all,raw_jf,symbol,TQQQ,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,3.0728492989445355,3.0728492989445355,7.5470172806291425,-4.662253272454475,1,0,0,0,0,0,0
all,raw_jf,symbol,NFLX,2,2,0,1,2,0,100.0,0.0,12.658140157626551,12.658140157626551,17.828902647270674,-1.4332946423323,2,0,0,0,0,0,0
all,raw_jf,symbol,YINN,1,1,0,1,0,1,0.0,100.0,-27.981544608376208,-27.981544608376208,0.8535242436119361,-28.4659715792284,0,0,0,0,0,0,0
all,raw_jf,symbol,SNOW,2,2,0,1,1,1,50.0,50.0,0.5798566347196941,0.5798566347196941,9.358842455409677,-7.2472780876412966,2,0,0,0,0,0,0
all,raw_jf,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,symbol,MRNA,1,1,0,1,1,0,100.0,0.0,46.88552689261203,46.88552689261203,51.094281060822986,-0.9048827883702759,0,0,0,0,0,0,0
all,raw_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,symbol,AAOI,2,1,1,1,1,0,100.0,0.0,87.86642106688159,87.86642106688159,90.29312585485837,-0.8649702537012027,2,0,1,0,0,1,0
all,raw_jf,source_trusted,false,5,5,0,4,4,1,80.0,20.0,9.458622379686691,10.913464139551898,19.030525575921082,-7.379939384943549,3,0,0,0,0,0,0
all,raw_jf,source_trusted,true,4,3,1,2,2,1,66.66666666666666,33.33333333333333,29.675378112106994,11.151868384383112,36.33693692189258,-5.119842142994599,4,0,1,0,0,1,0
all,tradable_jf,all,all,9,8,1,6,6,2,75.0,25.0,17.039905779344302,11.032666261967506,25.52042983066039,-6.532402919212693,7,7,1,0,0,1,0
all,tradable_jf,symbol,TQQQ,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,tradable_jf,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,3.0728492989445355,3.0728492989445355,7.5470172806291425,-4.662253272454475,1,1,0,0,0,0,0
all,tradable_jf,symbol,NFLX,2,2,0,1,2,0,100.0,0.0,12.658140157626551,12.658140157626551,17.828902647270674,-1.4332946423323,2,2,0,0,0,0,0
all,tradable_jf,symbol,YINN,1,1,0,1,0,1,0.0,100.0,-27.981544608376208,-27.981544608376208,0.8535242436119361,-28.4659715792284,0,0,0,0,0,0,0
all,tradable_jf,symbol,SNOW,2,2,0,1,1,1,50.0,50.0,0.5798566347196941,0.5798566347196941,9.358842455409677,-7.2472780876412966,2,2,0,0,0,0,0
all,tradable_jf,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,tradable_jf,symbol,MRNA,1,1,0,1,1,0,100.0,0.0,46.88552689261203,46.88552689261203,51.094281060822986,-0.9048827883702759,0,0,0,0,0,0,0
all,tradable_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,tradable_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,tradable_jf,symbol,AAOI,2,1,1,1,1,0,100.0,0.0,87.86642106688159,87.86642106688159,90.29312585485837,-0.8649702537012027,2,2,1,0,0,1,0
all,tradable_jf,source_trusted,false,5,5,0,4,4,1,80.0,20.0,9.458622379686691,10.913464139551898,19.030525575921082,-7.379939384943549,3,3,0,0,0,0,0
