scheme,signal,candidate,dimension,value,events,symbols,base_win_pct,base_noise_pct,brier,base_brier,brier_gain,logloss,base_logloss,high_events,high_symbols,coverage_pct,high_win_pct,high_noise_pct,win_gain_pp,noise_reduction_pp,high_wilson_low_pct,high_wilson_high_pct
time,b,decay730,fold_start,2021-08-27,6,4,0.0,100.0,0.4323977195767907,0.3814878892733564,-0.05090983030343427,1.071686722004219,0.9614111671546247,0,0,0.0,,,,,,
time,b,decay730,fold_start,2022-08-27,14,8,64.28571428571429,35.714285714285715,0.25000090085143406,0.24088552732217222,-0.00911537352926198,0.6931489822628137,0.6748879969859475,0,0,0.0,,,,,,
time,b,decay730,fold_start,2023-08-27,15,8,46.666666666666664,40.0,0.2630777579129833,0.2604252400548697,-0.002652517858113651,0.7196379037929166,0.7141931026423262,0,0,0.0,,,,,,
time,b,decay730,fold_start,2024-08-27,13,8,53.84615384615385,46.15384615384615,0.24994992588033252,0.24858727131454397,-0.001362654565788518,0.6930470322632954,0.6903193837697507,0,0,0.0,,,,,,
time,b,decay730,fold_start,2025-08-27,12,9,75.0,25.0,0.24146429716219855,0.2330458060678168,-0.008418491094381843,0.6760687711340392,0.6591804818939608,0,0,0.0,,,,,,
time,b,decay730,symbol,AAOI,5,1,60.0,40.0,0.25641515005524196,0.24685323164633424,-0.009561918408907789,0.7060689005139954,0.686891210827025,0,0,0.0,,,,,,
time,b,decay730,symbol,GOOGL,4,1,75.0,25.0,0.2714830256116991,0.24956728753317933,-0.021915738078519813,0.7391724578444459,0.6933110757791892,0,0,0.0,,,,,,
time,b,decay730,symbol,MRNA,6,1,33.33333333333333,66.66666666666666,0.2445331008756795,0.2601823354960016,0.015649234620322087,0.6822085826094325,0.7135324878089482,0,0,0.0,,,,,,
time,b,decay730,symbol,MSFT,5,1,60.0,40.0,0.26744967812399445,0.2547256667759531,-0.012724011348041353,0.7304939179587191,0.7034269546934032,0,0,0.0,,,,,,
time,b,decay730,symbol,NFLX,8,1,87.5,12.5,0.2203446256813738,0.21359517389305155,-0.006749451788322248,0.6332766327449119,0.619946658591535,0,0,0.0,,,,,,
time,b,decay730,symbol,NVDA,2,1,50.0,50.0,0.24163618987483304,0.24798721354478206,0.006351023669949038,0.6764123605679284,0.6890985754436356,0,0,0.0,,,,,,
time,b,decay730,symbol,SNOW,10,1,30.0,60.0,0.32167200664209894,0.3023692831987652,-0.019302723443333777,0.8410000053170883,0.7997068177847835,0,0,0.0,,,,,,
time,b,decay730,symbol,TQQQ,5,1,60.0,20.0,0.2494666138917312,0.24568080760602848,-0.003785806285702714,0.6921659111469259,0.6845357973888209,0,0,0.0,,,,,,
time,b,decay730,symbol,TSLA,6,1,33.33333333333333,66.66666666666666,0.2685257429487677,0.27033307044211585,0.0018073274933481098,0.7305236492952697,0.7340433061891903,0,0,0.0,,,,,,
