scheme,signal,candidate,bin_low,bin_high,events,mean_probability,observed_win_rate
time,b,decay730,0.0,0.2,0,,
time,b,decay730,0.2,0.4,0,,
time,b,decay730,0.4,0.6,54,0.5279189039243275,0.5925925925925926
time,b,decay730,0.6,0.8,6,0.6575695549345261,0.0
time,b,decay730,0.8,1.0,0,,
time,jf,decay730,0.0,0.2,0,,
time,jf,decay730,0.2,0.4,15,0.3534594439121497,0.5333333333333333
time,jf,decay730,0.4,0.6,20,0.4906543123692845,0.75
time,jf,decay730,0.6,0.8,9,0.630052904756608,0.7777777777777778
time,jf,decay730,0.8,1.0,0,,
time,s,decay730,0.0,0.2,0,,
time,s,decay730,0.2,0.4,28,0.37564183017573555,0.5357142857142857
time,s,decay730,0.4,0.6,33,0.4950861907084549,0.5454545454545454
time,s,decay730,0.6,0.8,0,,
time,s,decay730,0.8,1.0,0,,
time_symbol,jf,decay730,0.0,0.2,0,,
time_symbol,jf,decay730,0.2,0.4,15,0.3438753169032343,0.5333333333333333
time_symbol,jf,decay730,0.4,0.6,20,0.48697929831010545,0.75
time_symbol,jf,decay730,0.6,0.8,9,0.6380155313837613,0.7777777777777778
time_symbol,jf,decay730,0.8,1.0,0,,
time_symbol,s,decay730,0.0,0.2,0,,
time_symbol,s,decay730,0.2,0.4,20,0.3577364984405712,0.55
time_symbol,s,decay730,0.4,0.6,41,0.4805756851021124,0.5365853658536586
time_symbol,s,decay730,0.6,0.8,0,,
time_symbol,s,decay730,0.8,1.0,0,,
time_symbol,b,decay730,0.0,0.2,0,,
time_symbol,b,decay730,0.2,0.4,0,,
time_symbol,b,decay730,0.4,0.6,51,0.5243807994719691,0.6078431372549019
time_symbol,b,decay730,0.6,0.8,9,0.6493695838242214,0.1111111111111111
time_symbol,b,decay730,0.8,1.0,0,,
