symbol,episode_id,date,available_at,position,age,close,mid,setup_high,above_high,above_mid,both
TQQQ,TQQQ:2022-01-31,2022-02-01,2022-02-07,held,1,30.022216796875,31.362994575500487,29.569571123007492,True,False,False
TQQQ,TQQQ:2022-01-31,2022-02-02,2022-02-07,held,2,30.732149124145508,30.940367794036867,29.569571123007492,True,False,False
TQQQ,TQQQ:2022-01-31,2022-02-03,2022-02-07,held,3,27.034767150878903,30.513095760345458,29.569571123007492,False,False,False
TQQQ,TQQQ:2022-01-31,2022-02-04,2022-02-07,held,4,27.968639373779297,30.13740110397339,29.569571123007492,False,False,False
TQQQ,TQQQ:2022-01-31,2022-02-07,2022-02-07,held,5,27.334941864013672,29.788031482696532,29.569571123007492,False,False,False
TQQQ,TQQQ:2025-04-09,2025-04-10,2025-04-16,held,1,22.857194900512695,28.039606857299805,26.45866494280244,False,False,False
TQQQ,TQQQ:2025-04-09,2025-04-11,2025-04-16,held,2,24.065942764282227,27.71443567276001,26.45866494280244,False,False,False
TQQQ,TQQQ:2025-04-09,2025-04-14,2025-04-16,held,3,24.57123756408691,27.3848934173584,26.45866494280244,False,False,False
TQQQ,TQQQ:2025-04-09,2025-04-15,2025-04-16,held,4,24.665363311767575,27.138592338562013,26.45866494280244,False,False,False
TQQQ,TQQQ:2025-04-09,2025-04-16,2025-04-16,held,5,22.43611717224121,26.723286056518553,26.45866494280244,False,False,False
TQQQ,TQQQ:2026-08-04,2026-08-05,2026-08-11,flat,1,72.83999633789062,68.97949981689453,75.41000366210938,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-06,2026-08-11,flat,2,72.02999877929688,68.76399993896484,75.41000366210938,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-07,2026-08-11,flat,3,74.47000122070312,68.63600006103516,75.41000366210938,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-10,2026-08-11,flat,4,73.80000305175781,68.69400024414062,75.41000366210938,False,True,False
