rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin
v5,SNOW,2022-11-11,2023-01-05,-12.0011368775506,36,trail,11.490729796542198,v5
v5,SNOW,2023-01-13,2023-02-06,14.444136202171842,15,signal,27.81765911778349,v5
v5,SNOW,2023-09-01,2024-01-05,16.50919972702114,86,signal,27.280194787458868,v5
v5,SNOW,2024-06-28,2024-08-06,-14.331088418973547,26,trail,7.090977914117302,v5
v5,TSLA,2022-02-25,2022-04-27,10.819385050147368,42,trail,41.5481363736643,v5
v5,TSLA,2022-12-05,2022-12-21,-26.593404828411128,12,trail,-3.6898254872679614,v5
v5,TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal,51.81605962995424,v5
v5,TSLA,2024-04-30,2024-07-12,25.85765548340815,50,signal,40.79581547816411,v5
v5,MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail,-1.3761064647573318,v5
v5,MRNA,2022-02-16,2022-04-22,-3.1678067374243724,45,trail,26.4869309015193,v5
v5,MRNA,2023-08-18,2023-10-17,-14.825943022421717,41,trail,10.122758325063375,v5
v5,MRNA,2023-11-03,2024-02-12,19.35322949190672,67,trail,57.94227421730067,v5
v5,GOOGL,2022-02-02,2022-04-28,-23.185264576067965,59,trail,-2.148760330578514,v5
v5,GOOGL,2024-03-15,2024-08-26,16.370420922658813,113,terminal,34.1613983689693,v5
v5,AAOI,2022-01-25,2022-02-28,-14.528879830647135,23,trail,10.075563074715642,v5
v5,AAOI,2023-01-13,2023-01-20,-1.91320485993266,4,signal,4.721035927736872,v5
v5,AAOI,2023-03-29,2023-05-02,-0.1998999999999973,23,trail,26.37362011157598,v5
v5,AAOI,2023-05-09,2023-06-22,164.7240065994533,30,signal,193.78530312430712,v5
v5,AAOI,2024-04-17,2024-06-21,-25.39859610915135,45,trail,4.1528239334234,v5
v5,AAOI,2024-07-11,2024-07-25,-5.003121316486691,10,trail,27.16577388474675,v5
v5,AAOI,2024-08-20,2024-08-26,11.76681414720866,5,terminal,13.03841519981419,v5
R,TQQQ,2021-09-24,2021-12-03,15.10971489835411,49,signal,27.696074430419017,additional
R,TQQQ,2021-12-08,2022-01-19,-19.917377968107843,28,trail,3.2759615128253206,additional
R,TQQQ,2022-01-25,2022-02-22,-9.61779533821755,19,trail,19.113549955302723,v5
R,TQQQ,2022-02-25,2022-03-15,-18.42340268681587,12,trail,4.920004571506165,v5
R,TQQQ,2022-03-29,2022-04-12,-18.628528213684504,10,trail,1.7067607757601078,additional
R,TQQQ,2022-05-05,2022-05-13,-26.44360303996054,6,trail,-11.456788616415903,additional
R,TQQQ,2022-06-03,2022-06-14,-28.80885445581727,7,trail,0.5733330858834762,additional
R,TQQQ,2022-06-16,2022-08-18,61.74645842324884,43,signal,69.16050991105432,v5
R,TQQQ,2022-09-12,2022-09-19,-21.148018833532134,5,trail,2.0792114982783882,additional
R,TQQQ,2022-10-14,2022-11-04,-8.84758457047602,15,trail,13.60199577168546,v5
R,TQQQ,2023-01-10,2023-01-31,22.873946097739072,14,signal,30.920312904982715,additional
R,TQQQ,2023-03-06,2023-08-10,72.32483954844528,109,signal,96.70618712055263,additional
R,TQQQ,2023-08-24,2023-10-26,-20.672459714469092,44,trail,3.8160315230344244,additional
R,TQQQ,2023-11-06,2024-04-22,34.04451275030864,114,trail,67.69936128979803,additional
R,TQQQ,2024-04-25,2024-07-22,44.958500871475195,59,signal,67.4946879396453,additional
R,TQQQ,2024-08-01,2024-08-26,-0.37452937180861845,18,terminal,4.738995607094543,additional
R,MSFT,2022-02-01,2022-06-14,-21.59643001259398,92,trail,1.6107728298095259,v5
R,MSFT,2022-10-05,2024-08-26,67.75617485620332,475,terminal,90.07276194869102,additional
R,NFLX,2021-12-08,2022-01-24,-39.18372185134887,31,trail,-0.3047640361483084,additional
R,NFLX,2022-02-01,2022-03-07,-16.923149448249575,23,trail,5.582501239891102,additional
R,NFLX,2022-03-18,2022-04-21,-40.978436694351586,23,trail,5.327952696114147,additional
R,NFLX,2022-05-16,2022-08-17,24.520373737496513,64,signal,28.970514245072287,additional
R,NFLX,2022-10-18,2023-02-22,34.83800787525788,86,signal,47.30184991441364,additional
R,NFLX,2023-03-16,2023-07-28,36.08836355442659,92,signal,56.71533477613799,additional
R,NFLX,2023-08-01,2023-10-16,-18.71917963353541,53,trail,2.585912457245243,additional
R,NFLX,2023-10-25,2024-08-26,65.15162887570416,210,terminal,67.91018287200794,v5
R,YINN,2021-09-02,2021-09-21,-22.213485872062368,12,trail,4.832421512679952,additional
R,YINN,2021-09-23,2021-11-29,-4.45907166616728,46,trail,25.800192888264583,v5
R,YINN,2021-12-31,2022-01-24,6.437643816955418,15,signal,18.052262622978677,v5
R,YINN,2022-02-02,2022-02-23,-18.200125568845916,14,trail,2.774819837989728,additional
R,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,v5
R,YINN,2022-03-16,2022-04-12,7.879159340068265,19,trail,34.52380952380953,v5
R,YINN,2022-05-02,2022-05-09,-22.71120466175588,5,trail,8.020042170090358,additional
R,YINN,2022-08-05,2022-09-07,-13.541838304664289,22,trail,9.235424969384232,additional
R,YINN,2022-09-12,2022-09-22,-23.183679821191816,8,trail,1.8211137502163188,additional
R,YINN,2022-10-14,2022-10-25,-34.38185233852087,7,trail,-0.056149518145465205,v5
R,YINN,2022-11-07,2022-12-08,60.82415395212995,22,signal,59.146944209512675,additional
R,YINN,2023-01-04,2023-02-07,1.6724582841518787,23,trail,29.20353982300885,v5
R,YINN,2023-02-10,2023-02-27,-21.024901689038533,10,trail,1.6751675424541368,additional
R,YINN,2023-03-22,2023-04-26,-5.832824545236592,24,trail,17.599426278275576,additional
R,YINN,2023-05-01,2023-05-25,-17.789944004225067,18,trail,6.665023141964088,additional
R,YINN,2023-06-05,2023-06-21,2.373008698810164,11,signal,22.54368079714606,additional
R,YINN,2023-07-13,2023-08-14,-13.621203304367524,22,trail,19.233735303753498,additional
R,YINN,2023-08-25,2023-10-04,-15.221829979185975,27,trail,13.621588110794125,additional
R,YINN,2023-10-09,2023-10-23,-11.752208025945032,10,trail,13.461535748536967,additional
R,YINN,2023-11-06,2023-11-30,-17.610180236081973,17,trail,6.334037486487087,additional
R,YINN,2023-12-15,2024-01-17,-31.917454152599255,20,trail,0.5280874256095025,additional
R,YINN,2024-01-24,2024-02-27,13.462875969384402,23,signal,11.605630794041598,additional
R,YINN,2024-06-06,2024-07-26,-21.777267505504504,34,trail,-0.1536133414783869,additional
R,YINN,2024-08-06,2024-08-26,18.97800480303784,15,terminal,24.476659037613068,v5
R,SNOW,2021-11-30,2022-01-06,-19.83297453455899,26,trail,1.3486220600690713,additional
R,SNOW,2022-01-25,2022-02-14,6.612483502114785,14,signal,13.019943244198174,v5
R,SNOW,2022-03-17,2022-04-19,-0.7935845204045111,22,trail,23.707690116686674,v5
R,SNOW,2022-05-16,2022-06-14,-27.25584497576108,20,trail,-5.5455448930765705,additional
R,SNOW,2022-06-23,2022-08-10,24.14230650082867,33,signal,25.366897295181424,additional
R,SNOW,2022-10-05,2022-11-03,-18.946973323635863,21,trail,4.647684018988429,additional
R,SNOW,2022-11-11,2023-01-05,-12.001136877550621,36,trail,11.490729796542198,v5
R,SNOW,2023-01-12,2023-02-06,13.55558509528565,16,signal,26.825275180452923,additional
R,SNOW,2023-03-31,2023-08-16,5.663294400961361,94,trail,33.730130237682786,additional
R,SNOW,2023-08-24,2024-01-05,14.021076075475403,92,signal,24.56205009359762,additional
R,SNOW,2024-03-21,2024-06-10,-22.125862462809,55,trail,-0.5783172975103557,additional
R,SNOW,2024-06-27,2024-08-06,-11.398722446655107,27,trail,10.756600994674969,additional
R,SNOW,2024-08-09,2024-08-26,-2.722517450075568,12,terminal,11.564513697618327,additional
