rule,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered
v5,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,107,11,39,7
R,-10.991116718089255,-3.8216555378332684,55.30685295048965,0.0011496059655871536,-0.06909913209587952,126,34.92063492063492,-40.978436694351586,-11.259399326150094,0.6762284196547145,66,193,45.07772020725388,51.813471502590666,173,43.35260115606936,53.179190751445084,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,68,40,112,15
P,38.579601357141,11.537596633290015,21.93700932488205,0.6806042513619356,0.5259420945864073,77,42.857142857142854,-36.58910604415202,-2.4392171058245093,0.4648074369189906,36,121,52.892561983471076,41.32231404958678,98,52.04081632653062,40.816326530612244,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,91,22,65,11
RP,-12.064919766560244,-4.211530492618754,55.497575872318116,-0.002973944774982621,-0.07588674687896488,134,34.32835820895522,-40.97843669435159,-10.36774939884289,0.7378486055776893,72,258,48.06201550387597,47.286821705426355,238,47.05882352941176,47.89915966386555,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,64,42,122,17
E,10.691291563799442,3.4577593940183116,13.230372048990136,0.37357744587797137,0.2613501253944132,54,48.148148148148145,-34.38185233852087,-1.9000858161346335,0.1250996015936255,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,241,51.867219917012456,35.26970954356847,118,12,24,11
RE,-16.477508533442442,-5.8477650533926955,45.626057824531465,-0.1788548826552457,-0.12816722136902578,151,43.70860927152318,-40.978436694351586,-2.722517450075579,0.3763612217795485,65,193,45.07772020725388,51.813471502590666,173,43.35260115606936,53.179190751445084,23,56.52173913043478,43.47826086956522,241,51.867219917012456,35.26970954356847,97,45,84,38
PE,13.100283697783311,4.205881648554355,20.152090884387686,0.3626335992690203,0.20870696111304032,105,49.523809523809526,-37.69533149177029,-0.27459758968428893,0.2944223107569721,39,121,52.892561983471076,41.32231404958678,98,52.04081632653062,40.816326530612244,23,56.52173913043478,43.47826086956522,241,51.867219917012456,35.26970954356847,104,25,46,23
RPE,-10.899312184430954,-3.7884687908909975,46.36501927588237,-0.052811052490966306,-0.08170963476470806,182,46.15384615384615,-40.97843669435159,-1.368630136304405,0.5087649402390438,75,258,48.06201550387597,47.286821705426355,238,47.05882352941176,47.89915966386555,23,56.52173913043478,43.47826086956522,241,51.867219917012456,35.26970954356847,85,50,97,45
