position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
flat,confirmed_b,symbol,NFLX,3,3,0,1,2,1,66.66666666666666,33.33333333333333,3.1954764473569894,0.44878447362943774,9.538417743713476,-6.780559180881725,3,3,0,0,0,0,3
flat,confirmed_b,symbol,YINN,5,5,0,1,3,2,60.0,40.0,11.215975470405445,3.724776596980184,23.514411881492457,-17.25098969875527,5,5,0,0,3,0,5
flat,confirmed_b,symbol,SNOW,4,4,0,1,1,2,25.0,50.0,-3.3850926509683443,-3.389125458374126,12.2316286763585,-10.651834564903936,4,4,0,0,1,0,4
flat,confirmed_b,symbol,TSLA,3,3,0,1,1,2,33.33333333333333,66.66666666666666,1.6070340015565392,-5.471171227560534,19.93230184732121,-21.339483667050313,3,3,0,0,1,0,3
flat,confirmed_b,symbol,MRNA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,confirmed_b,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,confirmed_b,symbol,GOOGL,2,2,0,1,1,1,50.0,50.0,-0.16969468121046916,-0.16969468121046916,6.315558678139043,-9.559725329584529,2,2,0,0,0,0,2
flat,confirmed_b,symbol,AAOI,3,2,1,1,1,1,50.0,50.0,-6.395077498140678,-6.395077498140678,26.905276627756614,-18.46296701747591,3,3,0,0,2,0,3
flat,confirmed_b,source_trusted,false,12,12,0,4,7,5,58.333333333333336,41.66666666666667,5.629450936460788,2.086780535304811,13.988760614407807,-11.539577673045843,12,12,0,0,4,0,12
flat,confirmed_b,source_trusted,true,13,12,1,4,6,5,50.0,41.66666666666667,1.086869646377499,-1.685637200351059,18.696394937913794,-14.060552503832886,13,13,0,0,4,0,13
flat,confirmed_b,flat_origin,initial,4,4,0,4,0,4,0.0,100.0,-10.18513813967425,-8.02731966327343,2.708797095601801,-16.13995730935594,4,4,0,0,1,0,4
flat,confirmed_b,flat_origin,S,8,8,0,5,4,3,50.0,37.5,1.0460692075676876,-1.685637200351059,9.769720256973502,-10.119746894422732,8,8,0,0,2,0,8
flat,confirmed_b,flat_origin,trail,13,12,1,7,9,3,75.0,25.0,9.413987157684579,10.324692448649797,25.26907634913867,-13.473646477478264,13,13,0,0,5,0,13
flat,confirmed_b,component,B_BASE_BULL,6,6,0,3,3,3,50.0,50.0,-1.3154138578735874,-2.2658611816780025,6.604019235112273,-9.30053927105124,6,6,0,0,1,0,6
flat,confirmed_b,component,B_STAGE_COMPONENT,5,5,0,3,3,2,60.0,40.0,1.2502009668298264,1.062478034441483e-05,8.568428621205047,-9.959010762534689,5,5,0,0,0,0,5
flat,confirmed_b,component,B_BEAR_RECOVER,10,9,1,5,6,3,66.66666666666666,33.33333333333333,8.848813150125993,12.943286708039569,23.419203235142255,-14.140436237771869,10,10,0,0,3,0,10
flat,confirmed_b,component,B_CRASH_RECOVER,5,5,0,4,2,2,40.0,40.0,13.929883354570473,-3.4069658912657896,34.06728081961395,-17.001481915076948,5,5,0,0,5,0,5
flat,confirmed_b,component,multiple,1,1,0,1,1,0,100.0,0.0,67.05140981683448,67.05140981683448,71.35362510318963,-10.66806303176766,1,1,0,0,1,0,1
flat,confirmed_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,all,all,26,24,2,6,14,10,58.333333333333336,41.66666666666667,6.2950727304417535,8.133144864800833,21.543829381779304,-15.644079709461309,25,0,2,0,0,2,0
flat,raw_jf,symbol,TQQQ,5,4,1,1,3,1,75.0,25.0,7.224282200222251,11.050225917845536,18.23063142451677,-14.018414471237971,5,0,0,0,0,0,0
flat,raw_jf,symbol,MSFT,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,NFLX,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,YINN,8,7,1,1,3,4,42.857142857142854,57.14285714285714,2.2820894258141236,-5.646911947482868,26.3277144905115,-23.39266586571968,7,0,1,0,0,1,0
flat,raw_jf,symbol,SNOW,4,4,0,1,2,2,50.0,50.0,5.40666595625476,4.257474814093131,19.920760142446632,-10.307576925308183,4,0,0,0,0,0,0
flat,raw_jf,symbol,TSLA,1,1,0,1,1,0,100.0,0.0,25.294407141119702,25.294407141119702,28.60372555563726,-6.57291872903455,1,0,0,0,0,0,0
flat,raw_jf,symbol,MRNA,4,4,0,1,3,1,75.0,25.0,-0.0023366636046664446,8.713682635227261,9.652425239025709,-16.986158374564276,4,0,1,0,0,1,0
flat,raw_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,AAOI,4,4,0,1,2,2,50.0,50.0,14.82456660932354,6.467458927038683,28.234727737382265,-9.971933538389344,4,0,0,0,0,0,0
flat,raw_jf,source_trusted,false,12,11,1,2,6,5,54.54545454545454,45.45454545454545,1.4513890296618361,2.3809523809523725,20.26397294451667,-21.063026778026803,11,0,2,0,0,2,0
flat,raw_jf,source_trusted,true,14,13,1,4,8,5,61.53846153846154,38.46153846153847,10.393574323409375,9.953848031850953,22.626784828693836,-11.058816805290503,14,0,0,0,0,0,0
flat,raw_jf,flat_origin,initial,5,5,0,5,2,3,40.0,60.0,1.6341619841005972,-0.2518889267302482,18.43174119677422,-15.714770459115812,5,0,0,0,0,0,0
flat,raw_jf,flat_origin,S,7,6,1,4,3,3,50.0,50.0,-1.0437506917273984,3.3107708816651926,16.186085705803077,-18.464726784588155,7,0,0,0,0,0,0
flat,raw_jf,flat_origin,trail,14,13,1,5,9,4,69.23076923076923,30.76923076923077,11.474879981574116,9.221515707847928,25.21359114953951,-14.315053847997184,13,0,2,0,0,2,0
flat,tradable_jf,all,all,25,23,2,6,13,10,56.52173913043478,43.47826086956522,4.639199585560526,8.060440166995075,19.449615998803473,-15.52476003052541,25,25,2,0,0,2,0
flat,tradable_jf,symbol,TQQQ,5,4,1,1,3,1,75.0,25.0,7.224282200222251,11.050225917845536,18.23063142451677,-14.018414471237971,5,5,0,0,0,0,0
flat,tradable_jf,symbol,MSFT,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,NFLX,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,YINN,7,6,1,1,2,4,33.33333333333333,66.66666666666666,-4.734254847001856,-5.911340259199682,19.097210707226193,-24.22670478917513,7,7,1,0,0,1,0
flat,tradable_jf,symbol,SNOW,4,4,0,1,2,2,50.0,50.0,5.40666595625476,4.257474814093131,19.920760142446632,-10.307576925308183,4,4,0,0,0,0,0
flat,tradable_jf,symbol,TSLA,1,1,0,1,1,0,100.0,0.0,25.294407141119702,25.294407141119702,28.60372555563726,-6.57291872903455,1,1,0,0,0,0,0
flat,tradable_jf,symbol,MRNA,4,4,0,1,3,1,75.0,25.0,-0.0023366636046664446,8.713682635227261,9.652425239025709,-16.986158374564276,4,4,1,0,0,1,0
flat,tradable_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,tradable_jf,symbol,AAOI,4,4,0,1,2,2,50.0,50.0,14.82456660932354,6.467458927038683,28.234727737382265,-9.971933538389344,4,4,0,0,0,0,0
flat,tradable_jf,source_trusted,false,11,10,1,2,5,5,50.0,50.0,-2.8414875736429805,-1.632979783265248,15.319296519945999,-21.330486223330787,11,11,2,0,0,2,0
flat,tradable_jf,source_trusted,true,14,13,1,4,8,5,61.53846153846154,38.46153846153847,10.393574323409375,9.953848031850953,22.626784828693836,-11.058816805290503,14,14,0,0,0,0,0
flat,tradable_jf,flat_origin,initial,5,5,0,5,2,3,40.0,60.0,1.6341619841005972,-0.2518889267302482,18.43174119677422,-15.714770459115812,5,5,0,0,0,0,0
flat,tradable_jf,flat_origin,S,7,6,1,4,3,3,50.0,50.0,-1.0437506917273984,3.3107708816651926,16.186085705803077,-18.464726784588155,7,7,0,0,0,0,0
flat,tradable_jf,flat_origin,trail,13,12,1,5,8,4,66.66666666666666,33.33333333333333,8.732773724812793,8.713682635227261,21.505495646149196,-13.975605641581367,13,13,2,0,0,2,0
held,raw_b,all,all,57,53,4,7,17,33,32.075471698113205,62.264150943396224,-4.121749869916987,-8.172041370022686,16.392107450187634,-18.840092399371674,0,0,5,0,3,29,3
held,raw_b,symbol,TQQQ,5,5,0,1,1,4,20.0,80.0,-14.555379483271764,-19.610554765784805,6.691487387795836,-30.81347942640025,0,0,0,0,0,4,0
held,raw_b,symbol,MSFT,4,3,1,1,1,1,33.33333333333333,33.33333333333333,1.038657933528131,-3.8383489685061,4.738655654822084,-7.683263752849045,0,0,0,0,0,4,0
held,raw_b,symbol,NFLX,3,2,1,1,1,0,50.0,0.0,2.97814210393319,2.97814210393319,8.517419804556937,-3.6564609743670373,0,0,0,0,0,2,0
