case,rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin,entry_profit_enabled,entry_stop_pct,entry_limit
full5y,v5,TQQQ,2022-01-25,2022-02-22,-9.61779533821755,19,trail,19.113549955302723,v5,False,,
full5y,v5,TQQQ,2022-02-25,2022-03-15,-18.423402686815884,12,trail,4.920004571506165,v5,False,,
full5y,v5,TQQQ,2022-06-16,2022-08-18,61.74645842324886,43,signal,69.16050991105432,v5,False,,
full5y,v5,TQQQ,2022-10-14,2022-11-04,-8.84758457047602,15,trail,13.60199577168546,v5,False,,
full5y,v5,TQQQ,2023-01-12,2023-01-31,12.172843726286352,12,signal,19.51845176686615,v5,False,,
full5y,v5,TQQQ,2023-10-10,2023-10-27,-17.082673786856507,13,trail,3.499080772653551,v5,False,,
full5y,v5,TQQQ,2024-05-06,2024-07-22,28.498565677603448,52,signal,48.47578465194693,v5,False,,
full5y,v5,TQQQ,2024-08-06,2024-09-09,7.986179955415418,23,trail,32.69905581555563,v5,False,,
full5y,v5,TQQQ,2025-04-08,2025-04-22,-4.443444330368063,9,trail,15.906579767180485,v5,False,,
full5y,v5,TQQQ,2026-04-10,2026-06-10,44.928508277909906,42,signal,76.7017953318747,v5,False,,
full5y,v5,MSFT,2022-02-01,2022-06-14,-21.59643001259398,92,trail,1.6107728298095259,v5,False,,
full5y,v5,MSFT,2023-04-28,2025-04-04,19.536231482382703,485,trail,53.7975667048124,v5,False,,
full5y,v5,MSFT,2026-04-15,2026-06-10,-0.06198834990690516,39,signal,15.708539953183887,v5,False,,
full5y,v5,MSFT,2026-06-29,2026-08-27,33.52328016515871,43,terminal,34.05562849234271,v5,False,,
full5y,v5,NFLX,2022-12-02,2023-02-22,8.481864091411184,54,signal,18.509458235336695,v5,False,,
full5y,v5,NFLX,2023-03-27,2023-07-28,26.615563913745355,85,signal,45.80673885961111,v5,False,,
full5y,v5,NFLX,2023-10-25,2025-01-03,114.25523844028564,299,signal,125.12378143019514,v5,False,,
full5y,v5,NFLX,2025-03-25,2025-11-21,7.260260420213327,168,trail,36.90015467349741,v5,False,,
full5y,v5,NFLX,2026-02-26,2026-04-20,16.521418373581763,36,signal,29.555294313991777,v5,False,,
full5y,v5,NFLX,2026-07-20,2026-08-27,16.628215077769703,29,terminal,20.36007570878717,v5,False,,
full5y,v5,YINN,2021-09-23,2021-11-29,-4.459071666167269,46,trail,25.800192888264583,v5,False,,
full5y,v5,YINN,2021-12-31,2022-01-24,6.437643816955396,15,signal,18.052262622978677,v5,False,,
full5y,v5,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,v5,False,,
full5y,v5,YINN,2022-03-16,2022-04-12,7.8791593400682425,19,trail,34.52380952380953,v5,False,,
full5y,v5,YINN,2022-08-12,2022-09-07,-11.409216181607517,17,trail,11.929882951640703,v5,False,,
full5y,v5,YINN,2022-10-14,2022-10-25,-34.38185233852087,7,trail,-0.056149518145465205,v5,False,,
full5y,v5,YINN,2022-11-08,2022-12-08,68.81192274062582,21,signal,67.05140981683448,v5,False,,
full5y,v5,YINN,2023-01-04,2023-02-07,1.6724582841518787,23,trail,29.20353982300885,v5,False,,
full5y,v5,YINN,2023-06-14,2023-06-21,-7.5571202234804735,4,signal,10.657007108499927,v5,False,,
full5y,v5,YINN,2023-10-12,2023-11-30,-24.892376600456224,34,trail,-3.064518590127263,v5,False,,
full5y,v5,YINN,2024-01-02,2024-01-17,-26.9742832525411,10,trail,2.832127883109181,v5,False,,
full5y,v5,YINN,2024-08-06,2024-10-09,97.67171273084114,45,signal,214.38541241680946,v5,False,,
full5y,v5,YINN,2025-01-28,2025-02-25,38.25064305242771,19,signal,48.43181817609368,v5,False,,
full5y,v5,YINN,2025-04-10,2025-10-13,75.14225258742859,127,signal,106.79328220366347,v5,False,,
full5y,v5,YINN,2025-12-29,2026-02-27,-10.97577608363296,41,trail,18.583866943784866,v5,False,,
full5y,v5,SNOW,2021-12-09,2022-01-06,-20.634647434082034,19,trail,0.3351324957770352,v5,False,,
full5y,v5,SNOW,2022-01-25,2022-02-14,6.612483502114808,14,signal,13.019943244198174,v5,False,,
full5y,v5,SNOW,2022-03-17,2022-04-19,-0.7935845204045111,22,trail,23.707690116686674,v5,False,,
full5y,v5,SNOW,2022-05-27,2022-08-10,32.27609989487663,50,signal,33.58092577422396,v5,False,,
full5y,v5,SNOW,2022-11-11,2023-01-05,-12.0011368775506,36,trail,11.490729796542198,v5,False,,
full5y,v5,SNOW,2023-01-13,2023-02-06,14.444136202171842,15,signal,27.81765911778349,v5,False,,
full5y,v5,SNOW,2023-09-01,2024-01-05,16.50919972702114,86,signal,27.280194787458868,v5,False,,
full5y,v5,SNOW,2024-06-28,2024-08-06,-14.331088418973547,26,trail,7.090977914117302,v5,False,,
full5y,v5,SNOW,2026-01-07,2026-02-04,-27.047831583052417,19,trail,-0.21367521367521292,v5,False,,
full5y,v5,SNOW,2026-02-26,2026-04-10,-25.89098544678904,30,trail,2.4658113854987285,v5,False,,
full5y,v5,SNOW,2026-04-14,2026-08-27,140.97731998297908,95,terminal,147.52751087958353,v5,False,,
full5y,v5,TSLA,2022-02-25,2022-04-27,10.819385050147368,42,trail,41.5481363736643,v5,False,,
full5y,v5,TSLA,2022-12-05,2022-12-21,-26.593404828411128,12,trail,-3.6898254872679614,v5,False,,
full5y,v5,TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal,51.81605962995424,v5,False,,
full5y,v5,TSLA,2024-04-30,2024-07-12,25.85765548340815,50,signal,40.79581547816411,v5,False,,
full5y,v5,TSLA,2024-10-28,2024-12-19,67.02840620483397,37,signal,77.7259205005787,v5,False,,
full5y,v5,TSLA,2025-03-13,2025-04-09,-9.627677945506463,19,trail,16.124615716878353,v5,False,,
full5y,v5,TSLA,2026-02-12,2026-06-08,-8.078611631424515,79,signal,3.478968544127814,v5,False,,
full5y,v5,MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail,-1.3761064647573318,v5,False,,
full5y,v5,MRNA,2022-02-16,2022-04-22,-3.1678067374243724,45,trail,26.4869309015193,v5,False,,
full5y,v5,MRNA,2023-08-18,2023-10-17,-14.825943022421717,41,trail,10.122758325063375,v5,False,,
full5y,v5,MRNA,2023-11-03,2024-02-12,19.35322949190672,67,trail,57.94227421730067,v5,False,,
full5y,v5,MRNA,2024-11-19,2025-01-14,-9.80913675287911,36,trail,22.200792440946238,v5,False,,
full5y,v5,MRNA,2025-02-18,2025-04-01,-13.335461051097441,30,trail,8.804840891339527,v5,False,,
full5y,v5,MRNA,2025-04-29,2025-08-04,1.7986428200841953,66,signal,26.233380580114552,v5,False,,
full5y,v5,MRNA,2025-11-13,2026-02-06,57.40207017947048,57,trail,98.65950869154867,v5,False,,
full5y,v5,NVDA,2025-01-07,2025-02-04,-23.72333142580999,18,trail,-3.796640270125806,v5,False,,
full5y,v5,NVDA,2025-04-08,2026-03-31,60.55824726413286,245,trail,99.466402539966,v5,False,,
full5y,v5,NVDA,2026-04-08,2026-06-09,14.06175833620351,43,signal,27.772358681080988,v5,False,,
full5y,v5,GOOGL,2022-02-02,2022-04-28,-23.185264576067965,59,trail,-2.148760330578514,v5,False,,
full5y,v5,GOOGL,2024-03-15,2024-09-09,6.810615458117031,121,trail,34.1613983689693,v5,False,,
full5y,v5,GOOGL,2024-09-18,2025-03-12,3.995375811745916,119,trail,29.100465466561865,v5,False,,
