rule,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered,drawdown_peak,drawdown_trough,hard_stop_exits,max_hold_exits,entry_signal_exits
v5,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,107,11,39,7,2021-10-25,2022-03-07,0,0,0
P-mid5-hold20-stop5,31.159842210329703,9.502341016316063,17.38136168657267,0.6900904978876338,0.5466971568549054,84,47.61904761904761,-34.38185233852087,-1.2760501541345448,0.28738379814077025,36,94,56.38297872340425,39.361702127659576,71,56.33802816901409,38.028169014084504,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,103,20,44,12,2021-10-25,2022-03-07,15,18,0
P-confirm3,27.707519280020886,8.5291864097095,15.871542516287695,0.6338751429751547,0.5373886250159162,66,43.93939393939394,-34.38185233852087,-1.7112887227123785,0.28711819389110216,29,77,51.94805194805194,42.857142857142854,54,50.0,42.592592592592595,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,105,17,42,11,2021-10-25,2022-03-07,10,6,0
P-confirm5,29.284099523522112,8.975743127376369,15.888564944386763,0.660703375302495,0.5649184277367597,69,44.927536231884055,-34.38185233852087,-1.509372585492097,0.29508632138114205,30,82,52.4390243902439,41.46341463414634,59,50.847457627118644,40.67796610169492,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,105,17,42,11,2021-10-25,2022-03-07,10,9,0
