symbol,signal,date,source_trusted,warmup_complete,mature,reference_open,reference_open_date,outcome_date,return20_pct,direction_net_pct,mfe20_pct,mae20_pct,win,gross_win,interference,cmf21,cmf_delta5,mfi14,mfi_delta5,obv_flow20,obv_delta5,adx14,di_balance,relative_natr,range_shock
TSLA,s,2017-07-06,True,False,True,20.899999618530273,2017-07-07,2017-08-03,10.714517451282045,-10.914517451282046,11.642739175362804,-3.307808019242131,False,False,True,,,,,,,,,,
AAOI,s,2017-08-07,True,True,True,71.75,2017-08-08,2017-09-05,-21.825783759459384,21.62578375945938,3.7351920629627555,-23.163761577539745,True,True,False,0.08367578282306685,-0.14048364427111742,0.19976525429784786,-0.19140203639660036,0.28913942206471405,-0.19060139529167675,0.4099998501995432,-0.3078709090363708,0.6395564092137523,0.2918860481313394
NFLX,s,2017-08-15,False,True,True,16.75,2017-08-16,2017-09-13,9.635822808564608,-9.83582280856461,10.644781767432354,-1.9522368018306868,False,False,True,0.10217513950170579,-0.05496950216937638,-0.5722945771481992,-0.20348931140324528,-0.21317343186269905,-0.5531663250350375,0.26585538474771175,-0.18242042099506284,0.09534238182276758,-0.2919518564698025
YINN,s,2017-08-18,False,True,True,525.4000244140625,2017-08-21,2017-09-18,17.015599395642788,-17.21559939564279,17.77692406525255,-0.6851991727843121,False,False,True,0.03221450692912795,-0.09509180323853336,-0.3246858748976544,-0.01920060274926469,0.08361439940039239,0.16351927454902498,0.21422643881862757,-0.038744587024644436,0.1936963480308291,-0.18726998687210344
AAOI,jf,2017-11-08,True,True,True,43.0,2017-11-09,2017-12-07,-9.674418249795602,-9.854979087714256,8.372089474700228,-11.162788923396615,False,False,True,-0.22326156477600964,0.12038912765766688,0.10203395107310613,0.4254130649704404,-0.242605949797154,0.13111126499649745,0.3666701643131154,-0.07022649200822526,-0.01945212912988914,0.8938624637641494
AAOI,b,2017-11-10,True,True,True,45.2400016784668,2017-11-13,2017-12-11,-10.43324722719835,-10.612291165991184,3.0061820185599775,-15.782499866139887,False,False,True,-0.1310513096226971,0.2085247377482641,0.3379553044265103,0.4103171039425386,-0.026209978551670163,0.34328468417118535,0.32185850534535204,0.014576063047541717,-0.038853692225752814,0.14826242910820883
NVDA,s,2017-11-29,True,True,True,4.918824911094081,2017-11-30,2017-12-28,-0.9036235529027548,0.7036235529027548,1.7469858003065442,-9.347389307660992,True,True,False,0.0475989742254887,-0.17259179658963342,-0.23270452125156055,-0.16806657700831784,-0.11435498887629907,-0.3215069399989416,0.291191567598354,-0.3366670769606503,0.16465460566635873,1.4343915345929859
TQQQ,s,2017-12-05,True,True,True,5.124923587921298,2017-12-06,2018-01-04,16.738827136309343,-16.938827136309342,17.83671312474622,-0.37111452567895054,False,False,True,0.22650740752565202,-0.23916542799534352,-0.2424917142484074,-0.19772595425133865,-0.17557988485829193,-0.1884616895228383,0.21585118520451574,-0.17807055621339304,0.29875543935450977,0.45282620199635143
AAOI,jf,2018-01-19,True,True,True,34.97999954223633,2018-01-22,2018-02-16,-8.547741024146994,-8.730554089839726,3.7450011161642927,-18.353345226726393,False,False,True,-0.18451891573221904,0.02021571940362088,-0.3057069871307982,0.14088567359368084,-0.4568137163657422,-0.1723044007813379,0.24437402054274485,-0.2443385816804837,-0.039630520118955355,0.6958486293254941
TQQQ,s,2018-02-05,True,True,True,5.4213084678584655,2018-02-06,2018-03-06,24.104678394550017,-24.304678394550017,29.505939489986808,-11.416442320706043,False,False,True,0.036634825905913125,-0.22011548222168129,-0.07730690215701799,-0.26327286519337845,-0.1471294027579962,-0.3723947268117316,0.3629564491002394,-0.36063913670007763,0.6533463669079893,1.4277444041318645
