window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,pressure_trades,pressure_winners,recovered_trades,recovery_censored_trades,recovery_rate_pct,return_trades,return_censored_trades,final_negative_intraday_trades,final_negative_intraday_winners,median_first_pressure_bar,median_max_pressure_streak,median_recovery_bars
full,B,return_recovery,recovered,21,9,14,66.66666666666666,13.874844627261531,7.260260420213327,21,14,21,0,100.0,21,0,8,3,1.0,7.0,3.0
full,B,return_recovery,censored,5,4,0,0.0,-7.222188758979366,-7.30640897602346,5,0,1,4,20.0,5,5,5,0,4.0,2.0,2.0
full,B,source_trusted,false,21,5,13,61.904761904761905,11.980136679105309,3.995375811745916,18,11,15,3,83.33333333333334,15,2,7,2,1.5,10.0,7.0
full,B,source_trusted,true,21,5,12,57.14285714285714,21.89363379001661,3.2947802138015847,19,10,14,5,73.68421052631578,11,3,10,1,1.0,6.0,2.0
full,B,symbol,AAOI,5,1,3,60.0,66.33435328723853,0.19275887723202434,4,2,3,1,75.0,3,2,3,1,1.0,3.5,2.0
full,B,symbol,GOOGL,5,1,3,60.0,-0.08881012819504494,3.995375811745916,5,3,3,2,60.0,2,1,3,1,1.0,22.0,22.0
full,B,symbol,MRNA,2,1,2,100.0,29.600356499777337,29.600356499777337,2,2,2,0,100.0,2,0,1,1,3.5,24.5,24.5
full,B,symbol,MSFT,3,1,1,33.33333333333333,-0.7073956267060608,-0.06198834990690516,2,1,2,0,100.0,2,0,1,0,2.0,45.0,2.0
full,B,symbol,NFLX,4,1,4,100.0,39.15323171641387,17.54871400257827,4,4,4,0,100.0,4,0,0,0,2.0,6.5,6.5
full,B,symbol,NVDA,2,1,1,50.0,-4.8307865448032405,-4.8307865448032405,2,1,1,1,50.0,0,0,1,0,1.0,10.0,2.0
full,B,symbol,SNOW,5,1,2,40.0,-6.212046301383003,-14.331088418973547,5,2,3,2,60.0,4,1,3,0,1.0,13.0,2.0
full,B,symbol,TQQQ,4,1,3,75.0,17.129310973735798,20.3357047019449,3,2,3,0,100.0,2,0,1,0,4.0,1.0,1.0
full,B,symbol,TSLA,5,1,3,60.0,20.05982077114689,25.85765548340815,5,3,4,1,80.0,2,0,2,0,1.0,17.0,8.5
full,B,symbol,YINN,7,1,3,42.857142857142854,5.476495416727807,-7.5571202234804735,5,1,4,1,80.0,5,1,2,0,2.0,2.0,1.5
full,JF,all,all,40,9,19,47.5,14.141148145935494,-0.4967422602022542,35,16,29,6,82.85714285714286,29,10,22,7,1.0,6.0,2.0
full,JF,exit_reason,signal,10,5,10,100.0,55.809682055484565,48.48237231317256,8,8,8,0,100.0,7,2,3,3,1.0,9.5,2.5
full,JF,exit_reason,trail,27,7,6,22.22222222222222,-6.429193961999539,-9.627677945506463,24,5,18,6,75.0,19,8,19,4,1.0,6.0,2.0
full,JF,exit_reason,terminal,3,3,3,100.0,60.37911408552056,31.225894436277656,3,3,3,0,100.0,3,0,0,0,1.0,3.0,1.0
full,JF,outcome,win,19,9,19,100.0,44.71498403307809,31.225894436277656,16,16,15,1,93.75,14,2,7,7,1.0,4.5,2.0
full,JF,outcome,nonpositive,21,6,0,0.0,-13.520893847193523,-12.0011368775506,19,0,14,5,73.68421052631578,15,8,15,0,1.0,6.0,2.5
full,JF,first_pressure,none,5,4,3,60.0,16.985767362517354,7.8791593400682425,0,0,0,0,,0,0,0,0,,,
full,JF,first_pressure,before_net_positive,22,9,10,45.45454545454545,10.7769365097137,-6.645514450422041,22,10,19,3,86.36363636363636,16,7,14,5,1.0,6.0,3.0
full,JF,first_pressure,after_net_positive,13,6,6,46.15384615384615,18.740345062394734,-3.1678067374243724,13,6,10,3,76.92307692307693,13,3,8,2,3.0,5.0,2.0
full,JF,recovery,no_pressure,5,4,3,60.0,16.985767362517354,7.8791593400682425,0,0,0,0,,0,0,0,0,,,
full,JF,recovery,recovered,29,9,15,51.724137931034484,20.35561500825951,6.437643816955396,29,15,29,0,100.0,26,7,16,6,1.0,6.0,2.0
full,JF,recovery,censored,6,4,1,16.666666666666664,-18.265957702448794,-20.574488849562094,6,1,0,6,0.0,3,3,6,1,3.0,6.5,
full,JF,return_recovery,no_return,11,7,5,45.45454545454545,4.813420082572062,-0.1998999999999973,6,2,3,3,50.0,0,0,3,1,1.0,6.0,1.0
full,JF,return_recovery,recovered,19,9,12,63.1578947368421,34.21983796106317,18.994673462303457,19,12,19,0,100.0,19,0,9,4,2.0,5.0,2.0
full,JF,return_recovery,censored,10,5,2,20.0,-13.747861633107316,-14.677411426534427,10,2,7,3,70.0,10,10,10,2,1.0,9.0,3.0
full,JF,source_trusted,false,17,4,8,47.05882352941176,7.805993456828848,-3.1678067374243724,15,6,11,4,73.33333333333333,13,4,9,2,1.0,7.0,1.0
full,JF,source_trusted,true,23,5,11,47.82608695652174,18.823653785709972,-0.1998999999999973,20,10,18,2,90.0,16,6,13,5,1.0,5.5,2.5
full,JF,symbol,AAOI,8,1,4,50.0,26.459252542442616,1.7772163577028877,6,3,5,1,83.33333333333334,4,3,4,1,1.0,11.5,2.0
full,JF,symbol,GOOGL,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
full,JF,symbol,MRNA,6,1,1,16.666666666666664,-7.418448847370704,-11.572298901988276,6,1,5,1,83.33333333333334,5,1,3,0,1.5,6.5,1.0
full,JF,symbol,MSFT,1,1,1,100.0,31.225894436277656,31.225894436277656,1,1,1,0,100.0,1,0,0,0,1.0,3.0,3.0
full,JF,symbol,NFLX,2,1,2,100.0,17.75804591794261,17.75804591794261,1,1,1,0,100.0,1,0,0,0,1.0,1.0,1.0
full,JF,symbol,NVDA,1,1,1,100.0,60.55824726413286,60.55824726413286,1,1,1,0,100.0,1,0,1,1,1.0,2.0,1.0
full,JF,symbol,SNOW,6,1,3,50.0,21.85327515170464,2.909449490855148,5,3,5,0,100.0,5,2,3,1,1.0,3.0,3.0
full,JF,symbol,TQQQ,6,1,2,33.33333333333333,4.733401908797794,-6.645514450422041,6,2,5,1,83.33333333333334,5,1,4,1,1.0,5.0,3.0
full,JF,symbol,TSLA,2,1,1,50.0,0.5958535523204525,0.5958535523204525,2,1,2,0,100.0,1,0,1,1,4.0,5.5,4.0
full,JF,symbol,YINN,8,1,4,50.0,13.808824447268968,0.9892860753940638,7,3,4,3,57.14285714285714,6,3,6,2,2.0,7.0,1.0
full,B,source,B_BASE_BULL,8,5,6,75.0,24.62262586247305,14.009047786896943,8,6,8,0,100.0,8,0,3,1,1.0,11.0,3.5
full,B,source,B_STAGE_COMPONENT,14,7,7,50.0,0.226170980393858,-1.6555165821387718,12,5,8,4,66.66666666666666,7,1,7,1,1.0,18.5,7.0
full,B,source,B_BEAR_RECOVER,16,8,11,68.75,32.214075849183445,6.985743273185274,13,9,10,3,76.92307692307693,8,2,4,1,1.0,3.0,3.5
full,B,source,B_CRASH_RECOVER,5,4,2,40.0,12.91769767599049,-5.003121316486691,5,2,4,1,80.0,4,2,3,0,1.0,3.0,2.0
full,B,source,multiple,1,1,1,100.0,68.81192274062582,68.81192274062582,1,1,1,0,100.0,1,0,0,0,2.0,3.0,2.0
