position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
all,confirmed_b,source_trusted,false,33,32,1,5,20,12,62.5,37.5,3.920719115721414,2.7886087986618735,13.100618563656456,-9.574184791734954,21,21,0,0,7,0,33
all,confirmed_b,source_trusted,true,29,28,1,5,13,14,46.42857142857143,50.0,1.5712268194391306,-1.7084224044810636,18.651911744134082,-14.970072821343779,21,21,0,0,6,0,29
all,confirmed_b,component,B_BASE_BULL,12,11,1,6,7,4,63.63636363636363,36.36363636363637,3.776849348147972,1.9632489007901155,13.975939759221983,-8.714867391933616,8,8,0,0,1,0,12
all,confirmed_b,component,B_STAGE_COMPONENT,18,17,1,8,12,5,70.58823529411765,29.411764705882355,1.7456762985008236,3.5030689866974773,9.752949395853863,-9.417535561628357,14,14,0,0,0,0,18
all,confirmed_b,component,B_BEAR_RECOVER,23,23,0,8,12,11,52.17391304347826,47.82608695652174,5.357196827609901,1.1147545986488039,20.586404066147505,-14.438114034813376,16,16,0,0,3,0,23
all,confirmed_b,component,B_CRASH_RECOVER,10,10,0,5,3,6,30.0,60.0,4.207140552504595,-5.288511336159168,21.980417737360035,-14.816574670525242,5,5,0,0,10,0,10
all,confirmed_b,component,multiple,1,1,0,1,1,0,100.0,0.0,67.05140981683448,67.05140981683448,71.35362510318963,-10.66806303176766,1,1,0,0,1,0,1
all,confirmed_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,all,all,53,52,1,9,33,18,63.46153846153846,34.61538461538461,7.131536294669644,8.133144864800833,21.962936764695467,-13.937250153832801,40,0,10,0,0,9,0
all,raw_jf,symbol,TQQQ,7,7,0,1,6,1,85.71428571428571,14.285714285714285,12.930563742664337,15.185658334052876,23.62818770334365,-13.394697016454888,6,0,1,0,0,1,0
all,raw_jf,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,3.0728492989445355,3.0728492989445355,7.5470172806291425,-4.662253272454475,1,0,0,0,0,0,0
all,raw_jf,symbol,NFLX,2,2,0,1,2,0,100.0,0.0,12.658140157626551,12.658140157626551,17.828902647270674,-1.4332946423323,2,0,0,0,0,0,0
all,raw_jf,symbol,YINN,13,13,0,1,5,8,38.46153846153847,61.53846153846154,-1.2213303105849322,-3.6155646624618676,22.127124282268348,-20.62987388759207,8,0,3,0,0,3,0
all,raw_jf,symbol,SNOW,7,7,0,1,3,3,42.857142857142854,42.857142857142854,2.349204593267348,-1.4388984036646901,16.37712593248689,-8.871402669144105,6,0,1,0,0,1,0
all,raw_jf,symbol,TSLA,2,2,0,1,2,0,100.0,0.0,17.497485046108643,17.497485046108643,23.111760887753242,-10.113526671192545,2,0,0,0,0,0,0
all,raw_jf,symbol,MRNA,11,11,0,1,8,3,72.72727272727273,27.27272727272727,5.31774153105728,5.022692543819107,17.192928237103747,-13.800623462528147,6,0,4,0,0,3,0
all,raw_jf,symbol,NVDA,2,2,0,1,2,0,100.0,0.0,6.57578294368667,6.57578294368667,12.277974164521599,-9.83543425414367,1,0,0,0,0,0,0
all,raw_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,symbol,AAOI,8,7,1,1,4,3,57.14285714285714,42.857142857142854,20.675425796212217,13.186806780807615,38.753771050857225,-14.493189595116375,8,0,1,0,0,1,0
all,raw_jf,source_trusted,false,27,27,0,4,16,11,59.25925925925925,40.74074074074074,2.6298886080823554,3.0728492989445355,19.25850551306667,-15.834224488282429,17,0,7,0,0,6,0
all,raw_jf,source_trusted,true,26,25,1,5,17,7,68.0,28.000000000000004,11.993315796183918,9.953848031850953,24.883722516454565,-11.888517872627201,23,0,3,0,0,3,0
