case,rule,mode,date,return
full5y,v5,reset_liquidate,2022-01-06,0.0045405895165822165
full5y,v5,reset_liquidate,2022-01-07,0.006002550146946217
full5y,v5,reset_liquidate,2022-01-10,0.00024096017860504305
full5y,v5,reset_liquidate,2022-01-11,0.007477601512437149
full5y,v5,reset_liquidate,2022-01-12,0.0072564849679140455
full5y,v5,reset_liquidate,2022-01-13,-0.012702731760111653
full5y,v5,reset_liquidate,2022-01-14,0.000840819775274515
full5y,v5,reset_liquidate,2022-01-18,-0.012593994692962195
full5y,v5,reset_liquidate,2022-01-19,-0.005386563549346068
full5y,v5,reset_liquidate,2022-01-20,0.009419226802286995
full5y,v5,reset_liquidate,2022-01-21,-0.005734410955871771
full5y,v5,reset_liquidate,2022-01-24,-0.004258051258785023
full5y,v5,reset_liquidate,2022-01-25,-0.006760593784593294
full5y,v5,reset_liquidate,2022-01-26,-0.004868637081682614
full5y,v5,reset_liquidate,2022-01-27,-0.010129021452757302
full5y,v5,reset_liquidate,2022-01-28,0.014251162311491372
full5y,v5,reset_liquidate,2022-01-31,0.025843541452979645
full5y,v5,reset_liquidate,2022-02-01,0.0046141102782761845
full5y,v5,reset_liquidate,2022-02-02,-0.006727646445012558
full5y,v5,reset_liquidate,2022-02-03,-0.027474183795001862
full5y,v5,reset_liquidate,2022-02-04,0.01534430879365083
full5y,v5,reset_liquidate,2022-02-07,-0.0009226527250840277
full5y,v5,reset_liquidate,2022-02-08,0.0033231608218325603
full5y,v5,reset_liquidate,2022-02-09,0.019527828679434013
full5y,v5,reset_liquidate,2022-02-10,-0.013504781667255628
full5y,v5,reset_liquidate,2022-02-11,-0.02362775853389233
full5y,v5,reset_liquidate,2022-02-14,-0.0032420857068217067
full5y,v5,reset_liquidate,2022-02-15,0.016764250887556665
full5y,v5,reset_liquidate,2022-02-16,0.014018979586114422
full5y,v5,reset_liquidate,2022-02-17,-0.021248117879413265
full5y,v5,reset_liquidate,2022-02-18,-0.0028339848502002885
full5y,v5,reset_liquidate,2022-02-22,-0.013308254226869065
full5y,v5,reset_liquidate,2022-02-23,-0.013707759440092337
full5y,v5,reset_liquidate,2022-02-24,0.029941634022192874
full5y,v5,reset_liquidate,2022-02-25,-0.008994145637484541
full5y,v5,reset_liquidate,2022-02-28,0.006219379688044502
full5y,v5,reset_liquidate,2022-03-01,-0.010564988226539184
full5y,v5,reset_liquidate,2022-03-02,0.005731666331558749
full5y,v5,reset_liquidate,2022-03-03,-0.022249341515597088
full5y,v5,reset_liquidate,2022-03-04,-0.01852790963897747
full5y,v5,reset_liquidate,2022-03-07,-0.041462228252992436
full5y,v5,reset_liquidate,2022-03-08,0.0011497043754050585
full5y,v5,reset_liquidate,2022-03-09,0.03467102463460838
full5y,v5,reset_liquidate,2022-03-10,-0.00945790033956997
full5y,v5,reset_liquidate,2022-03-11,-0.016137702445318147
full5y,v5,reset_liquidate,2022-03-14,-0.005226128649590267
full5y,v5,reset_liquidate,2022-03-15,0.012219014026115893
full5y,v5,reset_liquidate,2022-03-16,0.04658501131525583
full5y,v5,reset_liquidate,2022-03-17,-0.0003523786929826689
full5y,v5,reset_liquidate,2022-03-18,0.035559546741743796
full5y,v5,reset_liquidate,2022-03-21,-0.01752062634949767
full5y,v5,reset_liquidate,2022-03-22,0.0366068700772713
full5y,v5,reset_liquidate,2022-03-23,-0.008778741690660397
full5y,v5,reset_liquidate,2022-03-24,0.005388497259365854
full5y,v5,reset_liquidate,2022-03-25,-0.015911713060816835
full5y,v5,reset_liquidate,2022-03-28,0.02542507757178374
full5y,v5,reset_liquidate,2022-03-29,0.01588951154941476
full5y,v5,reset_liquidate,2022-03-30,-0.009256337856246976
full5y,v5,reset_liquidate,2022-03-31,-0.018354307242410196
full5y,v5,reset_liquidate,2022-04-01,0.017602538258522937
full5y,v5,reset_liquidate,2022-04-04,0.02021008709079889
full5y,v5,reset_liquidate,2022-04-05,-0.02724643277117781
full5y,v5,reset_liquidate,2022-04-06,-0.028217942027743005
full5y,v5,reset_liquidate,2022-04-07,0.0006233303246806598
full5y,v5,reset_liquidate,2022-04-08,-0.007598340746179743
full5y,v5,reset_liquidate,2022-04-11,-0.01937920620941167
full5y,v5,reset_liquidate,2022-04-12,0.003776007286518368
full5y,v5,reset_liquidate,2022-04-13,0.015281511128537461
full5y,v5,reset_liquidate,2022-04-14,-0.01861708365758199
full5y,v5,reset_liquidate,2022-04-18,-0.006679531319448051
full5y,v5,reset_liquidate,2022-04-19,0.00524780319721867
full5y,v5,reset_liquidate,2022-04-20,-0.0078009495173982256
full5y,v5,reset_liquidate,2022-04-21,-0.004969230609638798
full5y,v5,reset_liquidate,2022-04-22,-0.007911576346057447
full5y,v5,reset_liquidate,2022-04-25,0.004616021378190826
full5y,v5,reset_liquidate,2022-04-26,-0.019519085912264634
full5y,v5,reset_liquidate,2022-04-27,0.003565951157709346
full5y,v5,reset_liquidate,2022-04-28,0.004016697896795196
full5y,v5,reset_liquidate,2022-04-29,-0.004181202107854975
full5y,v5,reset_liquidate,2022-05-02,0.002504328510437093
full5y,v5,reset_liquidate,2022-05-03,-0.0009456190212897897
full5y,v5,reset_liquidate,2022-05-04,0.0029100760318527376
full5y,v5,reset_liquidate,2022-05-05,-0.004355474310057861
full5y,v5,reset_liquidate,2022-05-06,-0.0009446529870309917
full5y,v5,reset_liquidate,2022-05-09,-0.0036945451927956952
full5y,v5,reset_liquidate,2022-05-10,0.001859556155956854
full5y,v5,reset_liquidate,2022-05-11,-0.003320969279046848
full5y,v5,reset_liquidate,2022-05-12,-0.0019957712274333295
full5y,v5,reset_liquidate,2022-05-13,0.002259639269925384
full5y,v5,reset_liquidate,2022-05-16,0.00014552883345526625
full5y,v5,reset_liquidate,2022-05-17,0.0020344196268522905
full5y,v5,reset_liquidate,2022-05-18,-0.004774756443838712
full5y,v5,reset_liquidate,2022-05-19,-0.0003699631748394272
full5y,v5,reset_liquidate,2022-05-20,-0.0002291229487450308
full5y,v5,reset_liquidate,2022-05-23,0.0032031978207529787
full5y,v5,reset_liquidate,2022-05-24,-0.0003951654722485598
full5y,v5,reset_liquidate,2022-05-25,0.0011170148490201592
full5y,v5,reset_liquidate,2022-05-26,0.0012875228646442194
full5y,v5,reset_liquidate,2022-05-27,0.004230405315745233
full5y,v5,reset_liquidate,2022-05-31,-0.0022410564676106025
full5y,v5,reset_liquidate,2022-06-01,-0.0009727788078103816
full5y,v5,reset_liquidate,2022-06-02,0.010376715233526502
full5y,v5,reset_liquidate,2022-06-03,-0.007751572294754383
full5y,v5,reset_liquidate,2022-06-06,-0.0018183517409255056
full5y,v5,reset_liquidate,2022-06-07,0.003886164016552196
full5y,v5,reset_liquidate,2022-06-08,0.0025165981169850693
full5y,v5,reset_liquidate,2022-06-09,-0.003804377717932084
full5y,v5,reset_liquidate,2022-06-10,-0.012570149267352526
full5y,v5,reset_liquidate,2022-06-13,-0.011691037842629282
full5y,v5,reset_liquidate,2022-06-14,0.001062878398507694
full5y,v5,reset_liquidate,2022-06-15,0.007613943935911216
full5y,v5,reset_liquidate,2022-06-16,-0.011669314779698504
full5y,v5,reset_liquidate,2022-06-17,0.008076800467508605
full5y,v5,reset_liquidate,2022-06-21,0.010190001005630788
full5y,v5,reset_liquidate,2022-06-22,0.003564246878155686
full5y,v5,reset_liquidate,2022-06-23,0.016648127278401682
full5y,v5,reset_liquidate,2022-06-24,0.01634548173718735
full5y,v5,reset_liquidate,2022-06-27,-0.0045894256975792195
full5y,v5,reset_liquidate,2022-06-28,-0.012077410817883771
full5y,v5,reset_liquidate,2022-06-29,-0.0003063912053249851
full5y,v5,reset_liquidate,2022-06-30,-0.006312628456834857
full5y,v5,reset_liquidate,2022-07-01,0.0055585312381704055
full5y,v5,reset_liquidate,2022-07-05,0.012341050270722565
full5y,v5,reset_liquidate,2022-07-06,0.0013293148534655242
full5y,v5,reset_liquidate,2022-07-07,0.009489603379203192
full5y,v5,reset_liquidate,2022-07-08,0.0008517651193323151
full5y,v5,reset_liquidate,2022-07-11,-0.009062569533544073
full5y,v5,reset_liquidate,2022-07-12,-0.009326454090748093
full5y,v5,reset_liquidate,2022-07-13,0.0022362201843154073
full5y,v5,reset_liquidate,2022-07-14,-0.0012406113804903196
full5y,v5,reset_liquidate,2022-07-15,0.006462220470643798
full5y,v5,reset_liquidate,2022-07-18,-0.0033146267035909726
full5y,v5,reset_liquidate,2022-07-19,0.008743652040458494
full5y,v5,reset_liquidate,2022-07-20,0.012152801474621389
full5y,v5,reset_liquidate,2022-07-21,0.00477791595209629
full5y,v5,reset_liquidate,2022-07-22,-0.014576123405546171
full5y,v5,reset_liquidate,2022-07-25,-0.0033992526730326155
full5y,v5,reset_liquidate,2022-07-26,-0.013279628778868202
full5y,v5,reset_liquidate,2022-07-27,0.02106920720004417
full5y,v5,reset_liquidate,2022-07-28,0.0042639915799987495
full5y,v5,reset_liquidate,2022-07-29,0.010130163019288286
full5y,v5,reset_liquidate,2022-08-01,0.0005638798889855857
full5y,v5,reset_liquidate,2022-08-02,0.000652338313404488
full5y,v5,reset_liquidate,2022-08-03,0.01386817039691306
full5y,v5,reset_liquidate,2022-08-04,0.00043940048771523577
full5y,v5,reset_liquidate,2022-08-05,0.0005881856598966562
full5y,v5,reset_liquidate,2022-08-08,0.002193795557494971
full5y,v5,reset_liquidate,2022-08-09,-0.009464131047173318
full5y,v5,reset_liquidate,2022-08-10,0.013693767694748038
full5y,v5,reset_liquidate,2022-08-11,-0.0015068556701539615
full5y,v5,reset_liquidate,2022-08-12,0.01084702134949007
full5y,v5,reset_liquidate,2022-08-15,0.0009817534116230097
full5y,v5,reset_liquidate,2022-08-16,-0.0040200020660128176
full5y,v5,reset_liquidate,2022-08-17,-0.004071082061456332
full5y,v5,reset_liquidate,2022-08-18,-0.0036924328605211
full5y,v5,reset_liquidate,2022-08-19,-0.001676603452033565
full5y,v5,reset_liquidate,2022-08-22,0.0020823030137983923
full5y,v5,reset_liquidate,2022-08-23,-0.0003051696624335909
full5y,v5,reset_liquidate,2022-08-24,0.001224427485044499
full5y,v5,reset_liquidate,2022-08-25,0.014833677261199218
full5y,v5,reset_liquidate,2022-08-26,-0.0023977869997869215
full5y,v5,reset_liquidate,2022-08-29,-0.0028969056639751136
full5y,v5,reset_liquidate,2022-08-30,-0.008072531244201653
full5y,v5,reset_liquidate,2022-08-31,0.006315623897797651
full5y,v5,reset_liquidate,2022-09-01,-0.0034266060942455545
full5y,v5,reset_liquidate,2022-09-02,-0.006213204337382849
full5y,v5,reset_liquidate,2022-09-06,-0.005831817033679243
full5y,v5,reset_liquidate,2022-09-07,0.0002855810868112707
full5y,v5,reset_liquidate,2022-09-08,0.0
full5y,v5,reset_liquidate,2022-09-09,0.0
full5y,v5,reset_liquidate,2022-09-12,0.0
full5y,v5,reset_liquidate,2022-09-13,0.0
full5y,v5,reset_liquidate,2022-09-14,0.0
full5y,v5,reset_liquidate,2022-09-15,0.0
full5y,v5,reset_liquidate,2022-09-16,0.0
full5y,v5,reset_liquidate,2022-09-19,0.0
full5y,v5,reset_liquidate,2022-09-20,0.0
full5y,v5,reset_liquidate,2022-09-21,0.0
full5y,v5,reset_liquidate,2022-09-22,0.0
full5y,v5,reset_liquidate,2022-09-23,0.0
full5y,v5,reset_liquidate,2022-09-26,0.0
full5y,v5,reset_liquidate,2022-09-27,0.0
full5y,v5,reset_liquidate,2022-09-28,0.0
full5y,v5,reset_liquidate,2022-09-29,0.0
full5y,v5,reset_liquidate,2022-09-30,0.0
full5y,v5,reset_liquidate,2022-10-03,0.0
full5y,v5,reset_liquidate,2022-10-04,0.0
full5y,v5,reset_liquidate,2022-10-05,0.0
full5y,v5,reset_liquidate,2022-10-06,0.0
full5y,v5,reset_liquidate,2022-10-07,0.0
full5y,v5,reset_liquidate,2022-10-10,0.0
full5y,v5,reset_liquidate,2022-10-11,0.0
full5y,v5,reset_liquidate,2022-10-12,0.0
full5y,v5,reset_liquidate,2022-10-13,0.0
full5y,v5,reset_liquidate,2022-10-14,-0.01972387435530636
full5y,v5,reset_liquidate,2022-10-17,0.018548621603363326
full5y,v5,reset_liquidate,2022-10-18,0.0003802951783891784
full5y,v5,reset_liquidate,2022-10-19,-0.013982344413236791
full5y,v5,reset_liquidate,2022-10-20,-0.00047175495461944107
full5y,v5,reset_liquidate,2022-10-21,0.008834612356483928
full5y,v5,reset_liquidate,2022-10-24,-0.02636384908084739
full5y,v5,reset_liquidate,2022-10-25,0.012414322686174817
full5y,v5,reset_liquidate,2022-10-26,-0.006607509486069763
full5y,v5,reset_liquidate,2022-10-27,-0.005508077581122239
full5y,v5,reset_liquidate,2022-10-28,0.009045212635684318
full5y,v5,reset_liquidate,2022-10-31,-0.00345623722281273
full5y,v5,reset_liquidate,2022-11-01,-0.003102615995200875
full5y,v5,reset_liquidate,2022-11-02,-0.010344828946187823
full5y,v5,reset_liquidate,2022-11-03,-0.005769242612733571
full5y,v5,reset_liquidate,2022-11-04,0.005608576230622187
full5y,v5,reset_liquidate,2022-11-07,0.0
full5y,v5,reset_liquidate,2022-11-08,0.0017868800499873494
full5y,v5,reset_liquidate,2022-11-09,-0.011980775391914954
full5y,v5,reset_liquidate,2022-11-10,0.017706712260532508
full5y,v5,reset_liquidate,2022-11-11,0.022052318114762583
full5y,v5,reset_liquidate,2022-11-14,0.0005337953867977751
full5y,v5,reset_liquidate,2022-11-15,0.01897084177894972
full5y,v5,reset_liquidate,2022-11-16,-0.012170137404703296
full5y,v5,reset_liquidate,2022-11-17,0.00284552767805345
full5y,v5,reset_liquidate,2022-11-18,-0.01029672113398702
full5y,v5,reset_liquidate,2022-11-21,-0.008154941733035093
full5y,v5,reset_liquidate,2022-11-22,-0.001422487030816666
full5y,v5,reset_liquidate,2022-11-23,0.005896498001877371
full5y,v5,reset_liquidate,2022-11-25,-0.006332974278069103
full5y,v5,reset_liquidate,2022-11-28,7.294576189273983e-05
full5y,v5,reset_liquidate,2022-11-29,0.011685355823771148
full5y,v5,reset_liquidate,2022-11-30,0.018211511298910677
full5y,v5,reset_liquidate,2022-12-01,0.004729834806107414
full5y,v5,reset_liquidate,2022-12-02,0.00818400143749728
full5y,v5,reset_liquidate,2022-12-05,-0.01646890159800265
full5y,v5,reset_liquidate,2022-12-06,0.0009241036684047854
full5y,v5,reset_liquidate,2022-12-07,-0.008167108471751417
