case,rule,mode,symbol,total,cagr,mdd,sharpe,calmar,exposure
full5y,v5,reset_liquidate,TQQQ,94.2966287827349,14.267547380299739,41.142941765421284,0.5453329162225032,0.34677995223693375,0.19123505976095617
full5y,v5,reset_liquidate,MSFT,25.06134511355913,4.5928526438054895,24.162530104592793,0.3265729431604539,0.19008161082156225,0.5250996015936255
full5y,v5,reset_liquidate,NFLX,328.96703639846294,33.96418538036807,21.57231063446934,1.3162533160342058,1.5744342808645804,0.5346613545816733
full5y,v5,reset_liquidate,YINN,74.02191793496785,11.766720130871278,67.50277009410183,0.48062152735874175,0.1743146261178312,0.3466135458167331
full5y,v5,reset_liquidate,SNOW,45.41179608059094,7.807627623376301,57.86149243006074,0.38101716327201435,0.13493650605043864,0.3282868525896414
full5y,v5,reset_liquidate,TSLA,101.84649770517531,15.145584436916447,46.48102029656914,0.6476669109800594,0.3258444918007614,0.2047808764940239
full5y,v5,reset_liquidate,MRNA,-4.730592954989454,-0.9683711498738035,49.13825050293683,0.1534022872766261,-0.019707074223489645,0.27729083665338644
full5y,v5,reset_liquidate,NVDA,39.68970412991748,6.942060685270346,29.312222852966695,0.4129156063402117,0.2368316016186312,0.24382470119521912
full5y,v5,reset_liquidate,GOOGL,-6.063822826241793,-1.2482207269816414,28.194142102145637,0.010635528408310673,-0.04427234290227434,0.2972111553784861
full5y,v5,reset_liquidate,AAOI,1285.5202504003153,69.52440440608933,40.88018136185644,1.1316482924763211,1.7006872790187668,0.24860557768924302
full5y,v5,reset_mark,TQQQ,94.2966287827349,14.267547380299739,41.142941765421284,0.5453329162225032,0.34677995223693375,0.19123505976095617
full5y,v5,reset_mark,MSFT,25.1865316452043,4.6138671740245885,24.162530104592793,0.3275890490972465,0.1909513264568096,0.5250996015936255
full5y,v5,reset_mark,NFLX,329.3964328312942,33.991101124138254,21.57231063446934,1.3171506674961455,1.5756819795569577,0.5346613545816733
full5y,v5,reset_mark,YINN,74.02191793496785,11.766720130871278,67.50277009410183,0.48062152735874175,0.1743146261178312,0.3466135458167331
full5y,v5,reset_mark,SNOW,45.55735343402496,7.829288058016659,57.86149243006074,0.3815633905570008,0.1353108557903203,0.3282868525896414
full5y,v5,reset_mark,TSLA,101.84649770517531,15.145584436916447,46.48102029656914,0.6476669109800594,0.3258444918007614,0.2047808764940239
full5y,v5,reset_mark,MRNA,-4.730592954989454,-0.9683711498738035,49.13825050293683,0.1534022872766261,-0.019707074223489645,0.27729083665338644
full5y,v5,reset_mark,NVDA,39.68970412991748,6.942060685270346,29.312222852966695,0.4129156063402117,0.2368316016186312,0.24382470119521912
full5y,v5,reset_mark,GOOGL,-5.969792618860659,-1.2283797703840582,28.194142102145637,0.011812058534206596,-0.043568616698238735,0.2972111553784861
full5y,v5,reset_mark,AAOI,1285.5202504003153,69.52440440608933,40.88018136185644,1.1316482924763211,1.7006872790187668,0.24860557768924302
full5y,v5,carry_mark,TQQQ,94.2966287827349,14.267547380299739,41.142941765421284,0.5453329162225032,0.34677995223693375,0.19123505976095617
full5y,v5,carry_mark,MSFT,25.1865316452043,4.6138671740245885,24.162530104592793,0.3275890490972465,0.1909513264568096,0.5250996015936255
full5y,v5,carry_mark,NFLX,329.3964328312942,33.991101124138254,21.57231063446934,1.3171506674961455,1.5756819795569577,0.5346613545816733
full5y,v5,carry_mark,YINN,74.02191793496785,11.766720130871278,67.50277009410183,0.48062152735874175,0.1743146261178312,0.3466135458167331
full5y,v5,carry_mark,SNOW,45.55735343402496,7.829288058016659,57.86149243006074,0.3815633905570008,0.1353108557903203,0.3282868525896414
full5y,v5,carry_mark,TSLA,101.84649770517531,15.145584436916447,46.48102029656914,0.6476669109800594,0.3258444918007614,0.2047808764940239
full5y,v5,carry_mark,MRNA,-4.730592954989454,-0.9683711498738035,49.13825050293683,0.1534022872766261,-0.019707074223489645,0.27729083665338644
full5y,v5,carry_mark,NVDA,39.68970412991748,6.942060685270346,29.312222852966695,0.4129156063402117,0.2368316016186312,0.24382470119521912
full5y,v5,carry_mark,GOOGL,-5.969792618860659,-1.2283797703840582,28.194142102145637,0.011812058534206596,-0.043568616698238735,0.2972111553784861
full5y,v5,carry_mark,AAOI,1285.5202504003153,69.52440440608933,40.88018136185644,1.1316482924763211,1.7006872790187668,0.24860557768924302
full5y,P-confirm5-v5profit50,reset_liquidate,TQQQ,52.83943458439093,8.89147625015223,46.834318987502556,0.41303987002608333,0.18984958983870065,0.24223107569721117
full5y,P-confirm5-v5profit50,reset_liquidate,MSFT,43.36946111666913,7.501864637854294,27.24527434368299,0.4407907201847706,0.2753455349071812,0.6804780876494024
full5y,P-confirm5-v5profit50,reset_liquidate,NFLX,321.0722207552902,33.46543720421617,29.40788810072914,1.3174781302969965,1.1379748552357432,0.5298804780876494
full5y,P-confirm5-v5profit50,reset_liquidate,YINN,-15.95400636667147,-3.429771859864883,71.17162405797026,0.15064429584167863,-0.0481901587221234,0.28844621513944224
full5y,P-confirm5-v5profit50,reset_liquidate,SNOW,27.487058348997053,4.997088560737573,56.097583215933625,0.3093589966249755,0.08907849989726882,0.349003984063745
full5y,P-confirm5-v5profit50,reset_liquidate,TSLA,142.30863275895445,19.448320418038122,40.58105783951332,0.7605182166321709,0.4792462654608651,0.24701195219123506
full5y,P-confirm5-v5profit50,reset_liquidate,MRNA,27.57425086997751,5.011504022072133,36.908705117993655,0.3129631765806189,0.13578108487010926,0.2836653386454183
full5y,P-confirm5-v5profit50,reset_liquidate,NVDA,37.0002644525738,6.525411973560202,40.37082014432,0.38493992933730437,0.16163684438990275,0.27729083665338644
full5y,P-confirm5-v5profit50,reset_liquidate,GOOGL,-2.4865443724335856,-0.5043265624266158,29.14945108900865,0.05740020877724134,-0.01730140855437177,0.30916334661354583
full5y,P-confirm5-v5profit50,reset_liquidate,AAOI,1680.906508224371,78.28908288949188,38.51533003214803,1.18670075688394,2.0326732972077726,0.25657370517928285
full5y,P-confirm5-v5profit50,reset_mark,TQQQ,52.83943458439093,8.89147625015223,46.834318987502556,0.41303987002608333,0.18984958983870065,0.24223107569721117
full5y,P-confirm5-v5profit50,reset_mark,MSFT,43.51297409075989,7.523463639372441,27.24527434368299,0.44170087373345923,0.27613829629565867,0.6804780876494024
full5y,P-confirm5-v5profit50,reset_mark,NFLX,321.49371446975994,33.49225274076997,29.40788810072914,1.3183911087790967,1.1388867036643668,0.5298804780876494
full5y,P-confirm5-v5profit50,reset_mark,YINN,-15.95400636667147,-3.429771859864883,71.17162405797026,0.15064429584167863,-0.0481901587221234,0.28844621513944224
full5y,P-confirm5-v5profit50,reset_mark,SNOW,27.614673022019097,5.0181843090100875,56.097583215933625,0.3099062692682635,0.08945455439129778,0.349003984063745
full5y,P-confirm5-v5profit50,reset_mark,TSLA,142.30863275895445,19.448320418038122,40.58105783951332,0.7605182166321709,0.4792462654608651,0.24701195219123506
full5y,P-confirm5-v5profit50,reset_mark,MRNA,27.57425086997751,5.011504022072133,36.908705117993655,0.3129631765806189,0.13578108487010926,0.2836653386454183
full5y,P-confirm5-v5profit50,reset_mark,NVDA,37.0002644525738,6.525411973560202,40.37082014432,0.38493992933730437,0.16163684438990275,0.27729083665338644
full5y,P-confirm5-v5profit50,reset_mark,GOOGL,-2.388933305739327,-0.4843361445034722,29.14945108900865,0.05855392960843825,-0.016615618010251323,0.30916334661354583
full5y,P-confirm5-v5profit50,reset_mark,AAOI,1680.906508224371,78.28908288949188,38.51533003214803,1.18670075688394,2.0326732972077726,0.25657370517928285
full5y,P-confirm5-v5profit50,carry_mark,TQQQ,52.83943458439093,8.89147625015223,46.834318987502556,0.41303987002608333,0.18984958983870065,0.24223107569721117
full5y,P-confirm5-v5profit50,carry_mark,MSFT,43.51297409075989,7.523463639372441,27.24527434368299,0.44170087373345923,0.27613829629565867,0.6804780876494024
full5y,P-confirm5-v5profit50,carry_mark,NFLX,321.49371446975994,33.49225274076997,29.40788810072914,1.3183911087790967,1.1388867036643668,0.5298804780876494
full5y,P-confirm5-v5profit50,carry_mark,YINN,-15.95400636667147,-3.429771859864883,71.17162405797026,0.15064429584167863,-0.0481901587221234,0.28844621513944224
full5y,P-confirm5-v5profit50,carry_mark,SNOW,27.614673022019097,5.0181843090100875,56.097583215933625,0.3099062692682635,0.08945455439129778,0.349003984063745
full5y,P-confirm5-v5profit50,carry_mark,TSLA,142.30863275895445,19.448320418038122,40.58105783951332,0.7605182166321709,0.4792462654608651,0.24701195219123506
full5y,P-confirm5-v5profit50,carry_mark,MRNA,27.57425086997751,5.011504022072133,36.908705117993655,0.3129631765806189,0.13578108487010926,0.2836653386454183
full5y,P-confirm5-v5profit50,carry_mark,NVDA,37.0002644525738,6.525411973560202,40.37082014432,0.38493992933730437,0.16163684438990275,0.27729083665338644
full5y,P-confirm5-v5profit50,carry_mark,GOOGL,-2.388933305739327,-0.4843361445034722,29.14945108900865,0.05855392960843825,-0.016615618010251323,0.30916334661354583
full5y,P-confirm5-v5profit50,carry_mark,AAOI,1680.906508224371,78.28908288949188,38.51533003214803,1.18670075688394,2.0326732972077726,0.25657370517928285
year2021,v5,reset_liquidate,TQQQ,19.256839918206637,19.256839918206637,41.142941765421284,0.6084398523228648,0.4680472297776021,0.29365079365079366
year2021,v5,reset_liquidate,MSFT,-21.59643001259395,-21.59643001259395,23.192038396358882,-0.9950359873389958,-0.9312001663460749,0.36507936507936506
year2021,v5,reset_liquidate,NFLX,0.0,0.0,0.0,,,0.0
year2021,v5,reset_liquidate,YINN,-11.980770357805415,-11.980770357805415,40.45346108536163,0.08568070742256588,-0.2961618125214196,0.3888888888888889
year2021,v5,reset_liquidate,SNOW,11.035064589081788,11.035064589081788,29.67843587237774,0.45589626154015755,0.3718209624164299,0.4166666666666667
year2021,v5,reset_liquidate,TSLA,10.819385050147323,10.819385050147323,23.486838250874076,0.5195461560596975,0.4606573662482933,0.16666666666666666
year2021,v5,reset_liquidate,MRNA,-25.173479453374327,-25.173479453374327,33.868365313698554,-0.6056313586980115,-0.7432741208561532,0.20238095238095238
year2021,v5,reset_liquidate,NVDA,0.0,0.0,0.0,,,0.0
year2021,v5,reset_liquidate,GOOGL,-23.185264576068032,-23.185264576068032,24.508953549724055,-1.4744555823957037,-0.9459916160447035,0.23412698412698413
year2021,v5,reset_liquidate,AAOI,-14.528879830647135,-14.528879830647135,22.27459532673385,-0.4558710899810254,-0.6522623471955807,0.09126984126984126
year2021,v5,reset_mark,TQQQ,19.256839918206637,19.256839918206637,41.142941765421284,0.6084398523228648,0.4680472297776021,0.29365079365079366
year2021,v5,reset_mark,MSFT,-21.59643001259395,-21.59643001259395,23.192038396358882,-0.9950359873389958,-0.9312001663460749,0.36507936507936506
year2021,v5,reset_mark,NFLX,0.0,0.0,0.0,,,0.0
year2021,v5,reset_mark,YINN,-11.892663020826244,-11.892663020826244,40.45346108536163,0.08729129425121931,-0.29398381996861295,0.3888888888888889
year2021,v5,reset_mark,SNOW,11.035064589081788,11.035064589081788,29.67843587237774,0.45589626154015755,0.3718209624164299,0.4166666666666667
year2021,v5,reset_mark,TSLA,10.819385050147323,10.819385050147323,23.486838250874076,0.5195461560596975,0.4606573662482933,0.16666666666666666
year2021,v5,reset_mark,MRNA,-25.173479453374327,-25.173479453374327,33.868365313698554,-0.6056313586980115,-0.7432741208561532,0.20238095238095238
year2021,v5,reset_mark,NVDA,0.0,0.0,0.0,,,0.0
year2021,v5,reset_mark,GOOGL,-23.185264576068032,-23.185264576068032,24.508953549724055,-1.4744555823957037,-0.9459916160447035,0.23412698412698413
year2021,v5,reset_mark,AAOI,-14.528879830647135,-14.528879830647135,22.27459532673385,-0.4558710899810254,-0.6522623471955807,0.09126984126984126
year2021,v5,carry_mark,TQQQ,19.256839918206637,19.256839918206637,41.142941765421284,0.6084398523228648,0.4680472297776021,0.29365079365079366
year2021,v5,carry_mark,MSFT,-21.59643001259395,-21.59643001259395,23.192038396358882,-0.9950359873389958,-0.9312001663460749,0.36507936507936506
year2021,v5,carry_mark,NFLX,0.0,0.0,0.0,,,0.0
year2021,v5,carry_mark,YINN,-11.892663020826244,-11.892663020826244,40.45346108536163,0.08729129425121931,-0.29398381996861295,0.3888888888888889
year2021,v5,carry_mark,SNOW,11.035064589081788,11.035064589081788,29.67843587237774,0.45589626154015755,0.3718209624164299,0.4166666666666667
year2021,v5,carry_mark,TSLA,10.819385050147323,10.819385050147323,23.486838250874076,0.5195461560596975,0.4606573662482933,0.16666666666666666
year2021,v5,carry_mark,MRNA,-25.173479453374327,-25.173479453374327,33.868365313698554,-0.6056313586980115,-0.7432741208561532,0.20238095238095238
year2021,v5,carry_mark,NVDA,0.0,0.0,0.0,,,0.0
year2021,v5,carry_mark,GOOGL,-23.185264576068032,-23.185264576068032,24.508953549724055,-1.4744555823957037,-0.9459916160447035,0.23412698412698413
year2021,v5,carry_mark,AAOI,-14.528879830647135,-14.528879830647135,22.27459532673385,-0.4558710899810254,-0.6522623471955807,0.09126984126984126
year2021,P-confirm5-v5profit50,reset_liquidate,TQQQ,-20.687454802215967,-20.687454802215967,41.142941765421284,-0.4199556284472242,-0.5028190478008746,0.15476190476190477
year2021,P-confirm5-v5profit50,reset_liquidate,MSFT,-26.559868972042132,-26.559868972042132,27.24527434368299,-1.2562849120493964,-0.9748431466317837,0.4007936507936508
year2021,P-confirm5-v5profit50,reset_liquidate,NFLX,4.808436559184814,4.808436559184814,5.498186743120714,0.570025687336556,0.8745495167476969,0.0992063492063492
year2021,P-confirm5-v5profit50,reset_liquidate,YINN,0.11569361829644187,0.11569361829644187,33.58379470307285,0.2244905959954283,0.0034449239378495887,0.24603174603174602
year2021,P-confirm5-v5profit50,reset_liquidate,SNOW,1.1974139686188323,1.1974139686188323,29.67843587237774,0.2421240519902818,0.04034626264564324,0.3412698412698413
year2021,P-confirm5-v5profit50,reset_liquidate,TSLA,23.488911083142728,23.488911083142728,14.799427624586892,1.0040968030009056,1.5871499681595553,0.2222222222222222
year2021,P-confirm5-v5profit50,reset_liquidate,MRNA,-12.562209368851374,-12.562209368851374,33.868365313698554,-0.2377387857544738,-0.37091277516634097,0.13095238095238096
year2021,P-confirm5-v5profit50,reset_liquidate,NVDA,0.0,0.0,0.0,,,0.0
year2021,P-confirm5-v5profit50,reset_liquidate,GOOGL,-23.185264576068032,-23.185264576068032,24.508953549724055,-1.4744555823957037,-0.9459916160447035,0.23412698412698413
year2021,P-confirm5-v5profit50,reset_liquidate,AAOI,-14.528879830647135,-14.528879830647135,22.27459532673385,-0.4558710899810254,-0.6522623471955807,0.09126984126984126
year2021,P-confirm5-v5profit50,reset_mark,TQQQ,-20.687454802215967,-20.687454802215967,41.142941765421284,-0.4199556284472242,-0.5028190478008746,0.15476190476190477
