rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin,entry_stop_pct,entry_limit,use_extra_exit
P-stop5,TQQQ,2022-10-14,2022-11-04,-8.84758457047603,15,trail,13.60199577168546,v5,,,False
P-stop5,TQQQ,2023-01-12,2023-01-31,12.172843726286352,12,signal,19.51845176686615,v5,,,False
P-stop5,TQQQ,2023-04-28,2023-08-10,47.27595325177787,71,signal,68.11326384875397,additional,5.0,,False
P-stop5,TQQQ,2023-08-30,2023-09-21,-11.645126617360713,15,hard_stop,2.4378511192259644,additional,5.0,,False
P-stop5,TQQQ,2023-10-10,2023-10-27,-17.082673786856517,13,trail,3.499080772653551,v5,,,False
P-stop5,TQQQ,2023-12-08,2024-04-22,16.11048669444979,91,trail,45.26260014818837,additional,5.0,,False
P-stop5,TQQQ,2024-05-06,2024-07-22,28.498565677603473,52,signal,48.47578465194693,v5,,,False
P-stop5,TQQQ,2024-08-06,2024-08-26,26.220476059691045,15,terminal,32.69905581555563,v5,,,False
P-stop5,MSFT,2021-09-15,2021-09-29,-6.176191377420892,10,hard_stop,0.6463072584456109,additional,5.0,,False
P-stop5,MSFT,2021-10-14,2022-02-24,-9.105554619510425,91,hard_stop,14.671967898864535,additional,5.0,,False
P-stop5,MSFT,2023-03-15,2024-08-26,58.72890464859537,365,terminal,79.84459489202109,additional,5.0,,False
P-stop5,NFLX,2021-09-23,2022-01-07,-7.181632349000355,74,hard_stop,17.078827328752986,additional,5.0,,False
P-stop5,NFLX,2022-11-11,2023-02-22,22.718450584994553,68,signal,34.06201318639654,additional,5.0,,False
P-stop5,NFLX,2023-03-24,2023-07-28,29.348250842444546,86,signal,48.953620309899094,additional,5.0,,False
P-stop5,NFLX,2023-08-08,2023-08-17,-5.947310927059979,7,hard_stop,-0.46779332892287195,additional,5.0,,False
P-stop5,NFLX,2023-10-25,2024-08-26,65.15162887570416,210,terminal,67.91018287200794,v5,,,False
P-stop5,YINN,2021-09-23,2021-11-29,-4.459071666167269,46,trail,25.800192888264583,v5,,,False
P-stop5,YINN,2021-12-31,2022-01-24,6.437643816955396,15,signal,18.052262622978677,v5,,,False
P-stop5,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,v5,,,False
P-stop5,YINN,2022-03-16,2022-04-12,7.8791593400682425,19,trail,34.52380952380953,v5,,,False
P-stop5,YINN,2022-08-12,2022-09-07,-11.409216181607517,17,trail,11.929882951640703,v5,,,False
P-stop5,YINN,2022-10-14,2022-10-25,-34.38185233852087,7,trail,-0.056149518145465205,v5,,,False
P-stop5,YINN,2022-11-08,2022-12-08,68.81192274062582,21,signal,67.05140981683448,v5,,,False
P-stop5,YINN,2023-01-04,2023-02-07,1.6724582841518787,23,trail,29.20353982300885,v5,,,False
P-stop5,YINN,2023-06-14,2023-06-21,-7.5571202234804735,4,signal,10.657007108499927,v5,,,False
P-stop5,YINN,2023-10-12,2023-11-30,-24.892376600456224,34,trail,-3.064518590127263,v5,,,False
P-stop5,YINN,2024-01-02,2024-01-17,-26.9742832525411,10,trail,2.832127883109181,v5,,,False
P-stop5,YINN,2024-07-05,2024-07-19,-7.283035136019588,10,hard_stop,8.287287712224956,additional,5.0,,False
P-stop5,YINN,2024-08-06,2024-08-26,18.97800480303784,15,terminal,24.476659037613068,v5,,,False
P-stop5,SNOW,2021-10-08,2021-12-02,7.992065796065795,38,trail,24.251043277500028,additional,5.0,,False
P-stop5,SNOW,2021-12-09,2022-01-06,-20.634647434082034,19,trail,0.3351324957770352,v5,,,False
P-stop5,SNOW,2022-01-25,2022-02-14,6.612483502114785,14,signal,13.019943244198174,v5,,,False
P-stop5,SNOW,2022-03-17,2022-04-19,-0.7935845204045111,22,trail,23.707690116686674,v5,,,False
P-stop5,SNOW,2022-05-27,2022-08-10,32.27609989487659,50,signal,33.58092577422396,v5,,,False
P-stop5,SNOW,2022-11-11,2023-01-05,-12.00113687755061,36,trail,11.490729796542198,v5,,,False
P-stop5,SNOW,2023-01-13,2023-02-06,14.44413620217182,15,signal,27.81765911778349,v5,,,False
P-stop5,SNOW,2023-06-02,2023-08-04,-0.7443708995414688,43,hard_stop,10.841550983704785,additional,5.0,,False
P-stop5,SNOW,2023-09-01,2024-01-05,16.50919972702114,86,signal,27.280194787458868,v5,,,False
P-stop5,SNOW,2024-01-09,2024-03-01,-2.4392171058245093,36,trail,20.62356624701158,additional,5.0,,False
