window,symbol,trade_id,entry_date,entry_signal_date,entry_open,entry_b,entry_jf,setup_date,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,exit_date,exit_signal_date,exit_reason,exit_price,return_pct,hold_bars,peak_close,peak_close_date,peak_close_gain_pct,exit_gross_pct,giveback_pp,peak_to_exit_drawdown_pct,profit_to_loss,S_BLOWOFF,S_BEAR_RALLY,S_CROSS,S_DELAY,exit_raw_s,exit_s_suppressed,raw_s_count,emitted_s_count,suppressed_s_count,entry_kind,last_held_close_date,worst_overnight_date,worst_intraday_date,previous_trade_id,previous_exit_date,previous_exit_reason,previous_entry_kind,entry_gap_pct,overnight_factor,intraday_factor,cost_factor,overnight_log_pct,intraday_log_pct,cost_log_pct,reconstructed_return_pct,last_held_close,last_close_net_pct,exit_overnight_pct,exit_gap_impact_pp,trail_reference,worst_overnight_pct,worst_intraday_pct,pair_return_pct,chain_return_pct,close_below_trail,flat_bars
training,TQQQ,TQQQ:2022-01-25,2022-01-25,2022-01-24,25.80071632125625,False,True,,False,False,False,False,2022-02-22,2022-02-18,trail,23.36596479330555,-9.61779533821755,19,30.732149124145508,2022-02-02,19.113549955302723,-9.436759420298724,28.550309375601447,23.968985381020826,True,False,False,False,False,False,False,0,0,0,JF,2022-02-18,2022-02-03,2022-02-11,,,,,-5.80967533674891,1.041726778656388,0.8693569411406429,0.998001,4.087970036537326,-14.0001488752362,-0.20010006671670688,-9.617795338217528,24.03301429748535,-7.0375721229710475,-2.7755548926278295,-2.5802232152465017,24.58571929931641,-8.0309930171088,-9.356924318169902,,-9.61779533821755,True,
training,TQQQ,TQQQ:2022-02-25,2022-02-25,2022-02-24,23.823372387867483,False,True,,False,False,False,False,2022-03-15,2022-03-14,trail,19.47322353311365,-18.423402686815884,12,24.9954833984375,2022-02-28,4.920004571506165,-18.2600044356828,23.180009007188964,22.093030878006758,True,False,False,False,False,False,False,0,0,0,JF,2022-03-14,2022-03-10,2022-03-07,TQQQ:2022-01-25,2022-02-22,trail,JF,0.8878009343826765,1.044959442268833,0.7822312738458247,0.998001,4.397807343760215,-24.56048355553188,-0.20010006671670688,-18.423402686815894,18.99199104309082,-20.43936624754106,2.533870666487603,2.015963560725176,19.996386718750003,-3.7306879078534028,-11.092607910483466,-26.269272860279802,-26.269272860279802,True,3
training,TQQQ,TQQQ:2022-06-16,2022-06-16,2022-06-15,10.953987668645077,False,True,,False,False,False,False,2022-08-18,2022-08-17,signal,17.753175708393893,61.74645842324886,43,18.529821395874023,2022-08-15,69.16050991105432,62.070437227266154,7.090072683788165,4.191328512497494,False,False,True,False,False,True,False,1,1,0,JF,2022-08-17,2022-07-13,2022-06-28,TQQQ:2022-02-25,2022-03-15,trail,JF,-7.670673706793085,1.0145615538659787,1.5974431182583069,0.998001,1.4456552534783895,46.84042999115538,-0.20010006671670688,61.74645842324891,17.772235870361328,61.920112632830524,-0.10724684337113377,-0.1736542095816631,14.82385711669922,-5.956594077536693,-9.577564633837666,31.947257056270505,19.25683991820659,False,65
training,TQQQ,TQQQ:2022-10-14,2022-10-14,2022-10-13,9.4578795644804,False,True,,False,False,False,False,2022-11-04,2022-11-03,trail,8.63835374056662,-8.84758457047602,15,10.744339942932127,2022-10-25,13.60199577168546,-8.665005917304713,22.26700168899017,19.60088952463639,True,False,False,False,False,False,False,0,0,0,JF,2022-11-03,2022-10-26,2022-10-14,TQQQ:2022-06-16,2022-08-18,signal,JF,2.7964768357924052,1.073493504150978,0.8508201840954018,0.998001,7.091828722475133,-16.15544722710229,-0.20010006671670688,-8.847584570475986,8.171415328979492,-13.774746081947086,5.714290521143317,4.927161511471066,8.595471954345703,-6.075354807818567,-11.486149334152774,47.435803724502094,8.705490150366057,True,40
training,TQQQ,TQQQ:2023-01-12,2023-01-12,2023-01-11,9.348915741982776,True,False,2023-01-10,False,False,True,False,2023-01-31,2023-01-30,signal,10.50795003748145,12.172843726286352,12,11.17367935180664,2023-01-27,19.51845176686615,12.397526381523027,7.1209253853431225,5.958013411379581,False,False,True,False,False,True,False,1,1,0,B,2023-01-30,2023-01-25,2023-01-18,TQQQ:2022-10-14,2022-11-04,trail,JF,0.5667190449351489,0.9182855975086146,1.2239931311834453,0.998001,-8.524682834864542,20.21185722961573,-0.20010006671670688,12.172843726286375,10.50316333770752,12.121745488876545,0.045573886837946276,0.05109823740980701,8.938943481445312,-4.814820967972611,-5.442180968831156,2.2482565124952725,21.938039588263724,False,46
training,TQQQ,TQQQ:2023-10-10,2023-10-10,2023-10-09,18.433263727541377,True,False,2023-10-06,False,True,False,False,2023-10-27,2023-10-26,trail,15.314984069850167,-17.082673786856507,13,19.078258514404297,2023-10-11,3.499080772653551,-16.916590050367198,20.415670823020747,19.725461009519375,True,False,False,False,False,False,False,0,0,0,B,2023-10-26,2023-10-17,2023-10-25,TQQQ:2023-01-12,2023-01-31,signal,B,0.290233462215328,0.9787905554030298,0.8488374708052031,0.998001,-2.1437596619317905,-16.388754703328097,-0.20010006671670688,-17.082673786856517,14.965814590454102,-18.973123002781833,2.333113759265615,1.8904492159253259,15.262606811523439,-2.9738548749556726,-5.371067146931507,-6.989277244915481,1.1077620633126894,True,174
training,TQQQ,TQQQ:2024-05-06,2024-05-06,2024-05-03,28.06947194188976,True,False,2024-04-26,False,True,False,False,2024-07-22,2024-07-19,signal,36.141114927345455,28.498565677603448,52,41.676368713378906,2024-07-10,48.47578465194693,28.75594881929324,19.71983583265369,13.281516497037149,False,False,False,True,True,True,False,1,1,0,B,2024-07-19,2024-07-17,2024-07-11,TQQQ:2023-10-10,2023-10-27,trail,B,1.2698520664737867,1.1558909928258743,1.1139108239308628,0.998001,14.487146894052641,10.78770879695316,-0.20010006671670688,28.498565677603494,34.87015914916992,23.979723498452856,3.6448235660140105,4.518842179150592,33.341094970703125,-4.883143336015627,-6.614102231191565,6.547574882108886,29.922024040080885,False,130
training,TQQQ,TQQQ:2024-08-06,2024-08-06,2024-08-05,26.562371631652507,False,True,,False,False,False,False,2024-08-26,,terminal,33.59430694580078,26.220476059691087,15,35.248016357421875,2024-08-21,32.69905581555563,26.473296178752403,6.225759636803229,4.691638232495565,False,False,False,False,False,,,0,0,0,JF,2024-08-26,2024-08-16,2024-08-07,TQQQ:2024-05-06,2024-07-22,signal,B,0.9511456841576837,1.198103724918186,1.055612244151805,0.998001,18.074007767998847,5.412092481413516,-0.20010006671670688,26.220476059691002,33.59430694580078,26.220476059691087,,0.0,28.198413085937503,-1.2269756608478177,-7.608131129639418,62.19150132814588,63.988197249776405,False,11
training,MSFT,MSFT:2022-02-01,2022-02-01,2022-01-31,310.4100036621094,True,False,2022-01-24,True,False,False,False,2022-06-14,2022-06-13,trail,243.86000061035156,-21.59643001259398,92,315.4100036621094,2022-03-29,1.6107728298095259,-21.43938734790245,23.050160177711977,22.684760223524016,True,False,False,False,False,False,False,0,0,0,B,2022-06-13,2022-06-13,2022-04-29,,,,,-0.1832938787322269,0.8906005610098795,0.8821082771721503,0.998001,-11.585925617122179,-12.544046727640431,-0.20010006671670688,-21.596430012594002,242.2599945068359,-22.110848901314117,0.6604499875320968,0.5144188887201366,252.3280029296875,-3.1147494808941967,-3.842554624151917,,-21.59643001259398,True,
training,MSFT,MSFT:2023-04-28,2023-04-28,2023-04-27,304.010009765625,True,False,2023-04-26,True,False,False,False,2024-08-26,,terminal,413.489990234375,35.74007778955608,334,467.55999755859375,2024-07-05,53.7975667048124,36.01196570900842,17.785600995803975,11.5642928408226,False,False,False,False,False,,,0,0,0,B,2024-08-26,2024-08-05,2023-08-24,MSFT:2022-02-01,2022-06-14,trail,B,-0.2689947980056173,1.3187357907015058,1.0313814690405587,0.998001,27.667354336068804,3.0899135671453815,-0.20010006671670688,35.74007778955588,413.489990234375,35.740077789556125,,0.0,374.047998046875,-4.729608379278916,-3.8696123318702424,6.425066890693976,6.425066890693976,False,219
