rule,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered,drawdown_peak,drawdown_trough,hard_stop_exits,max_hold_exits,entry_signal_exits,entry_floor_exits
v5,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,107,11,39,7,2021-10-25,2022-03-07,0,0,0,0
JF-base-low-confirm2,31.259868756908315,9.53028145422159,15.13680945327376,0.7618478119731393,0.6296096600568887,50,48.0,-26.9742832525411,-0.4967422602022542,0.26082337317397075,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146,110,11,37,6,2021-10-25,2022-03-14,0,0,0,6
