window,symbol,setup_i,setup_date,setup_high,setup_regime,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,status,resolution_i,resolution_date,resolution_regime,wait_bars
training,AAOI,1373,2022-03-08,3.785000085830689,bear,False,False,False,True,expired,1378,2022-03-15,bear,5
training,AAOI,1412,2022-05-03,2.799999952316284,bear,False,False,False,True,expired,1417,2022-05-10,bear,5
training,AAOI,1584,2023-01-09,2.2799999713897705,bear,False,False,True,False,confirmed,1587,2023-01-12,bear,3
training,AAOI,1641,2023-03-31,2.2300000190734863,bear,False,False,False,True,expired,1646,2023-04-10,bear,5
training,AAOI,1668,2023-05-10,1.919999957084656,bear,False,False,False,True,expired,1673,2023-05-17,bear,5
training,AAOI,1916,2024-05-06,12.399999618530272,bear,False,False,True,False,expired,1921,2024-05-13,bear,5
training,AAOI,1958,2024-07-08,8.770000457763672,bear,False,False,False,True,confirmed,1960,2024-07-10,bear,2
training,AAOI,1986,2024-08-15,8.59000015258789,bear,False,False,True,False,confirmed,1988,2024-08-19,bear,2
validation,TQQQ,2149,2025-04-09,26.45866494280244,bear,False,False,False,True,expired,2154,2025-04-16,bear,5
validation,MSFT,2139,2025-03-21,391.739990234375,bear,False,False,True,False,confirmed,2140,2025-03-24,bear,1
validation,NFLX,2035,2024-10-18,76.62799835205078,bull,True,False,False,False,confirmed,2036,2024-10-21,bull,1
validation,NFLX,2135,2025-03-17,96.76300048828124,bull,False,True,False,False,confirmed,2140,2025-03-24,bull,5
validation,NFLX,2235,2025-08-08,121.41100311279295,bull,False,True,False,False,confirmed,2236,2025-08-11,bull,1
validation,YINN,2100,2025-01-24,29.8799991607666,bull,False,True,False,False,confirmed,2101,2025-01-27,bull,1
validation,YINN,2155,2025-04-14,32.2599983215332,bull,False,False,False,True,expired,2160,2025-04-22,bull,5
validation,SNOW,1117,2025-02-27,187.9499969482422,bull,True,False,False,False,expired,1122,2025-03-06,bull,5
validation,SNOW,1146,2025-04-09,151.9499969482422,bull,False,True,False,False,expired,1151,2025-04-16,bull,5
validation,TSLA,2036,2024-10-24,262.1199951171875,bull,True,False,False,False,confirmed,2037,2024-10-25,bull,1
validation,TSLA,2137,2025-03-24,278.6400146484375,bear,False,False,True,False,confirmed,2138,2025-03-25,bull,1
validation,MRNA,1500,2024-11-22,42.400001525878906,bear,False,False,False,True,confirmed,1505,2024-12-02,bear,5
validation,MRNA,1525,2024-12-31,41.790000915527344,bear,False,False,True,False,confirmed,1526,2025-01-02,bear,1
validation,MRNA,1602,2025-04-24,27.40999984741211,bear,False,False,True,False,confirmed,1604,2025-04-28,bear,2
validation,NVDA,2083,2025-01-03,144.6839138332244,bull,False,True,False,False,confirmed,2084,2025-01-06,bull,1
validation,NVDA,2148,2025-04-09,114.93891720962624,bear,False,False,False,True,expired,2153,2025-04-16,bear,5
validation,GOOGL,2010,2024-09-13,158.3800048828125,bull,False,True,False,False,confirmed,2012,2024-09-17,bull,2
validation,AAOI,2130,2025-03-14,23.690000534057617,bull,True,False,False,False,expired,2135,2025-03-21,bull,5
validation,AAOI,2158,2025-04-24,13.109999656677246,bear,False,False,True,False,confirmed,2163,2025-05-01,bear,5
recent,TQQQ,2398,2026-04-08,48.80762095871978,bear,False,False,True,False,confirmed,2399,2026-04-09,bear,1
recent,TQQQ,2479,2026-08-04,75.41000366210938,bull,False,True,False,False,expired,2484,2026-08-11,bull,5
recent,MSFT,2404,2026-04-13,384.5400085449219,bear,False,False,True,False,confirmed,2405,2026-04-14,bear,1
recent,MSFT,2460,2026-07-02,392.2000122070313,bear,False,False,True,False,expired,2465,2026-07-10,bear,5
recent,NFLX,2460,2026-07-02,78.44000244140625,bear,False,False,True,True,expired,2465,2026-07-10,bear,5
recent,YINN,2328,2025-12-19,44.34000015258789,bull,False,True,False,False,confirmed,2332,2025-12-26,bull,4
recent,YINN,2385,2026-03-16,36.61000061035156,bear,False,False,False,True,expired,2390,2026-03-23,bear,5
recent,SNOW,1331,2026-01-05,227.3999938964844,bull,False,True,False,False,confirmed,1332,2026-01-06,bull,1
recent,SNOW,1356,2026-02-10,186.5800018310547,bear,False,False,False,True,expired,1361,2026-02-18,bear,5
recent,SNOW,1400,2026-04-15,144.72999572753906,bear,False,False,False,True,confirmed,1403,2026-04-20,bear,3
recent,SNOW,1450,2026-06-26,250.0,bull,True,False,False,False,confirmed,1451,2026-06-29,bull,1
recent,TSLA,2359,2026-02-10,427.25,bull,False,True,False,False,confirmed,2360,2026-02-11,bull,1
recent,TSLA,2405,2026-04-17,409.2799987792969,bull,False,True,False,False,expired,2410,2026-04-24,bear,5
recent,MRNA,1705,2025-09-22,27.100000381469727,bear,False,False,False,True,expired,1710,2025-09-29,bear,5
recent,MRNA,1741,2025-11-11,26.6200008392334,bear,False,False,True,False,confirmed,1742,2025-11-12,bear,1
recent,MRNA,1778,2026-01-06,36.2599983215332,bull,True,False,False,False,confirmed,1783,2026-01-13,bull,5
recent,NVDA,2395,2026-04-06,177.58301630024127,bear,False,False,True,False,confirmed,2396,2026-04-07,bear,1
recent,NVDA,2495,2026-08-27,230.47000122070312,bull,True,False,False,False,pending,,,,0
recent,GOOGL,2380,2026-03-09,306.79998779296875,bull,False,True,False,False,confirmed,2382,2026-03-11,bull,2
recent,GOOGL,2480,2026-07-31,358.5799865722656,bull,False,True,False,False,confirmed,2481,2026-08-03,bull,1
recent,AAOI,2253,2025-09-10,28.030000686645508,bull,True,False,False,False,confirmed,2256,2025-09-15,bull,3
recent,AAOI,2349,2026-01-28,46.29999923706055,bull,True,False,False,False,expired,2354,2026-02-04,bull,5
recent,AAOI,2475,2026-07-30,90.68000030517578,bull,True,False,False,False,confirmed,2477,2026-08-03,bull,2
full,TQQQ,1349,2022-01-31,29.569571123007492,bear,False,False,False,True,expired,1354,2022-02-07,bear,5
full,TQQQ,1532,2022-10-21,9.858112241697702,bear,False,False,True,False,confirmed,1533,2022-10-24,bear,1
full,TQQQ,1586,2023-01-10,8.855607986450195,bear,False,False,True,False,confirmed,1587,2023-01-11,bear,1
full,TQQQ,1772,2023-10-06,18.278077499152904,bull,False,True,False,False,confirmed,1773,2023-10-09,bull,1
full,TQQQ,1911,2024-04-26,27.31175680707246,bull,False,True,False,False,confirmed,1916,2024-05-03,bull,5
full,TQQQ,2149,2025-04-09,26.45866494280244,bear,False,False,False,True,expired,2154,2025-04-16,bear,5
full,TQQQ,2398,2026-04-08,48.80762095871978,bear,False,False,True,False,confirmed,2399,2026-04-09,bear,1
full,TQQQ,2479,2026-08-04,75.41000366210938,bull,False,True,False,False,expired,2484,2026-08-11,bull,5
full,MSFT,1347,2022-01-24,297.1099853515625,bull,True,False,False,False,confirmed,1352,2022-01-31,bull,5
full,MSFT,1417,2022-05-04,290.8800048828125,bear,False,False,True,False,expired,1422,2022-05-11,bear,5
full,MSFT,1662,2023-04-26,299.57000732421875,bull,True,False,False,False,confirmed,1663,2023-04-27,bull,1
full,MSFT,1744,2023-08-23,329.20001220703125,bull,False,True,False,False,expired,1749,2023-08-30,bull,5
full,MSFT,1788,2023-10-25,346.20001220703125,bull,True,False,False,False,expired,1793,2023-11-01,bull,5
