window,symbol,date,signal,regime,setup_date,setup_regime,wait_bars,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,outcome_complete,outcome_date,ret20_pct,mfe20_pct,mae20_pct,win,interference
training,YINN,2022-10-13,jf,bear,,,,False,False,False,False,True,2022-11-10,-15.272315524522496,4.070749035428811,-44.806287375225814,False,True
training,YINN,2022-11-07,b,bear,2022-11-04,bear,1.0,False,False,True,True,True,2022-12-06,67.05140981683448,71.35362510318963,-10.66806303176766,True,False
training,YINN,2022-12-07,s,bear,,,,False,False,False,False,True,2023-01-06,25.971872208589787,26.488828364182737,-12.220843202692311,False,True
training,YINN,2023-01-03,b,bear,2022-12-29,bear,2.0,False,False,True,False,True,2023-02-01,19.681420790410662,30.17699655178374,-1.4159278532045128,True,False
training,YINN,2023-06-13,b,bear,2023-06-06,bear,5.0,False,False,True,False,True,2023-07-13,3.724776596980184,12.59699676954542,-18.494567115237302,True,False
training,YINN,2023-06-20,s,bear,,,,False,False,False,False,True,2023-07-19,-0.8936042517521114,12.231212190583163,-12.007821780248095,True,False
training,YINN,2023-10-11,b,bear,2023-10-10,bear,1.0,False,False,True,False,True,2023-11-08,-13.677418616510206,0.35484067855342527,-24.677418124291208,False,True
training,YINN,2023-12-29,b,bear,2023-12-28,bear,1.0,False,False,False,True,True,2024-01-30,-20.700311235687895,3.08960030439005,-30.99897236927567,False,True
training,YINN,2024-02-26,s,bear,,,,False,False,False,False,True,2024-03-25,-9.365705456226825,5.847375061105087,-15.659067391597759,True,False
training,YINN,2024-08-05,jf,bear,,,,False,False,False,False,False,,,,,,
training,YINN,2024-08-16,b,bull,2024-08-13,bear,3.0,False,False,True,False,False,,,,,,
training,SNOW,2021-09-29,s,bull,,,,False,False,False,False,True,2021-10-27,15.315616645686259,16.926914354495427,-3.6511595463039836,False,True
training,SNOW,2021-12-08,b,bull,2021-12-02,bull,4.0,True,False,False,False,True,2022-01-06,-19.705406395164694,1.962164801520272,-22.702702702702705,False,True
training,SNOW,2022-01-24,jf,bear,,,,False,False,False,False,True,2022-02-22,-2.7209614317974196,19.697025968933414,-15.417585961580915,False,True
training,SNOW,2022-02-07,b,bull,2022-02-01,bear,4.0,False,False,True,False,True,2022-03-08,-33.28342880701989,14.724922085608604,-36.371867087027155,False,True
training,SNOW,2022-02-11,s,bear,,,,False,False,False,False,True,2022-03-14,-43.29388513078057,4.084203858170787,-44.10664423079118,True,False
training,SNOW,2022-03-16,jf,bear,,,,False,False,False,False,True,2022-04-13,9.953848031850953,26.420515011518454,-2.020514072516022,True,False
training,SNOW,2022-03-22,b,bear,2022-03-17,bear,3.0,False,False,False,True,True,2022-04-20,-15.914638807245307,11.456737695902097,-16.181388222847037,False,True
training,SNOW,2022-05-26,jf,bear,,,,False,False,False,False,True,2022-06-27,15.832675628630199,18.999214333431013,-13.788117221141905,True,False
training,SNOW,2022-08-09,s,bear,,,,False,False,False,False,True,2022-09-07,4.860777505132252,21.31901750755174,-12.85394525468504,False,True
training,SNOW,2022-11-10,jf,bear,,,,False,False,False,False,True,2022-12-09,-1.4388984036646901,14.566285255903644,-10.004090445993885,False,True
