symbol,actual_entries,expired_setups,eligible_at_expiry,waiting_rows,observation_rows,recovered,reconciled
TQQQ,1,1,1,5,12,1,True
MSFT,2,1,0,5,34,1,True
NFLX,2,1,1,5,34,1,True
YINN,1,1,1,5,109,1,True
SNOW,3,1,1,5,39,0,True
TSLA,1,1,0,5,86,1,True
MRNA,1,1,1,5,31,1,True
NVDA,1,0,0,0,0,0,True
GOOGL,2,0,0,0,0,0,True
AAOI,3,1,1,5,121,1,True
